Date,GARDENSILK
2013-01-01,61.0
2013-01-02,61.1
2013-01-03,62.9
2013-01-04,62.05
2013-01-07,62.1
2013-01-08,62.7
2013-01-09,62.7
2013-01-10,63.05
2013-01-11,63.5
2013-01-14,63.85
2013-01-15,63.5
2013-01-16,62.5
2013-01-17,63.0
2013-01-18,63.3
2013-01-21,63.0
2013-01-22,62.4
2013-01-23,62.35
2013-01-24,61.15
2013-01-25,61.7
2013-01-28,60.05
2013-01-29,60.0
2013-01-30,60.0
2013-01-31,60.25
2013-02-01,60.0
2013-02-04,60.0
2013-02-05,59.0
2013-02-06,59.0
2013-02-07,59.05
2013-02-08,59.0
2013-02-11,59.75
2013-02-12,59.0
2013-02-13,59.0
2013-02-14,57.2
2013-02-15,57.1
2013-02-18,57.0
2013-02-19,57.85
2013-02-20,57.35
2013-02-21,56.0
2013-02-22,56.75
2013-02-25,56.0
2013-02-26,55.05
2013-02-27,55.1
2013-02-28,55.1
2013-03-01,55.0
2013-03-04,54.15
2013-03-05,54.2
2013-03-06,54.25
2013-03-07,54.0
2013-03-08,54.05
2013-03-11,54.0
2013-03-12,54.05
2013-03-13,53.0
2013-03-14,53.15
2013-03-15,52.3
2013-03-18,52.15
2013-03-19,52.0
2013-03-20,51.1
2013-03-21,51.0
2013-03-22,50.7
2013-03-25,50.0
2013-03-26,50.0
2013-03-28,50.15
2013-04-01,51.0
2013-04-02,51.0
2013-04-03,50.2
2013-04-04,50.0
2013-04-05,49.5
2013-04-08,49.2
2013-04-09,49.05
2013-04-10,49.25
2013-04-11,49.0
2013-04-12,49.8
2013-04-15,48.9
2013-04-16,48.7
2013-04-17,48.65
2013-04-18,50.0
2013-04-22,50.0
2013-04-23,49.1
2013-04-25,49.0
2013-04-26,48.15
2013-04-29,49.45
2013-04-30,48.45
2013-05-02,48.1
2013-05-03,48.05
2013-05-06,48.45
2013-05-07,48.2
2013-05-08,48.8
2013-05-09,48.5
2013-05-10,48.3
2013-05-11,48.35
2013-05-13,48.25
2013-05-14,48.0
2013-05-15,48.05
2013-05-16,48.35
2013-05-17,48.45
2013-05-20,48.0
