Date,DONEAR
2013-03-01,15.25
2013-03-04,14.95
2013-03-05,15.05
2013-03-06,15.0
2013-03-07,13.95
2013-03-08,14.0
2013-03-11,14.0
2013-03-12,13.9
2013-03-13,13.1
2013-03-14,14.25
2013-03-15,13.6
2013-03-18,13.75
2013-03-19,13.75
2013-03-20,13.6
2013-03-21,13.0
2013-03-22,12.55
2013-03-25,12.45
2013-03-28,12.05
2013-04-01,12.5
2013-04-02,13.0
2013-04-03,13.25
2013-04-04,13.5
2013-04-05,12.85
2013-04-16,11.6
2013-04-17,10.5
2013-04-18,10.5
2013-04-25,10.5
2013-05-14,11.0
2013-05-16,10.45
2013-05-17,10.3
2013-05-21,10.5
2013-05-29,10.0
2013-05-31,10.3
2013-06-07,10.8
2013-06-11,10.5
2013-06-13,11.0
2013-09-03,10.35
2013-09-05,10.05
2013-09-06,10.1
2013-09-16,10.6
2013-09-17,10.6
2013-09-18,10.6
2013-09-19,9.9
2013-09-20,9.9
2013-09-24,9.9
2013-09-27,10.35
2013-09-30,10.4
2013-10-07,9.9
2013-10-08,10.0
2013-10-10,10.0
2013-10-14,10.1
2013-10-21,10.6
2013-10-24,11.1
2013-10-25,11.65
2013-10-28,12.2
2013-10-29,12.2
2013-10-31,12.8
2013-11-01,13.4
2013-11-03,12.75
2013-11-06,12.75
2013-11-07,13.35
2013-11-08,12.7
2013-11-29,12.05
2013-12-02,12.65
2013-12-06,12.05
2013-12-09,11.45
2013-12-11,10.9
2013-12-13,10.4
2013-12-17,9.9
2013-12-18,9.45
2013-12-19,9.9
2013-12-20,9.45
2013-12-23,9.0
2013-12-26,8.95
2013-12-27,9.35
2013-12-30,9.3
2014-01-01,9.75
2014-01-03,10.2
2014-01-07,9.7
2014-01-13,10.15
2014-01-15,10.65
2014-01-16,10.3
2014-01-17,9.9
2014-01-20,9.9
2014-01-21,10.35
2014-01-22,10.5
2014-01-23,10.05
2014-01-24,10.0
2014-01-27,10.4
2014-01-28,10.45
2014-01-29,10.05
2014-01-30,10.25
2014-01-31,10.5
2014-02-03,10.0
2014-02-04,10.0
2014-02-05,9.55
2014-02-06,9.3
2014-02-07,9.75
2014-02-10,9.75
2014-02-11,9.65
2014-02-12,9.95
2014-02-13,9.85
2014-02-14,10.15
2014-02-17,9.75
2014-02-18,9.95
2014-02-19,9.75
2014-02-20,9.5
2014-02-21,9.5
2014-02-24,9.9
2014-02-25,9.9
2014-02-26,9.45
2014-02-28,9.1
2014-03-03,9.1
2014-03-04,9.35
2014-03-05,9.4
2014-03-06,9.25
2014-03-07,9.25
2014-03-10,9.65
2014-03-11,10.3
2014-03-12,9.5
2014-03-13,9.9
2014-03-14,9.75
2014-03-18,9.6
2014-03-19,9.6
2014-03-20,9.3
2014-03-21,9.35
2014-03-24,9.9
2014-03-25,9.35
2014-03-26,9.2
2014-03-27,9.5
2014-03-28,9.8
2014-03-31,9.4
2014-04-01,9.9
2014-04-02,9.95
2014-04-03,10.0
2014-04-04,9.55
2014-04-07,9.9
2014-04-09,10.45
2014-04-10,10.4
2014-04-11,10.4
2014-04-15,10.15
2014-04-16,10.55
2014-04-17,10.6
2014-04-21,10.95
2014-04-22,11.5
2014-04-23,11.5
2014-04-25,11.5
2014-04-28,11.05
2014-04-29,11.0
2014-04-30,11.35
2014-05-02,11.1
2014-05-05,11.3
2014-05-06,11.05
2014-05-07,11.1
2014-05-08,11.7
2014-05-09,11.1
2014-05-12,11.35
2014-05-13,11.2
2014-05-14,11.0
2014-05-15,11.5
2014-05-16,11.5
2014-05-19,12.3
2014-05-20,13.75
2014-05-21,13.7
2014-05-22,14.6
2014-05-23,16.25
2014-05-26,15.75
2014-05-27,15.1
2014-05-28,15.15
2014-05-29,15.45
2014-05-30,15.2
2014-06-02,15.8
2014-06-03,16.0
2014-06-04,16.9
2014-06-05,17.6
2014-06-06,16.9
2014-06-09,16.25
2014-06-10,17.5
2014-06-11,17.25
2014-06-12,17.25
2014-06-13,16.0
2014-06-16,15.5
2014-06-17,16.3
2014-06-18,16.05
2014-06-19,17.25
2014-06-20,16.65
2014-06-23,16.35
2014-06-24,17.15
2014-06-25,16.55
2014-06-26,17.1
2014-06-27,18.8
2014-08-06,17.5
2014-08-07,16.65
2014-08-08,15.85
2014-08-11,15.6
2014-08-12,15.6
2014-08-13,15.2
2014-08-14,15.55
2014-08-18,16.3
2014-08-19,17.1
2014-08-20,17.95
2014-08-21,18.8
2014-08-22,19.7
2014-08-25,19.4
2014-08-26,18.5
2014-08-27,18.55
2014-08-28,19.45
2014-09-01,19.45
2014-09-02,19.2
2014-09-03,19.5
2014-09-04,18.6
2014-09-05,18.7
2014-09-08,20.55
2014-09-09,20.5
2014-09-10,22.55
2014-09-11,24.55
2014-09-12,23.35
2014-09-15,24.3
2014-09-16,23.1
2014-09-17,22.0
2014-09-18,20.95
2014-09-19,19.95
2014-09-22,20.2
2014-09-23,20.75
2014-09-24,20.55
2014-09-25,19.95
2014-09-26,19.7
2014-09-29,20.65
2014-09-30,21.05
2014-10-01,21.15
2014-10-07,20.25
2014-10-08,20.3
2014-10-09,20.8
2014-10-10,19.85
2014-10-13,19.55
2014-10-14,19.35
2014-10-16,19.45
2014-10-17,18.8
2014-10-20,19.25
2014-10-21,19.5
2014-10-22,19.5
2014-10-23,19.9
2014-10-27,19.85
2014-10-28,19.15
2014-10-29,19.2
2014-10-30,19.5
2014-10-31,19.25
2014-11-03,19.1
2014-11-05,19.6
2014-11-07,19.05
2014-11-10,19.45
2014-11-11,18.75
2014-11-12,20.15
2014-11-13,20.9
2014-11-14,20.25
2014-11-17,20.15
2014-11-18,20.45
2014-11-19,20.0
2014-11-20,19.0
2014-11-21,19.1
2014-11-24,19.0
2014-11-25,19.35
2014-11-26,18.7
2014-11-27,18.55
2014-11-28,18.9
2014-12-01,18.2
2014-12-02,18.15
2014-12-03,18.3
2014-12-04,19.5
2014-12-05,19.5
2014-12-08,20.5
2014-12-09,20.15
2014-12-10,19.9
2014-12-11,20.0
2014-12-12,19.8
