Date,BHARATRAS
2013-01-02,166.0
2013-01-03,171.5
2013-01-04,169.95
2013-01-07,165.0
2013-01-08,164.5
2013-01-09,160.2
2013-01-10,159.55
2013-01-11,160.2
2013-01-14,162.0
2013-01-15,158.7
2013-01-16,161.95
2013-01-17,157.95
2013-01-18,160.4
2013-01-21,155.1
2013-01-22,154.55
2013-01-23,153.9
2013-01-24,146.75
2013-01-25,147.05
2013-01-28,148.65
2013-01-29,154.45
2013-01-30,145.05
2013-01-31,143.8
2013-02-01,142.2
2013-02-04,147.8
2013-02-05,147.85
2013-02-06,147.6
2013-02-07,150.15
2013-02-08,149.9
2013-02-11,141.25
2013-02-12,140.85
2013-02-13,145.35
2013-02-14,142.85
2013-02-15,148.0
2013-02-18,147.15
2013-02-19,149.95
2013-02-20,142.55
2013-02-21,141.25
2013-02-22,145.75
2013-02-25,138.3
2013-02-26,140.25
2013-02-27,144.75
2013-02-28,136.15
2013-03-01,133.15
2013-03-04,134.2
2013-03-05,128.15
2013-03-06,126.9
2013-03-07,126.0
2013-03-08,130.0
2013-03-11,130.15
2013-03-12,129.5
2013-03-13,129.35
2013-03-14,130.35
2013-03-15,129.15
2013-03-18,129.0
2013-03-20,128.75
2013-03-21,128.35
2013-03-22,123.4
2013-03-25,120.35
2013-03-26,122.45
2013-03-28,127.65
2013-04-01,131.9
2013-04-02,136.5
2013-04-03,130.0
2013-04-04,131.0
2013-04-05,131.1
2013-04-22,132.0
2013-05-03,111.0
2013-05-09,124.0
2013-05-13,120.0
2013-05-14,130.0
2013-05-17,130.0
2013-05-31,126.0
2013-06-03,126.0
2013-06-04,126.0
2013-06-05,126.0
2013-06-13,126.0
2013-06-18,126.0
2013-06-19,126.0
2013-06-20,122.0
2013-07-10,116.0
2013-07-11,110.5
2013-08-16,105.55
2013-08-29,101.0
2013-08-30,101.0
2013-09-03,106.0
2013-09-04,105.0
2013-09-06,105.0
2013-09-10,100.1
2013-09-11,105.0
2013-09-12,110.0
2013-09-18,114.0
2013-09-19,114.0
2013-09-25,115.0
2013-09-27,112.1
2013-09-30,115.0
2013-10-03,115.0
2013-10-04,115.0
2013-10-22,115.0
2013-10-24,115.1
2013-10-25,116.0
2013-10-29,115.1
2013-11-01,120.85
2013-11-13,114.85
2013-11-14,112.1
2013-11-18,117.7
2013-11-20,112.95
2013-11-21,112.95
2013-11-26,118.55
2013-11-29,124.45
2013-12-03,130.65
2013-12-06,137.15
2013-12-09,144.0
2013-12-10,151.2
2013-12-11,158.75
2013-12-13,166.65
2013-12-17,174.95
2013-12-23,183.65
2013-12-24,192.45
2013-12-26,185.1
2013-12-27,194.35
2013-12-30,204.05
2013-12-31,214.25
2014-01-01,224.85
2014-01-02,236.05
2014-01-03,247.85
2014-01-06,260.2
2014-01-07,251.0
2014-01-08,246.0
2014-01-09,258.05
2014-01-10,258.05
2014-01-13,262.85
2014-01-14,265.2
2014-01-15,264.0
2014-01-16,254.0
2014-01-17,253.0
2014-01-20,253.0
2014-01-22,259.95
2014-01-23,259.95
2014-01-24,255.0
2014-01-28,250.0
2014-01-29,257.95
2014-01-30,253.95
2014-01-31,259.35
2014-02-03,247.05
2014-02-04,259.3
2014-02-05,254.2
2014-02-07,252.0
2014-02-10,252.0
2014-02-11,255.0
2014-02-12,250.0
2014-02-13,260.0
2014-02-14,265.0
2014-02-17,260.5
2014-02-18,261.0
2014-02-19,260.0
2014-02-20,250.05
2014-02-21,250.0
2014-02-24,262.0
2014-02-25,275.1
2014-02-26,288.85
2014-02-28,303.25
2014-03-03,318.4
2014-03-04,334.3
2014-03-05,351.0
2014-03-06,368.4
2014-03-07,350.0
2014-03-10,339.95
2014-03-11,323.0
2014-03-12,326.0
2014-03-13,310.15
2014-03-14,298.0
2014-03-18,299.9
2014-03-19,301.15
2014-03-20,299.95
2014-03-21,308.9
2014-03-22,313.2
2014-03-24,316.05
2014-03-25,320.3
2014-03-26,336.2
2014-03-27,324.7
2014-03-28,337.9
2014-03-31,323.2
2014-04-01,326.45
2014-04-02,337.5
2014-04-03,330.15
2014-04-07,329.25
2014-04-09,323.1
2014-04-10,328.35
2014-04-17,320.0
2014-04-21,327.0
2014-04-22,311.3
2014-04-23,305.2
2014-04-25,299.65
2014-04-28,309.55
2014-04-29,325.0
2014-04-30,323.8
2014-05-02,333.0
2014-05-05,332.9
2014-05-06,325.0
2014-05-07,325.0
2014-05-08,327.0
2014-05-09,335.0
2014-05-12,326.0
2014-05-13,331.0
2014-05-14,304.55
2014-05-15,314.8
2014-05-16,327.55
2014-05-19,345.2
2014-05-20,366.0
2014-05-21,395.45
2014-05-22,388.7
2014-05-23,378.65
2014-05-26,360.75
2014-05-28,378.0
2014-05-29,395.0
2014-05-30,381.95
2014-06-02,362.9
2014-06-03,380.0
2014-06-04,361.0
2014-06-05,360.0
2014-06-06,351.0
2014-06-09,355.0
2014-06-10,338.25
2014-06-11,337.0
2014-06-12,344.45
2014-06-13,350.0
2014-06-16,350.0
2014-06-17,344.0
2014-06-19,343.0
2014-06-20,325.85
2014-06-23,316.85
2014-06-24,332.3
2014-06-25,329.0
2014-06-26,345.45
2014-06-27,362.5
2014-06-30,379.9
2014-07-01,389.2
2014-07-02,408.65
2014-07-03,401.8
2014-07-04,410.45
2014-07-07,411.45
2014-07-08,390.9
2014-07-09,371.45
2014-07-10,385.0
2014-07-11,369.15
2014-07-14,351.0
2014-07-15,368.55
2014-07-16,368.55
2014-07-17,380.0
2014-07-18,398.9
2014-07-21,404.45
2014-07-22,400.0
2014-07-23,401.2
2014-07-24,400.0
2014-07-25,402.0
2014-07-28,422.1
2014-07-30,443.2
2014-07-31,459.3
2014-08-01,450.1
2014-08-04,468.9
2014-08-05,474.5
2014-08-06,464.75
2014-08-07,475.5
2014-08-08,475.0
2014-08-11,465.35
2014-08-12,470.5
2014-08-13,479.95
2014-08-14,527.9
2014-08-18,580.65
2014-08-19,609.65
2014-08-20,611.15
2014-08-21,641.7
2014-08-22,673.75
2014-08-25,661.0
2014-08-26,680.9
2014-08-27,693.1
2014-08-28,686.85
2014-09-01,708.2
2014-09-02,743.6
2014-09-03,719.75
2014-09-04,721.55
2014-09-05,715.5
2014-09-08,719.3
2014-09-09,727.75
2014-09-10,736.1
2014-09-11,720.65
2014-09-12,718.45
2014-09-15,701.95
2014-09-16,668.1
2014-09-17,640.45
2014-09-18,657.55
2014-09-19,649.0
2014-09-22,658.05
2014-09-23,640.0
2014-09-24,624.15
2014-09-25,625.0
2014-09-26,619.9
2014-09-29,630.0
2014-09-30,620.0
2014-10-01,621.55
2014-10-07,605.0
2014-10-08,633.0
2014-10-09,630.0
2014-10-10,639.9
2014-10-13,640.0
2014-10-14,644.9
2014-10-16,632.0
2014-10-17,648.0
2014-10-20,659.35
2014-10-21,670.0
2014-10-22,634.7
2014-10-23,685.6
2014-10-27,689.0
2014-10-28,685.1
2014-10-29,680.2
2014-10-30,666.55
2014-10-31,717.0
2014-11-03,743.95
2014-11-05,768.8
2014-11-07,770.3
2014-11-10,783.4
2014-11-11,829.15
2014-11-12,836.0
2014-11-13,807.35
2014-11-14,890.2
2014-11-17,924.3
2014-11-18,907.75
2014-11-19,888.45
2014-11-20,860.75
2014-11-21,872.35
2014-11-24,936.1
2014-11-25,932.4
2014-11-26,916.45
2014-11-27,914.5
2014-11-28,912.75
2014-12-01,919.1
2014-12-02,919.3
2014-12-03,901.85
2014-12-04,896.9
2014-12-05,885.15
2014-12-08,860.0
2014-12-09,834.95
2014-12-10,851.2
2014-12-11,869.15
2014-12-12,878.6
2014-12-15,869.0
2014-12-16,848.25
2014-12-17,824.7
2014-12-18,832.0
2014-12-19,868.0
2014-12-22,855.0
2014-12-23,829.05
2014-12-24,834.85
2014-12-26,852.9
2014-12-29,858.0
2014-12-30,888.85
2014-12-31,932.5
2015-01-01,999.95
2015-01-02,1088.7
2015-01-05,1306.4
2015-01-06,1253.2
2015-01-07,1378.5
2015-01-08,1358.45
2015-01-09,1345.75
2015-01-12,1317.7
2015-01-13,1291.35
2015-01-14,1284.8
2015-01-15,1268.4
2015-01-16,1263.65
2015-01-19,1276.15
2015-01-20,1252.85
2015-01-21,1225.05
2015-01-22,1194.45
2015-01-23,1183.25
2015-01-27,1116.95
2015-01-28,1136.45
2015-01-29,1093.05
2015-01-30,1086.85
2015-02-02,1096.05
2015-02-03,1119.15
2015-02-04,1076.5
2015-02-05,1099.75
2015-02-06,1146.4
2015-02-09,1191.15
2015-02-10,1202.45
2015-02-11,1256.5
2015-02-12,1250.85
2015-02-13,1154.3
2015-02-16,1144.3
2015-02-18,1088.55
2015-02-19,1038.1
2015-02-20,1033.1
2015-02-23,1037.55
2015-02-24,1046.8
2015-02-25,1025.75
2015-02-26,964.0
2015-02-27,975.1
2015-02-28,947.95
2015-03-02,937.8
2015-03-03,944.6
2015-03-04,945.5
2015-03-05,929.65
2015-03-09,981.05
2015-03-10,1015.75
2015-03-11,934.3
2015-03-12,937.8
2015-03-13,945.15
2015-03-16,915.85
2015-03-17,921.25
2015-03-18,893.85
2015-03-19,884.65
2015-03-20,835.4
2015-03-23,889.3
2015-03-24,874.55
2015-03-25,861.65
2015-03-26,826.7
2015-03-27,779.15
2015-03-30,809.25
2015-03-31,826.45
2015-04-01,821.4
2015-04-06,840.35
2015-04-07,856.05
2015-04-08,896.7
2015-04-09,959.25
2015-04-10,970.15
2015-04-13,963.45
2015-04-15,942.85
2015-04-16,950.45
2015-04-17,915.8
2015-04-20,900.35
2015-04-21,891.15
2015-04-22,865.75
2015-04-23,869.3
2015-04-24,811.8
2015-04-27,769.45
2015-04-28,780.8
2015-04-29,793.9
2015-04-30,820.0
2015-05-04,810.2
2015-05-05,840.1
2015-05-06,810.0
2015-05-07,813.25
2015-05-08,795.05
2015-05-11,786.5
2015-05-12,786.85
2015-05-13,776.65
2015-05-14,774.0
2015-05-15,796.9
2015-05-18,819.4
2015-05-19,826.05
2015-05-20,832.2
2015-05-21,841.8
2015-05-22,828.85
2015-05-25,820.0
2015-05-26,820.6
2015-05-27,791.75
2015-05-28,793.95
2015-05-29,815.35
2015-06-01,910.05
2015-06-02,877.7
2015-06-03,787.2
2015-06-04,810.25
2015-06-05,833.35
2015-06-08,793.45
2015-06-09,788.3
2015-06-10,806.4
2015-06-11,800.85
2015-06-12,811.05
2015-06-15,922.5
2015-06-16,946.3
2015-06-17,936.7
2015-06-18,930.75
2015-06-19,923.6
2015-06-22,949.15
2015-06-23,949.8
2015-06-24,962.85
2015-06-25,951.6
2015-06-26,956.8
2015-06-29,927.0
2015-06-30,973.75
2015-07-01,1056.95
2015-07-02,1073.65
2015-07-03,1096.8
2015-07-06,1081.3
2015-07-07,1099.95
2015-07-08,1143.7
2015-07-09,1210.35
2015-07-10,1235.0
2015-07-13,1208.2
2015-07-14,1226.55
2015-07-15,1228.5
2015-07-16,1213.05
2015-07-17,1213.95
2015-07-20,1234.8
2015-07-21,1176.2
2015-07-22,1190.35
2015-07-23,1201.1
2015-07-24,1173.6
2015-07-27,1176.6
2015-07-28,1151.55
2015-07-29,1198.0
2015-07-30,1171.6
2015-07-31,1174.1
2015-08-03,1287.6
2015-08-04,1291.7
2015-08-05,1261.0
2015-08-06,1275.0
2015-08-07,1265.9
2015-08-10,1269.95
2015-08-11,1278.0
2015-08-12,1254.35
2015-08-13,1039.2
2015-08-14,1075.35
2015-08-17,1101.75
2015-08-18,1122.0
2015-08-19,1159.15
2015-08-20,1078.45
2015-08-21,1070.5
2015-08-24,968.6
2015-08-25,990.7
2015-08-26,987.85
2015-08-27,990.0
2015-08-28,982.8
2015-08-31,957.35
2015-09-01,913.65
2015-09-02,902.45
2015-09-03,924.6
2015-09-04,894.2
2015-09-07,935.0
2015-09-08,910.0
2015-09-09,900.35
2015-09-10,893.05
2015-09-11,900.9
2015-09-14,874.25
2015-09-15,886.2
2015-09-16,910.0
2015-09-18,909.8
2015-09-21,947.8
2015-09-22,901.3
2015-09-23,929.85
2015-09-24,917.9
2015-09-28,903.2
2015-09-29,890.15
2015-09-30,877.05
2015-10-01,909.7
2015-10-05,895.8
2015-10-06,913.5
2015-10-07,929.0
2015-10-08,915.0
2015-10-09,946.05
2015-10-12,955.0
2015-10-13,985.0
2015-10-14,991.25
2015-10-15,964.95
2015-10-16,933.7
2015-10-19,950.0
2015-10-20,940.1
2015-10-21,934.9
2015-10-23,890.0
2015-10-26,909.55
2015-10-27,915.0
2015-10-28,900.0
2015-10-29,900.0
2015-10-30,892.05
2015-11-02,909.3
2015-11-03,889.8
2015-11-04,875.0
2015-11-05,894.0
2015-11-06,888.0
2015-11-09,890.95
2015-11-10,956.15
2015-11-11,990.95
2015-11-13,983.45
2015-11-16,960.0
2015-11-17,958.0
2015-11-18,996.7
2015-11-19,997.6
2015-11-20,999.0
2015-11-23,1007.95
2015-11-24,1000.6
2015-11-26,1040.25
2015-11-27,1089.95
2015-11-30,1125.95
2015-12-01,1062.65
2015-12-02,1110.3
2015-12-03,1061.8
2015-12-04,1062.6
2015-12-07,1060.0
2015-12-08,1027.5
2015-12-09,1023.25
2015-12-10,1038.35
2015-12-11,986.95
2015-12-14,1061.0
2015-12-15,1074.65
2015-12-16,1099.15
2015-12-17,1120.2
2015-12-18,1077.85
2015-12-21,1066.65
2015-12-22,1071.35
2015-12-23,1080.9
2015-12-24,1095.0
2015-12-28,1102.85
2015-12-29,1084.35
2015-12-30,1081.5
2015-12-31,1078.65
2016-01-01,1061.75
2016-01-04,1099.1
2016-01-05,1108.4
2016-01-06,1101.0
2016-01-07,1076.25
2016-01-08,1083.55
2016-01-11,1088.7
2016-01-12,1050.15
2016-01-13,1050.05
2016-01-14,1019.3
2016-01-15,1005.8
2016-01-18,999.15
2016-01-19,1004.0
2016-01-20,945.05
2016-01-21,980.0
2016-01-22,999.75
