Date,SALZERELEC
2015-12-02,240.4
2015-12-03,234.15
2015-12-04,233.05
2015-12-07,231.65
2015-12-08,234.35
2015-12-09,230.1
2015-12-10,232.9
2015-12-11,230.75
2015-12-14,231.25
2015-12-15,231.6
2015-12-16,233.5
2015-12-17,237.3
2015-12-18,234.75
2015-12-21,232.95
2015-12-22,232.75
2015-12-23,235.85
2015-12-24,236.2
2015-12-28,236.05
2015-12-29,236.1
2015-12-30,240.1
2015-12-31,235.3
2016-01-01,245.7
2016-01-04,236.75
2016-01-05,237.5
2016-01-06,239.15
2016-01-07,237.05
2016-01-08,244.85
2016-01-11,240.2
2016-01-12,234.9
2016-01-13,228.5
2016-01-14,221.0
2016-01-15,218.75
2016-01-18,201.55
2016-01-19,210.25
2016-01-20,207.5
2016-01-21,203.95
2016-01-22,216.35
2016-01-25,219.05
2016-01-27,219.55
2016-01-28,219.35
2016-01-29,224.9
2016-02-01,225.45
2016-02-02,223.95
2016-02-03,215.75
2016-02-04,208.3
2016-02-05,212.3
2016-02-08,206.95
2016-02-09,205.9
2016-02-10,205.55
2016-02-11,182.3
2016-02-12,171.5
2016-02-15,182.0
2016-02-16,179.2
2016-02-17,176.4
2016-02-18,177.25
2016-02-19,177.7
2016-02-22,179.65
2016-02-23,178.35
2016-02-24,174.15
2016-02-25,173.05
2016-02-26,164.65
2016-02-29,176.9
2016-03-01,181.8
2016-03-02,187.05
2016-03-03,198.0
2016-03-04,200.75
2016-03-08,196.9
2016-03-09,191.05
2016-03-10,194.85
2016-03-11,194.65
2016-03-14,196.2
2016-03-15,194.15
2016-03-16,189.8
2016-03-17,191.85
2016-03-18,189.5
2016-03-21,186.45
2016-03-22,189.55
2016-03-23,187.05
2016-03-28,182.75
2016-03-29,178.4
2016-03-30,184.1
2016-03-31,187.55
2016-04-01,193.85
2016-04-04,215.95
2016-04-05,210.65
2016-04-06,215.75
2016-04-07,218.35
2016-04-08,217.6
2016-04-11,216.7
2016-04-12,212.7
2016-04-13,214.85
2016-04-18,215.1
2016-04-20,215.75
2016-04-21,221.6
