Date,KAUSHALYA
2013-01-01,9.6
2013-01-02,9.7
2013-01-03,9.6
2013-01-04,9.25
2013-01-07,9.45
2013-01-08,9.5
2013-01-09,9.45
2013-01-10,9.25
2013-01-11,9.2
2013-01-14,9.0
2013-01-15,9.15
2013-01-16,9.05
2013-01-17,8.9
2013-01-18,8.9
2013-01-21,8.9
2013-01-22,8.85
2013-01-23,9.0
2013-01-24,8.65
2013-01-25,8.55
2013-01-28,8.45
2013-01-29,8.35
2013-01-30,8.5
2013-01-31,8.25
2013-02-01,8.15
2013-02-04,8.15
2013-02-05,7.9
2013-02-06,8.25
2013-02-07,8.0
2013-02-08,8.45
2013-02-11,8.35
2013-02-12,8.25
2013-02-13,8.2
2013-02-14,7.95
2013-02-15,7.9
2013-02-18,7.95
2013-02-19,8.35
2013-02-20,8.15
2013-02-21,8.5
2013-02-22,8.2
2013-02-25,7.8
2013-02-26,7.85
2013-02-27,8.15
2013-02-28,8.1
2013-03-01,7.7
2013-03-04,7.3
2013-03-05,7.25
2013-03-06,7.3
2013-03-07,7.45
2013-03-08,7.5
2013-03-11,7.15
2013-03-12,7.25
2013-03-13,7.35
2013-03-14,6.95
2013-03-15,6.95
2013-03-18,7.3
2013-03-19,7.25
2013-03-20,7.05
2013-03-21,7.0
2013-03-22,6.4
2013-03-25,6.7
2013-03-26,7.5
2013-03-28,7.65
2013-04-01,7.8
2013-04-02,8.0
2013-04-03,8.35
2013-04-04,8.2
2013-04-05,9.1
2013-04-08,8.2
2013-04-10,6.65
2013-04-11,6.75
2013-04-16,6.85
2013-04-17,7.05
2013-04-18,6.15
2013-04-22,6.9
2013-04-25,8.0
2013-04-29,7.35
2013-04-30,7.5
2013-05-06,6.75
2013-05-07,7.0
2013-05-08,6.3
2013-05-09,5.7
2013-05-10,5.6
2013-05-13,5.35
2013-05-14,5.35
2013-05-15,5.3
2013-05-16,5.25
2013-05-20,5.45
2013-05-21,5.7
2013-05-22,5.95
2013-05-27,5.95
2013-05-29,5.7
2013-06-03,5.7
2013-06-04,5.45
2013-06-05,5.55
2013-06-07,5.65
2013-06-10,5.4
2013-06-11,5.4
2013-06-13,5.15
2013-06-14,5.15
2013-06-17,5.0
2013-06-18,5.15
2013-06-19,5.2
2013-06-21,5.45
2013-06-25,5.4
2013-06-28,5.6
2013-07-01,5.85
2013-07-02,6.1
2013-07-05,5.8
2013-07-09,5.6
2013-07-10,5.85
2013-07-15,5.6
2013-07-16,5.6
2013-07-18,5.8
2013-07-22,6.05
2013-07-23,5.75
2013-07-24,5.55
2013-07-25,5.8
2013-07-26,5.55
2013-07-29,5.3
2013-07-30,5.05
2013-07-31,4.8
2013-08-02,4.6
2013-08-07,4.4
2013-08-08,4.4
2013-08-13,4.2
2013-08-16,4.0
2013-08-22,3.95
2013-08-23,4.0
2013-08-26,3.85
2013-08-27,4.0
2013-09-05,4.15
2013-09-10,4.0
2013-09-11,3.8
2013-09-12,3.65
2013-09-13,3.75
2013-09-17,3.6
2013-09-18,3.65
2013-09-19,3.65
2013-09-20,3.6
2013-09-24,3.45
2013-09-25,3.3
2013-09-26,3.15
2013-09-27,3.3
2013-10-01,3.35
2013-10-03,3.35
2013-10-04,3.3
2013-10-08,3.35
2013-10-09,3.25
2013-10-10,3.4
2013-10-11,3.3
2013-10-14,3.45
2013-10-15,3.5
2013-10-17,3.45
2013-10-18,3.45
2013-10-22,3.45
2013-10-23,3.6
2013-10-24,3.5
2013-10-28,3.4
2013-10-29,3.45
2013-10-30,3.45
2013-10-31,3.5
2013-11-01,3.4
2013-11-03,3.4
2013-11-05,3.3
2013-11-06,3.35
2013-11-07,3.5
2013-11-08,3.5
2013-11-11,3.5
2013-11-12,3.4
2013-11-13,3.5
2013-11-14,3.4
2013-11-19,3.55
2013-11-20,3.55
2013-11-22,3.6
2013-11-25,3.6
2013-11-26,3.75
2013-11-27,3.75
2013-11-28,3.9
2013-11-29,3.75
2013-12-02,3.65
2013-12-03,3.65
2013-12-04,3.7
2013-12-05,3.55
2013-12-06,3.4
2013-12-09,3.55
2013-12-10,3.5
2013-12-11,3.55
2013-12-12,3.7
2013-12-13,3.8
2013-12-18,3.65
2013-12-19,3.6
2013-12-20,3.55
2013-12-23,3.5
2013-12-24,3.6
2013-12-27,3.75
2013-12-30,3.9
2013-12-31,4.05
2014-01-01,4.05
2014-01-02,3.95
2014-01-03,4.0
2014-01-06,4.2
2014-01-07,4.4
2014-01-08,4.6
2014-01-09,4.8
2014-01-10,5.0
2014-01-13,5.25
2014-01-14,5.5
2014-01-15,5.75
2014-01-16,6.0
2014-06-13,7.95
2014-06-16,7.8
2014-06-17,7.85
2014-06-18,7.95
2014-06-19,7.75
2014-06-20,7.45
2014-06-23,7.5
2014-06-24,7.5
2014-06-25,7.6
2014-06-26,7.45
2014-06-27,7.8
2014-06-30,8.15
2014-07-01,8.55
2014-07-02,8.95
2014-07-03,9.35
2014-07-04,9.8
2014-07-07,10.25
2014-07-08,10.1
2014-07-09,10.05
2014-07-10,10.45
2014-07-11,10.15
2014-07-14,10.65
2014-07-15,11.15
2014-07-16,11.7
2014-07-17,12.25
2014-07-18,11.65
2014-07-21,11.1
2014-07-22,10.55
2014-07-23,10.05
2014-07-24,10.55
2014-07-25,10.05
2014-07-28,9.55
2014-07-30,9.1
2014-07-31,8.65
2014-08-01,8.25
2014-08-04,7.85
2014-08-05,7.5
2014-09-09,5.5
2014-09-10,5.25
2014-09-11,5.5
2014-09-12,5.75
2014-09-15,6.0
2014-09-16,6.3
2014-09-17,6.05
2014-09-18,6.25
2014-09-19,6.15
2014-09-22,6.3
2014-09-23,6.0
2014-09-24,5.95
2014-09-25,5.7
2014-09-26,5.6
2014-09-29,5.5
2014-09-30,5.65
2014-10-01,5.6
2014-10-07,5.5
2014-10-08,5.6
2014-10-09,5.7
2014-10-10,6.0
2014-10-13,5.95
2014-10-14,5.75
2014-10-16,5.4
2014-10-17,5.4
2014-10-20,5.2
2014-10-21,5.25
2014-10-22,5.1
2014-10-23,5.6
2014-10-27,5.5
2014-10-28,5.6
2014-10-29,5.4
2014-10-30,5.75
2014-10-31,5.9
2014-11-03,6.2
2014-11-05,6.8
2014-11-07,7.15
2014-11-10,7.15
2014-11-11,6.8
2014-11-12,6.6
2014-11-13,6.3
2014-11-14,6.35
2014-11-17,6.35
2014-11-18,6.2
2014-11-19,6.05
2014-11-20,6.0
2014-11-21,5.95
2014-11-24,5.85
2014-11-25,5.75
2014-11-26,6.0
2014-11-27,5.8
2014-11-28,5.6
2014-12-01,5.85
2014-12-02,5.7
2014-12-03,5.95
2014-12-04,6.05
2014-12-05,5.8
2014-12-08,6.1
2014-12-09,6.0
2014-12-10,6.0
2014-12-11,5.85
2014-12-12,5.75
2014-12-15,5.95
2014-12-16,5.75
2014-12-17,5.5
2014-12-18,5.7
2014-12-19,5.6
2014-12-22,5.55
2014-12-23,5.6
2014-12-24,5.4
2014-12-26,5.6
