Date,CHENNPETRO
2013-01-01,137.5
2013-01-02,139.05
2013-01-03,138.5
2013-01-04,140.8
2013-01-07,141.65
2013-01-08,142.4
2013-01-09,142.8
2013-01-10,146.95
2013-01-11,149.25
2013-01-14,149.95
2013-01-15,149.4
2013-01-16,148.65
2013-01-17,151.6
2013-01-18,155.65
2013-01-21,153.45
2013-01-22,152.75
2013-01-23,147.25
2013-01-24,139.8
2013-01-25,137.95
2013-01-28,138.2
2013-01-29,139.65
2013-01-30,142.9
2013-01-31,140.9
2013-02-01,139.6
2013-02-04,141.15
2013-02-05,141.05
2013-02-06,140.45
2013-02-07,139.95
2013-02-08,140.55
2013-02-11,139.35
2013-02-12,136.35
2013-02-13,130.8
2013-02-14,130.4
2013-02-15,127.25
2013-02-18,128.3
2013-02-19,127.7
2013-02-20,129.35
2013-02-21,128.1
2013-02-22,129.85
2013-02-25,129.9
2013-02-26,127.85
2013-02-27,127.15
2013-02-28,124.6
2013-03-01,125.6
2013-03-04,126.45
2013-03-05,128.55
2013-03-06,128.9
2013-03-07,126.65
2013-03-08,126.8
2013-03-11,125.4
2013-03-12,124.55
2013-03-13,122.0
2013-03-14,119.7
2013-03-15,115.55
2013-03-18,114.9
2013-03-19,114.25
2013-03-20,113.45
2013-03-21,111.7
2013-03-22,111.8
2013-03-25,115.85
2013-03-26,118.5
2013-03-28,122.4
2013-04-01,120.5
2013-04-02,124.25
2013-04-03,124.1
2013-04-04,123.6
2013-04-05,120.1
2013-04-08,121.75
2013-04-09,122.15
2013-04-10,122.95
2013-04-11,122.95
2013-04-12,123.95
2013-04-15,123.45
2013-04-16,121.45
2013-04-17,121.45
2013-04-18,109.95
2013-04-22,110.45
2013-04-23,110.0
2013-04-25,109.75
2013-04-26,109.1
2013-04-29,109.25
2013-04-30,108.65
2013-05-02,109.3
2013-05-03,108.8
2013-05-06,108.2
2013-05-07,109.15
2013-05-08,109.65
2013-05-09,109.9
2013-05-10,109.85
2013-05-11,111.05
2013-05-13,109.05
2013-05-14,108.6
2013-05-15,107.7
2013-05-16,109.05
2013-05-17,108.95
2013-05-20,109.1
2013-05-21,107.9
2013-05-22,106.8
2013-05-23,105.35
2013-05-24,105.8
2013-05-27,105.5
2013-05-28,105.05
2013-05-29,101.8
2013-05-30,100.1
2013-05-31,99.25
2013-06-03,98.35
2013-06-04,97.95
2013-06-05,95.25
2013-06-06,92.1
2013-06-07,90.25
2013-06-10,90.75
2013-06-11,88.3
2013-06-12,84.55
2013-06-13,83.6
2013-06-14,84.8
2013-06-17,80.45
2013-06-18,81.55
2013-06-19,80.35
2013-06-20,79.45
2013-06-21,90.3
2013-06-24,85.6
2013-06-25,81.2
2013-06-26,80.25
2013-06-27,80.0
2013-06-28,84.1
2013-07-01,83.85
2013-07-02,84.0
2013-07-03,83.35
2013-07-04,83.05
2013-07-05,81.2
2013-07-08,80.8
2013-07-09,80.4
2013-07-10,79.35
2013-07-11,79.95
2013-07-12,79.45
2013-07-15,81.45
2013-07-16,81.8
2013-07-17,80.1
2013-07-18,79.95
2013-07-19,80.05
2013-07-22,79.85
2013-07-23,80.55
2013-07-24,78.5
2013-07-25,77.35
2013-07-26,77.1
2013-07-29,77.5
2013-07-30,73.75
2013-07-31,71.9
2013-08-01,70.25
2013-08-02,61.3
2013-08-05,60.75
2013-08-06,58.45
2013-08-07,58.9
2013-08-08,62.7
2013-08-12,65.35
2013-08-13,67.85
2013-08-14,66.7
2013-08-16,64.9
2013-08-19,64.1
2013-08-20,63.4
2013-08-21,62.45
2013-08-22,61.95
2013-08-23,62.7
2013-08-26,62.65
2013-08-27,61.05
2013-08-28,60.15
2013-08-29,60.4
2013-08-30,58.45
2013-09-02,59.2
2013-09-03,59.4
2013-09-04,58.95
2013-09-05,60.0
2013-09-06,65.05
2013-09-10,68.1
2013-09-11,65.2
2013-09-12,62.75
2013-09-13,63.9
2013-09-16,62.7
2013-09-17,61.65
2013-09-18,61.25
2013-09-19,61.6
2013-09-20,58.8
2013-09-23,58.4
2013-09-24,56.75
2013-09-25,56.75
2013-09-26,54.95
2013-09-27,55.15
2013-09-30,55.5
2013-10-01,55.3
2013-10-03,56.05
2013-10-04,56.4
2013-10-07,55.6
2013-10-08,55.65
2013-10-09,54.95
2013-10-10,54.95
2013-10-11,54.6
2013-10-14,54.75
2013-10-15,53.45
2013-10-17,54.25
2013-10-18,54.4
2013-10-21,54.65
2013-10-22,53.85
2013-10-23,54.9
2013-10-24,54.25
2013-10-25,53.6
2013-10-28,53.2
2013-10-29,53.35
2013-10-30,53.35
2013-10-31,52.8
2013-11-01,53.7
2013-11-03,56.2
2013-11-05,65.15
2013-11-06,64.95
2013-11-07,75.45
2013-11-08,70.45
2013-11-11,66.15
2013-11-12,64.25
2013-11-13,62.8
2013-11-14,62.6
2013-11-18,65.2
2013-11-19,67.05
2013-11-20,66.4
2013-11-21,63.45
2013-11-22,63.05
2013-11-25,66.45
2013-11-26,63.9
2013-11-27,64.6
2013-11-28,65.45
2013-11-29,65.05
2013-12-02,64.3
2013-12-03,66.0
2013-12-04,65.6
2013-12-05,67.6
2013-12-06,66.95
2013-12-09,66.45
2013-12-10,64.55
2013-12-11,64.65
2013-12-12,64.65
2013-12-13,63.8
2013-12-16,63.7
2013-12-17,62.05
2013-12-18,63.35
2013-12-19,62.4
2013-12-20,62.3
2013-12-23,63.7
2013-12-24,67.2
2013-12-26,66.55
2013-12-27,68.3
2013-12-30,69.3
2013-12-31,69.55
2014-01-01,69.55
2014-01-02,67.1
2014-01-03,70.75
2014-01-06,69.45
2014-01-07,69.45
2014-01-08,68.15
2014-01-09,67.5
2014-01-10,66.65
2014-01-13,66.85
2014-01-14,67.4
2014-01-15,67.7
2014-01-16,66.8
2014-01-17,67.8
2014-01-20,67.55
2014-01-21,69.35
2014-01-22,70.15
2014-01-23,70.95
2014-01-24,69.25
2014-01-27,66.1
2014-01-28,66.6
2014-01-29,67.3
2014-01-30,66.25
2014-01-31,64.8
2014-02-03,65.95
2014-02-04,67.55
2014-02-05,67.65
2014-02-06,63.85
2014-02-07,62.85
2014-02-10,62.2
2014-02-11,62.4
2014-02-12,64.75
2014-02-13,61.5
2014-02-14,61.1
2014-02-17,60.05
2014-02-18,59.7
2014-02-19,59.55
2014-02-20,59.55
2014-02-21,59.7
2014-02-24,58.6
2014-02-25,58.05
2014-02-26,57.8
2014-02-28,58.45
2014-03-03,58.35
2014-03-04,58.85
2014-03-05,59.15
2014-03-06,62.3
2014-03-07,63.15
2014-03-10,63.3
2014-03-11,62.75
2014-03-12,62.6
2014-03-13,64.05
2014-03-14,63.55
2014-03-18,63.35
2014-03-19,62.7
2014-03-20,64.2
2014-03-21,62.6
2014-03-22,62.9
2014-03-24,65.65
2014-03-25,64.5
2014-03-26,64.7
2014-03-27,67.3
2014-03-28,67.25
2014-03-31,68.45
2014-04-01,67.85
2014-04-02,69.1
2014-04-03,67.8
2014-04-04,66.85
2014-04-07,66.95
2014-04-09,67.3
2014-04-10,69.55
2014-04-11,70.65
2014-04-15,69.75
2014-04-16,67.4
2014-04-17,68.3
2014-04-21,69.0
2014-04-22,71.35
2014-04-23,73.45
2014-04-25,76.95
2014-04-28,78.05
2014-04-29,78.9
2014-04-30,79.7
2014-05-02,79.1
2014-05-05,80.6
2014-05-06,79.35
2014-05-07,78.9
2014-05-08,76.75
2014-05-09,78.8
2014-05-12,78.45
2014-05-13,80.45
2014-05-14,82.8
2014-05-15,79.75
2014-05-16,80.85
2014-05-19,91.4
2014-05-20,100.1
2014-05-21,103.85
2014-05-22,106.55
2014-05-23,107.5
2014-05-26,94.5
2014-05-27,94.05
2014-05-28,93.5
2014-05-29,93.25
2014-05-30,90.6
2014-06-02,92.4
2014-06-03,94.6
2014-06-04,96.95
2014-06-05,99.6
2014-06-06,99.85
2014-06-09,99.0
2014-06-10,96.95
2014-06-11,94.0
2014-06-12,93.3
2014-06-13,89.05
2014-06-16,87.85
2014-06-17,89.95
2014-06-18,87.75
2014-06-19,86.95
2014-06-20,84.9
2014-06-23,86.25
2014-06-24,90.65
2014-06-25,90.3
2014-06-26,93.25
2014-06-27,94.0
2014-06-30,96.2
2014-07-01,94.7
2014-07-02,94.9
2014-07-03,93.75
2014-07-04,96.75
2014-07-07,96.35
2014-07-08,91.75
2014-07-09,90.3
2014-07-10,91.05
2014-07-11,85.95
2014-07-14,86.35
2014-07-15,87.85
2014-07-16,90.75
2014-07-17,90.6
2014-07-18,89.35
2014-07-21,90.3
2014-07-22,88.1
2014-07-23,88.55
2014-07-24,87.75
2014-07-25,84.75
2014-07-28,84.35
2014-07-30,84.85
2014-07-31,84.5
2014-08-01,83.9
2014-08-04,85.0
2014-08-05,87.35
2014-08-06,89.0
2014-08-07,87.35
2014-08-08,89.0
2014-08-11,88.05
2014-08-12,87.35
2014-08-13,84.45
2014-08-14,85.2
2014-08-18,89.1
2014-08-19,95.25
2014-08-20,93.65
2014-08-21,93.6
2014-08-22,90.55
2014-08-25,90.45
2014-08-26,88.5
2014-08-27,91.4
2014-08-28,89.2
2014-09-01,92.8
2014-09-02,92.05
2014-09-03,90.65
2014-09-04,88.0
2014-09-05,88.35
2014-09-08,92.65
2014-09-09,91.2
2014-09-10,90.9
2014-09-11,93.95
2014-09-12,101.5
2014-09-15,101.45
2014-09-16,93.0
2014-09-17,93.6
2014-09-18,103.1
2014-09-19,101.45
2014-09-22,106.7
2014-09-23,101.05
2014-09-24,103.8
2014-09-25,98.6
2014-09-26,102.3
2014-09-29,101.55
2014-09-30,102.0
2014-10-01,100.25
2014-10-07,97.6
2014-10-08,102.0
2014-10-09,106.35
2014-10-10,104.25
2014-10-13,104.2
2014-10-14,101.55
2014-10-16,99.3
2014-10-17,99.8
2014-10-20,101.65
2014-10-21,100.05
