Date,ADVANIHOTR
2013-01-01,30.0
2013-01-02,29.1
2013-01-03,29.05
2013-01-04,28.6
2013-01-07,29.15
2013-01-08,30.6
2013-01-09,31.0
2013-01-10,30.9
2013-01-11,30.8
2013-01-14,30.7
2013-01-15,31.05
2013-01-16,30.5
2013-01-17,30.6
2013-01-18,30.5
2013-01-21,31.05
2013-01-22,30.4
2013-01-23,30.0
2013-01-24,30.2
2013-01-25,30.2
2013-01-28,30.1
2013-01-29,30.1
2013-01-31,29.4
2013-02-01,29.8
2013-02-04,30.3
2013-02-05,29.7
2013-02-06,29.7
2013-02-07,29.7
2013-02-08,29.7
2013-02-12,30.0
2013-02-13,29.9
2013-02-14,29.6
2013-02-15,29.5
2013-02-18,29.7
2013-02-19,29.6
2013-02-20,29.6
2013-02-21,29.6
2013-02-22,29.6
2013-02-26,30.0
2013-02-27,30.0
2013-02-28,30.0
2013-03-01,31.0
2013-03-04,30.0
2013-03-06,29.6
2013-03-07,29.6
2013-03-08,29.5
2013-03-12,30.95
2013-03-14,29.55
2013-03-15,30.0
2013-03-19,29.5
2013-03-21,29.5
2013-03-22,29.5
2013-03-26,29.4
2013-03-28,29.4
2013-04-01,29.5
2013-04-02,28.9
2013-04-03,29.4
2013-04-05,29.4
2013-04-11,29.4
2013-05-02,29.35
2013-05-07,29.2
2013-05-08,28.9
2013-05-22,28.8
2013-05-23,28.8
2013-05-29,28.8
2013-05-30,28.8
2013-06-03,28.8
2013-06-07,28.8
2013-06-11,28.8
2013-06-13,28.7
2013-06-14,28.7
2013-06-20,28.7
2013-06-24,28.7
2013-06-25,28.7
2013-07-01,28.7
2013-07-02,28.7
2013-07-05,28.7
2013-07-12,28.7
2013-07-16,29.5
2013-07-17,28.6
2013-07-23,28.6
2013-07-29,28.6
2013-07-30,28.6
2013-07-31,28.5
2013-08-01,28.5
2013-08-05,28.5
2013-08-06,28.5
2013-08-07,28.5
2013-08-08,28.5
2013-08-12,28.5
2013-08-16,28.5
2013-08-21,28.4
2013-08-29,28.4
2013-09-03,29.0
2013-09-05,29.0
2013-09-10,28.4
2013-09-11,28.0
2013-09-13,28.4
2013-09-24,28.4
2013-09-25,28.0
2013-09-26,28.4
2013-09-30,28.4
2013-10-04,29.0
2013-10-09,28.5
2013-10-14,29.3
2013-10-17,29.0
2013-10-23,28.4
2013-10-28,28.4
2013-10-29,28.4
2013-10-31,28.4
2013-11-01,29.5
2013-11-05,28.4
2013-11-06,28.4
2013-11-07,28.3
2013-11-11,28.5
2013-11-12,28.3
2013-11-18,28.3
2013-11-19,28.3
2013-11-20,28.3
2013-11-21,28.3
2013-11-25,28.3
2013-11-26,28.3
2013-11-27,28.3
2013-11-28,28.3
2013-12-05,28.3
2013-12-06,28.3
2013-12-09,28.2
2013-12-10,28.2
2013-12-13,29.0
2013-12-16,28.5
2013-12-18,29.0
2013-12-19,29.0
2013-12-20,29.0
2013-12-23,29.2
2013-12-26,29.2
2013-12-27,29.25
2014-01-01,29.0
2014-01-02,29.0
2014-01-06,29.1
2014-01-07,29.55
2014-01-08,29.5
2014-01-09,30.0
2014-01-10,30.0
2014-01-13,31.5
2014-01-14,33.05
