Date,BANKBARODA
2013-01-01,883.55
2013-01-02,887.55
2013-01-03,889.55
2013-01-04,884.3
2013-01-07,878.35
2013-01-08,882.35
2013-01-09,870.1
2013-01-10,883.65
2013-01-11,871.95
2013-01-14,879.05
2013-01-15,877.85
2013-01-16,873.55
2013-01-17,867.0
2013-01-18,884.65
2013-01-21,881.0
2013-01-22,871.25
2013-01-23,867.5
2013-01-24,839.6
2013-01-25,882.0
2013-01-28,870.0
2013-01-29,846.65
2013-01-30,832.3
2013-01-31,867.75
2013-02-01,868.0
2013-02-04,804.15
2013-02-05,782.3
2013-02-06,795.4
2013-02-07,773.1
2013-02-08,768.25
2013-02-11,765.3
2013-02-12,771.5
2013-02-13,760.95
2013-02-14,758.1
2013-02-15,757.6
2013-02-18,759.45
2013-02-19,765.75
2013-02-20,762.0
2013-02-21,745.75
2013-02-22,740.6
2013-02-25,730.85
2013-02-26,726.55
2013-02-27,736.25
2013-02-28,695.65
2013-03-01,708.75
2013-03-04,709.2
2013-03-05,711.55
2013-03-06,729.6
2013-03-07,726.45
2013-03-08,732.35
2013-03-11,741.85
2013-03-12,740.75
2013-03-13,721.05
2013-03-14,725.0
2013-03-15,720.05
2013-03-18,718.45
2013-03-19,701.7
2013-03-20,687.35
2013-03-21,651.4
2013-03-22,676.65
2013-03-25,658.25
2013-03-26,664.9
2013-03-28,675.4
2013-04-01,684.7
2013-04-02,695.8
2013-04-03,672.1
2013-04-04,655.5
2013-04-05,655.8
2013-04-08,643.4
2013-04-09,637.05
2013-04-10,648.9
2013-04-11,648.75
2013-04-12,655.35
2013-04-15,677.85
2013-04-16,681.25
2013-04-17,675.6
2013-04-18,688.25
2013-04-22,698.85
2013-04-23,692.7
2013-04-25,708.55
2013-04-26,697.55
2013-04-29,698.7
2013-04-30,698.95
2013-05-02,711.9
2013-05-03,699.45
2013-05-06,700.3
2013-05-07,704.9
2013-05-08,692.1
2013-05-09,699.9
2013-05-10,703.2
2013-05-11,703.45
2013-05-13,690.05
2013-05-14,704.25
2013-05-15,727.95
2013-05-16,727.85
2013-05-17,740.45
2013-05-20,734.65
2013-05-21,735.35
2013-05-22,710.95
2013-05-23,689.9
2013-05-24,691.5
2013-05-27,682.25
2013-05-28,683.8
2013-05-29,679.45
2013-05-30,685.45
2013-05-31,651.65
2013-06-03,662.25
