Date,ASSAMCO
2013-01-01,5.3
2013-01-02,5.55
2013-01-03,6.25
2013-01-04,6.5
2013-01-07,7.25
2013-01-08,8.5
2013-01-09,8.0
2013-01-10,8.35
2013-01-11,8.4
2013-01-14,8.85
2013-01-15,9.1
2013-01-16,8.5
2013-01-17,8.4
2013-01-18,8.15
2013-01-21,7.85
2013-01-22,7.55
2013-01-23,8.2
2013-01-24,7.65
2013-01-25,7.8
2013-01-28,7.75
2013-01-29,7.5
2013-01-30,7.2
2013-01-31,7.4
2013-02-01,7.6
2013-02-04,7.35
2013-02-05,7.1
2013-02-06,7.15
2013-02-07,7.05
2013-02-08,6.9
2013-02-11,7.4
2013-02-12,7.8
2013-02-13,8.2
2013-02-14,7.7
2013-02-15,7.5
2013-02-18,7.6
2013-02-19,7.7
2013-02-20,7.5
2013-02-21,7.25
2013-02-22,7.2
2013-02-25,7.05
2013-02-26,7.75
2013-02-27,7.0
2013-02-28,6.9
2013-03-01,6.9
2013-03-04,6.5
2013-03-05,6.85
2013-03-06,6.85
2013-03-07,6.9
2013-03-08,6.9
2013-03-11,6.7
2013-03-12,6.8
2013-03-13,6.65
2013-03-14,6.75
2013-03-15,6.6
2013-03-18,6.45
2013-03-19,6.3
2013-03-20,5.85
2013-03-21,5.75
2013-03-22,5.65
2013-03-25,5.35
2013-03-26,5.05
2013-03-28,5.25
2013-04-01,5.75
2013-04-02,6.05
2013-04-03,6.0
2013-04-04,5.75
2013-04-05,5.8
2013-04-08,5.7
2013-04-09,5.7
2013-04-10,5.7
2013-04-11,5.75
2013-04-12,5.7
2013-04-15,5.65
2013-04-16,5.65
2013-04-17,5.65
2013-04-18,5.7
2013-04-22,5.9
2013-04-23,5.85
2013-04-25,5.6
2013-04-26,5.65
2013-04-29,5.35
2013-04-30,5.4
2013-05-02,5.15
2013-05-03,5.15
2013-05-06,5.2
2013-05-07,5.25
2013-05-08,5.25
2013-05-09,5.15
2013-05-10,5.25
2013-05-11,5.3
2013-05-13,5.2
2013-05-14,5.1
2013-05-15,5.05
2013-05-16,4.95
2013-05-17,5.05
2013-05-20,5.1
2013-05-21,4.95
2013-05-22,4.85
2013-05-23,4.7
2013-05-24,4.7
2013-05-27,4.75
2013-05-28,4.75
2013-05-29,4.65
2013-05-30,4.55
2013-05-31,4.6
2013-06-03,4.55
2013-06-04,4.55
2013-06-05,4.5
2013-06-06,4.35
2013-06-07,4.1
2013-06-10,4.1
2013-06-11,4.0
2013-06-12,4.0
2013-06-13,4.05
2013-06-14,4.2
2013-06-17,4.0
2013-06-18,4.0
2013-06-19,4.0
2013-06-20,4.0
2013-06-21,3.85
2013-06-24,3.8
2013-06-25,3.6
2013-06-26,3.65
2013-06-27,3.75
2013-06-28,3.95
2013-07-01,4.35
2013-07-02,4.2
2013-07-03,3.9
2013-07-04,3.9
2013-07-05,4.0
2013-07-08,3.95
2013-07-09,4.05
2013-07-10,4.1
2013-07-11,4.1
2013-07-12,4.2
2013-07-15,4.1
2013-07-16,4.05
2013-07-17,4.35
2013-07-18,4.2
2013-07-19,5.0
2013-07-22,6.0
2013-07-23,5.65
2013-07-24,5.3
2013-07-25,5.0
2013-07-26,5.0
2013-07-29,4.8
2013-07-30,4.8
2013-07-31,4.45
2013-08-01,4.2
2013-08-02,4.05
2013-08-05,4.2
2013-08-06,4.05
2013-08-07,4.25
2013-08-08,4.45
2013-08-12,4.65
2013-08-13,4.6
2013-08-14,4.6
2013-08-16,4.4
2013-08-19,4.2
2013-08-20,4.15
2013-08-21,4.35
2013-08-22,4.55
2013-08-23,4.75
2013-08-26,4.95
2013-08-27,5.15
2013-08-28,5.0
2013-08-29,5.05
2013-08-30,4.95
2013-09-02,5.1
2013-09-03,5.0
2013-09-04,4.8
2013-09-05,4.65
2013-09-06,4.55
2013-09-10,4.75
2013-09-11,4.85
2013-09-12,4.75
2013-09-13,4.7
2013-09-16,4.75
2013-09-17,4.65
2013-09-18,4.6
2013-09-19,4.6
2013-09-20,4.55
2013-09-23,4.45
2013-09-24,4.4
2013-09-25,4.35
2013-09-26,4.15
2013-09-27,4.05
2013-09-30,4.35
2013-10-01,4.4
2013-10-03,4.35
2013-10-04,4.2
2013-10-07,4.35
2013-10-08,4.25
2013-10-09,4.45
2013-10-10,4.35
2013-10-11,4.3
2013-10-14,4.3
2013-10-15,4.3
2013-10-17,4.4
2013-10-18,4.35
2013-10-21,4.75
2013-10-22,4.65
2013-10-23,4.6
2013-10-24,4.5
2013-10-25,4.25
2013-10-28,4.1
2013-10-29,4.5
2013-10-30,4.3
2013-10-31,4.3
2013-11-01,4.4
2013-11-03,4.5
2013-11-05,4.4
2013-11-06,4.45
2013-11-07,4.45
2013-11-08,4.4
2013-11-11,4.35
2013-11-12,4.35
2013-11-13,4.45
2013-11-14,4.6
2013-11-18,5.0
2013-11-19,5.15
2013-11-20,4.95
2013-11-21,4.75
2013-11-22,4.7
2013-11-25,4.7
2013-11-26,4.75
2013-11-27,4.75
2013-11-28,4.65
2013-11-29,4.65
2013-12-02,4.8
2013-12-03,4.8
2013-12-04,4.7
2013-12-05,4.8
2013-12-06,4.75
2013-12-09,4.8
2013-12-10,4.8
2013-12-11,4.65
2013-12-12,4.75
2013-12-13,4.7
2013-12-16,4.7
2013-12-17,5.05
2013-12-18,5.4
2013-12-19,5.0
2013-12-20,5.1
2013-12-23,5.05
2013-12-24,5.0
2013-12-26,5.2
2013-12-27,5.1
2013-12-30,5.35
2013-12-31,5.25
2014-01-01,6.25
2014-01-02,5.85
2014-01-03,5.9
2014-01-06,5.9
2014-01-07,5.7
2014-01-08,6.8
2014-01-09,6.35
2014-01-10,6.1
2014-01-13,6.2
2014-01-14,6.15
2014-01-15,6.05
2014-01-16,6.0
2014-01-17,5.65
2014-01-20,5.65
2014-01-21,5.8
2014-01-22,6.1
2014-01-23,6.0
2014-01-24,5.7
2014-01-27,5.3
2014-01-28,5.2
2014-01-29,5.1
2014-01-30,5.1
2014-01-31,5.15
2014-02-03,5.15
2014-02-04,5.2
2014-02-05,5.15
