Date,HOTELEELA
2013-01-01,29.85
2013-01-02,29.6
2013-01-03,29.95
2013-01-04,29.75
2013-01-07,29.8
2013-01-08,29.8
2013-01-09,29.9
2013-01-10,29.35
2013-01-11,29.2
2013-01-14,29.2
2013-01-15,29.15
2013-01-16,29.1
2013-01-17,28.85
2013-01-18,28.55
2013-01-21,28.55
2013-01-22,28.8
2013-01-23,28.4
2013-01-24,27.85
2013-01-25,27.8
2013-01-28,27.8
2013-01-29,27.5
2013-01-30,27.35
2013-01-31,27.25
2013-02-01,27.15
2013-02-04,27.05
2013-02-05,26.65
2013-02-06,26.75
2013-02-07,26.5
2013-02-08,25.55
2013-02-11,25.2
2013-02-12,25.25
2013-02-13,25.15
2013-02-14,24.75
2013-02-15,24.7
2013-02-18,24.55
2013-02-19,27.0
2013-02-20,26.15
2013-02-21,24.95
2013-02-22,24.8
2013-02-25,24.85
2013-02-26,24.05
2013-02-27,24.4
2013-02-28,23.45
2013-03-01,23.35
2013-03-04,22.95
2013-03-05,23.0
2013-03-06,23.3
2013-03-07,23.6
2013-03-08,24.0
2013-03-11,23.35
2013-03-12,23.3
2013-03-13,22.75
2013-03-14,22.9
2013-03-15,21.35
2013-03-18,21.6
2013-03-19,21.4
2013-03-20,20.7
2013-03-21,20.9
2013-03-22,20.95
2013-03-25,20.55
2013-03-26,20.15
2013-03-28,20.15
2013-04-01,20.5
2013-04-02,21.3
2013-04-03,21.95
2013-04-04,21.05
2013-04-05,20.65
2013-04-08,21.4
2013-04-09,21.0
2013-04-10,20.9
2013-04-11,22.2
2013-04-12,21.45
2013-04-15,21.55
2013-04-16,21.5
2013-04-17,21.3
2013-04-18,21.45
2013-04-22,21.6
2013-04-23,21.7
2013-04-25,21.65
2013-04-26,21.25
2013-04-29,20.85
2013-04-30,21.1
2013-05-02,21.1
2013-05-03,20.8
2013-05-06,21.1
2013-05-07,21.55
2013-05-08,21.5
2013-05-09,21.3
2013-05-10,21.15
2013-05-11,21.1
2013-05-13,21.15
2013-05-14,21.05
2013-05-15,20.9
2013-05-16,20.95
2013-05-17,20.85
2013-05-20,21.7
2013-05-21,20.8
2013-05-22,20.45
2013-05-23,20.0
2013-05-24,19.9
2013-05-27,20.1
2013-05-28,20.15
2013-05-29,20.1
2013-05-30,20.15
