Date,SELAN
2013-01-01,309.7
2013-01-02,312.15
2013-01-03,317.3
2013-01-04,315.4
2013-01-07,324.15
2013-01-08,319.35
2013-01-09,319.25
2013-01-10,318.15
2013-01-11,313.4
2013-01-14,311.55
2013-01-15,310.0
2013-01-16,305.85
2013-01-17,305.1
2013-01-18,308.35
2013-01-21,305.1
2013-01-22,303.95
2013-01-23,301.45
2013-01-24,292.75
2013-01-25,311.4
2013-01-28,315.95
2013-01-29,314.7
2013-01-30,312.65
2013-01-31,313.15
2013-02-01,313.75
2013-02-04,313.5
2013-02-05,308.4
2013-02-06,313.25
2013-02-07,305.2
2013-02-08,306.5
2013-02-11,306.4
2013-02-12,305.9
2013-02-13,303.0
2013-02-14,295.7
2013-02-15,296.9
2013-02-18,302.25
2013-02-19,300.05
2013-02-20,300.55
2013-02-21,297.7
2013-02-22,299.2
2013-02-25,292.35
2013-02-26,292.85
2013-02-27,286.9
2013-02-28,270.0
2013-03-01,277.35
2013-03-04,277.85
2013-03-05,283.35
2013-03-06,279.55
2013-03-07,279.95
2013-03-08,280.6
2013-03-11,281.35
2013-03-12,276.9
2013-03-13,274.25
2013-03-14,272.65
2013-03-15,269.8
2013-03-18,268.2
2013-03-19,265.4
2013-03-20,259.1
2013-03-21,253.15
2013-03-22,250.35
2013-03-25,260.3
2013-03-26,250.0
2013-03-28,253.0
2013-04-01,260.7
2013-04-02,269.2
2013-04-03,260.75
2013-04-04,252.55
2013-04-05,254.05
2013-04-08,260.55
2013-04-09,256.9
2013-04-10,254.3
2013-04-11,252.3
2013-04-12,255.2
2013-04-15,250.7
2013-04-16,249.55
2013-04-17,247.05
2013-04-18,242.35
2013-04-22,248.85
2013-04-23,250.4
2013-04-25,253.0
2013-04-26,249.2
2013-04-29,250.85
2013-04-30,251.05
2013-05-02,248.45
2013-05-03,247.15
2013-05-06,252.95
2013-05-07,252.4
2013-05-08,257.45
2013-05-09,262.1
2013-05-10,261.95
2013-05-11,258.2
2013-05-13,247.95
2013-05-14,246.9
2013-05-15,247.2
2013-05-16,243.45
2013-05-17,242.3
2013-05-20,235.3
2013-05-21,232.35
2013-05-22,227.9
2013-05-23,216.4
2013-05-24,217.6
2013-05-27,231.45
2013-05-28,241.05
2013-05-29,243.75
2013-05-30,257.45
2013-05-31,259.65
2013-06-03,258.25
