Date,BHARATGEAR
2013-01-01,52.75
2013-01-02,55.0
2013-01-03,54.55
2013-01-04,54.85
2013-01-07,55.25
2013-01-08,54.8
2013-01-09,54.6
2013-01-10,54.9
2013-01-11,54.7
2013-01-14,56.8
2013-01-15,58.15
2013-01-16,56.35
2013-01-17,56.35
2013-01-18,55.3
2013-01-21,55.8
2013-01-22,54.7
2013-01-23,54.5
2013-01-24,50.15
2013-01-25,48.6
2013-01-28,48.75
2013-01-29,48.5
2013-01-30,48.45
2013-01-31,47.5
2013-02-01,47.6
2013-02-04,46.85
2013-02-05,45.8
2013-02-06,45.0
2013-02-07,45.0
2013-02-08,44.9
2013-02-11,44.25
2013-02-12,45.2
2013-02-13,44.7
2013-02-14,42.75
2013-02-15,42.0
2013-02-18,42.55
2013-02-19,43.95
2013-02-20,44.5
2013-02-21,44.65
2013-02-22,43.0
2013-02-25,42.2
2013-02-26,40.75
2013-02-27,42.2
2013-02-28,41.55
2013-03-01,41.3
2013-03-04,40.75
2013-03-05,40.6
2013-03-06,41.6
2013-03-07,42.35
2013-03-08,41.5
2013-03-11,41.75
2013-03-12,41.0
2013-03-13,40.85
2013-03-14,41.3
2013-03-15,41.2
2013-03-18,40.6
2013-03-19,40.15
2013-03-20,38.75
2013-03-21,38.5
2013-03-22,37.2
2013-03-25,37.05
2013-03-26,36.85
2013-03-28,38.6
2013-04-01,39.0
2013-04-02,39.85
2013-04-03,41.0
2013-04-04,39.2
2013-04-05,38.05
2013-04-08,39.15
2013-04-09,38.05
2013-04-10,38.1
2013-04-11,38.05
2013-04-12,37.35
2013-04-15,38.75
2013-04-16,38.9
2013-04-17,38.2
2013-04-18,38.25
2013-04-22,38.35
2013-04-23,39.6
2013-04-25,38.2
2013-04-26,38.4
2013-04-29,37.2
2013-04-30,37.5
2013-05-02,37.95
2013-05-03,39.55
2013-05-06,39.15
2013-05-07,40.6
2013-05-08,40.6
2013-05-09,39.95
2013-05-10,40.9
2013-05-11,40.25
2013-05-13,39.0
2013-05-14,40.8
2013-05-15,40.1
2013-05-16,40.15
2013-05-17,41.1
2013-05-20,41.75
2013-05-21,40.15
2013-05-22,39.7
2013-05-23,38.3
2013-05-24,37.95
2013-05-27,37.4
2013-05-28,39.7
2013-05-29,37.6
2013-05-30,38.5
2013-05-31,37.7
2013-06-03,37.6
2013-06-04,37.85
2013-06-05,38.35
2013-06-06,37.15
2013-06-07,36.65
2013-06-10,36.05
2013-06-11,35.55
2013-06-12,35.05
2013-06-13,34.7
2013-06-14,35.8
2013-06-17,36.45
2013-06-18,37.05
2013-06-19,37.05
2013-06-20,36.7
2013-06-21,36.0
2013-06-24,36.6
2013-06-25,35.15
2013-06-26,35.05
2013-06-27,34.5
2013-06-28,34.95
2013-07-01,35.45
2013-07-02,37.35
2013-07-03,36.5
2013-07-04,36.8
2013-07-05,36.35
2013-07-08,35.0
2013-07-09,35.0
2013-07-15,36.0
2013-07-17,36.0
2013-07-18,37.35
2013-07-19,38.0
2013-07-22,36.5
2013-07-23,36.1
2013-07-25,35.75
2013-07-26,34.15
2013-07-29,34.1
2013-07-30,31.5
2013-07-31,32.0
2013-08-02,27.5
2013-08-05,26.5
2013-08-06,27.8
2013-08-07,28.5
2013-08-12,28.5
2013-08-13,27.55
2013-08-14,28.35
2013-08-16,25.95
2013-08-19,26.0
2013-08-20,26.8
2013-08-21,26.05
2013-08-22,27.0
2013-08-26,28.3
2013-08-29,27.5
2013-08-30,27.35
2013-09-02,27.0
2013-09-03,26.05
2013-09-04,27.8
2013-09-05,28.5
2013-09-06,28.0
2013-09-11,29.0
2013-09-12,28.2
2013-09-13,30.0
2013-09-16,30.5
2013-09-17,30.95
2013-09-18,30.25
2013-09-19,30.1
2013-09-20,30.25
2013-09-23,30.0
2013-09-24,30.0
2013-09-25,29.5
2013-09-27,30.0
2013-10-03,30.25
2013-10-08,30.3
2013-10-11,30.55
2013-10-14,30.6
2013-10-15,31.0
2013-10-18,32.05
2013-10-21,32.5
2013-10-22,32.5
2013-10-23,35.0
2013-10-28,40.0
2013-10-29,40.05
2013-10-30,42.0
2013-10-31,38.65
2013-11-01,40.0
2013-11-05,41.9
2013-11-06,41.7
2013-11-07,42.05
2013-11-08,40.5
2013-11-11,41.95
2013-11-12,40.05
2013-11-18,39.0
2013-11-19,40.0
2013-11-20,40.0
2013-11-21,39.0
2013-11-22,40.0
2013-11-25,40.1
2013-11-26,40.05
2013-11-27,41.5
2013-11-28,42.1
2013-11-29,41.55
2013-12-02,41.0
2013-12-03,42.0
2013-12-04,41.35
2013-12-05,41.0
2013-12-06,41.5
2013-12-09,41.1
2013-12-10,40.25
2013-12-11,42.0
2013-12-12,42.05
2013-12-13,42.0
2013-12-17,42.0
2013-12-18,41.55
2013-12-19,42.0
2013-12-20,42.0
2013-12-23,43.2
2013-12-24,44.5
2013-12-26,45.0
2013-12-27,45.8
2013-12-30,48.05
2013-12-31,50.45
2014-01-01,49.5
2014-01-02,49.0
2014-01-03,47.5
2014-01-06,49.0
2014-01-07,49.0
2014-01-08,49.5
2014-01-09,47.1
2014-01-10,46.3
2014-01-13,46.5
2014-01-14,45.3
2014-01-15,45.0
2014-01-16,44.25
2014-01-17,43.7
2014-01-20,43.8
2014-01-21,45.5
2014-01-22,45.65
2014-01-23,49.3
2014-01-24,52.3
2014-01-27,48.2
2014-01-28,47.7
2014-01-29,48.65
2014-01-30,43.8
2014-01-31,39.45
2014-02-03,38.95
2014-02-04,38.7
2014-02-05,40.0
2014-02-06,38.3
2014-02-07,38.35
2014-02-10,37.85
2014-02-11,36.55
2014-02-12,36.7
2014-02-13,36.0
2014-02-14,37.8
2014-02-17,39.55
2014-02-18,41.05
2014-02-19,42.05
2014-02-20,41.7
2014-02-21,39.75
2014-02-24,41.0
2014-02-25,40.9
2014-02-26,39.6
2014-02-28,38.0
2014-03-03,39.2
2014-03-04,37.55
2014-03-05,38.05
2014-03-06,39.25
2014-03-07,38.2
2014-03-10,39.5
2014-03-11,39.7
2014-03-12,38.7
2014-03-13,38.1
2014-03-14,38.5
2014-03-18,38.15
2014-03-19,38.75
2014-03-20,38.5
2014-03-21,38.55
2014-03-22,39.9
2014-03-24,39.1
2014-03-25,38.8
2014-03-26,39.55
2014-03-27,39.5
2014-03-28,39.95
2014-03-31,39.3
2014-04-01,39.65
2014-04-02,40.9
2014-04-03,41.25
