Date,RPGLIFE
2013-01-01,85.25
2013-01-02,85.2
2013-01-03,84.0
2013-01-04,83.05
2013-01-07,82.1
2013-01-08,78.7
2013-01-09,80.5
2013-01-10,80.0
2013-01-11,80.0
2013-01-14,80.0
2013-01-15,80.1
2013-01-16,80.0
2013-01-17,80.35
2013-01-18,79.1
2013-01-21,74.45
2013-01-22,73.35
2013-01-23,75.5
2013-01-24,77.25
2013-01-25,78.0
2013-01-28,80.0
2013-01-29,81.95
2013-01-30,80.45
2013-01-31,82.75
2013-02-01,80.0
2013-02-04,78.5
2013-02-05,75.5
2013-02-06,69.55
2013-02-07,67.5
2013-02-08,66.4
2013-02-11,65.55
2013-02-12,63.35
2013-02-13,63.0
2013-02-14,60.05
2013-02-15,57.95
2013-02-18,58.55
2013-02-19,59.9
2013-02-20,59.1
2013-02-21,57.1
2013-02-22,58.1
2013-02-25,59.1
2013-02-26,57.95
2013-02-27,57.25
2013-02-28,58.0
2013-03-01,54.85
2013-03-04,54.35
2013-03-05,52.85
2013-03-06,52.35
2013-03-07,51.6
2013-03-08,52.95
2013-03-11,52.6
2013-03-12,52.45
2013-03-13,49.1
2013-03-14,52.25
2013-03-15,52.5
2013-03-18,53.35
2013-03-19,52.55
2013-03-20,52.35
2013-03-21,52.5
2013-03-22,52.0
2013-03-25,56.55
2013-03-26,58.3
2013-03-28,60.25
2013-04-01,59.7
2013-04-02,59.0
2013-04-03,57.35
2013-04-04,56.95
2013-04-05,59.0
2013-04-08,57.9
2013-04-09,58.5
2013-04-10,65.8
2013-04-11,62.9
2013-04-12,66.85
2013-04-15,67.3
2013-04-16,67.0
2013-04-17,66.55
2013-04-18,67.4
2013-04-22,67.3
2013-04-23,62.85
2013-04-25,62.1
2013-04-26,60.7
2013-04-29,67.65
2013-04-30,66.55
2013-05-02,63.7
2013-05-03,62.15
2013-05-06,62.4
2013-05-07,61.55
2013-05-08,73.7
2013-05-09,68.05
2013-05-10,65.8
2013-05-11,67.15
2013-05-13,67.0
2013-05-14,68.1
2013-05-15,69.25
2013-05-16,69.0
2013-05-17,69.0
2013-05-20,69.0
2013-05-21,69.0
2013-05-22,68.8
2013-05-23,68.65
2013-05-24,69.35
2013-05-27,69.05
2013-05-28,69.0
2013-05-29,69.0
2013-05-30,69.0
2013-05-31,69.0
2013-06-03,66.75
2013-06-04,67.9
2013-06-05,68.55
2013-06-06,65.25
2013-06-07,67.4
2013-06-10,63.9
2013-06-11,62.05
2013-06-12,63.3
2013-06-13,63.65
2013-06-14,60.95
2013-06-17,63.05
2013-06-18,62.9
2013-06-19,63.4
2013-06-20,63.55
2013-06-21,63.1
2013-06-24,61.8
2013-06-25,61.7
2013-06-26,61.3
2013-06-27,62.0
2013-06-28,63.25
2013-07-01,62.2
2013-07-02,62.2
2013-07-03,62.0
2013-07-04,62.2
2013-07-05,62.3
2013-07-08,62.25
2013-07-09,63.15
2013-07-10,62.5
2013-07-11,62.0
2013-07-12,62.5
2013-07-15,62.55
2013-07-16,62.15
2013-07-17,63.75
