Date,RAMCOSYS
2013-01-01,97.75
2013-01-02,100.05
2013-01-03,99.15
2013-01-04,98.7
2013-01-07,97.35
2013-01-08,97.1
2013-01-09,97.9
2013-01-10,97.5
2013-01-11,96.8
2013-01-14,95.1
2013-01-15,97.75
2013-01-16,97.7
2013-01-17,97.9
2013-01-18,96.3
2013-01-21,97.25
2013-01-22,97.85
2013-01-23,96.35
2013-01-24,95.6
2013-01-25,96.05
2013-01-28,98.25
2013-01-29,96.65
2013-01-30,96.95
2013-01-31,96.6
2013-02-01,96.9
2013-02-04,96.35
2013-02-05,94.75
2013-02-06,95.9
2013-02-07,94.8
2013-02-08,92.9
2013-02-11,91.7
2013-02-12,91.5
2013-02-13,89.95
2013-02-14,81.1
2013-02-15,87.5
2013-02-18,87.25
2013-02-19,85.0
2013-02-20,89.35
2013-02-21,90.15
2013-02-22,91.0
2013-02-25,95.55
2013-02-26,97.2
2013-02-27,96.2
2013-02-28,96.25
2013-03-01,92.65
2013-03-04,83.55
2013-03-05,92.1
2013-03-06,92.15
2013-03-07,92.0
2013-03-08,90.9
2013-03-11,97.7
2013-03-12,94.0
2013-03-13,99.7
2013-03-14,105.7
2013-03-15,105.85
2013-03-18,106.2
2013-03-19,109.95
2013-03-20,110.9
2013-03-21,108.4
2013-03-22,104.85
2013-03-25,109.75
2013-03-26,120.0
2013-03-28,118.5
2013-04-01,113.3
2013-06-14,91.2
2013-06-17,86.75
2013-06-18,83.65
2013-06-19,79.5
2013-06-20,79.85
2013-06-21,77.15
2013-06-24,76.2
2013-06-25,76.05
2013-06-26,77.45
2013-06-27,75.15
2013-06-28,72.75
2013-07-01,74.15
2013-07-02,72.2
2013-07-03,69.85
2013-07-04,70.4
2013-07-05,71.2
2013-07-08,76.2
2013-07-09,83.8
2013-07-10,92.15
2013-07-11,87.55
2013-07-12,91.9
2013-07-15,91.0
2013-07-16,92.6
2013-07-17,88.9
2013-07-18,90.9
2013-08-30,77.25
2013-09-02,76.0
2013-09-03,75.9
2013-09-04,75.0
2013-09-05,76.1
2013-09-06,81.75
2013-09-10,77.25
2013-09-11,78.5
2013-09-12,77.5
2013-09-13,77.05
2013-09-16,76.05
2013-09-17,76.0
2013-09-18,75.0
2013-09-19,75.85
2013-09-20,74.8
2013-09-23,75.0
2013-09-24,76.6
2013-09-25,77.0
2013-09-26,74.05
2013-09-27,70.8
2013-09-30,72.55
2013-10-01,73.0
2013-10-03,73.9
2013-10-04,75.65
2013-10-07,78.55
2013-10-08,78.9
2013-10-09,86.25
2013-10-10,85.85
2013-10-11,90.55
2013-10-14,94.05
2013-10-15,93.05
2013-10-17,91.95
2013-10-18,91.7
2013-10-21,92.3
2013-10-22,97.2
2013-10-23,94.95
2013-10-24,86.15
2013-10-25,90.05
2013-10-28,94.1
2013-10-29,92.15
2013-10-30,91.0
2013-10-31,90.85
2013-11-01,90.8
2013-11-03,90.85
2013-11-05,92.5
2013-11-06,92.05
2013-11-07,98.7
2013-11-08,105.2
2013-11-11,108.95
2013-11-12,105.1
2013-11-13,108.0
2013-11-14,107.75
2013-11-18,129.3
2013-11-19,122.9
2013-11-20,120.75
2013-11-21,122.25
2014-03-03,208.45
2014-03-04,218.85
2014-03-05,229.75
2014-03-06,238.7
2014-03-07,246.65
2014-03-10,234.4
2014-03-11,222.7
2014-03-12,226.8
2014-03-13,219.35
2014-03-14,211.6
2014-03-18,213.2
2014-03-19,207.6
2014-03-20,197.3
2014-03-21,191.9
2014-03-22,198.7
2014-03-24,208.6
2014-03-25,212.75
2014-03-26,203.25
2014-03-27,199.8
2014-03-28,196.75
2014-03-31,200.6
2014-04-01,200.0
2014-04-02,195.75
2014-04-03,199.65
2014-04-04,198.75
2014-04-07,196.8
2014-04-09,196.55
2014-04-10,191.55
2014-04-11,182.0
2014-04-15,179.95
2014-04-16,178.0
2014-04-17,177.9
2014-04-21,180.2
2014-04-22,171.95
2014-04-23,168.3
2014-04-25,168.45
2014-04-28,168.0
2014-04-29,165.55
2014-04-30,162.45
2014-05-02,161.7
2014-05-05,160.6
2014-05-06,162.75
2014-05-07,163.2
2014-05-08,162.05
2014-05-09,162.6
2014-05-12,162.6
2014-05-13,165.9
2014-05-14,164.05
2014-05-15,161.5
2014-05-16,158.0
2014-05-19,170.5
2014-05-20,174.1
2014-05-21,170.55
2014-05-22,184.35
2014-05-23,194.95
2014-05-26,186.05
2014-05-27,182.95
2014-05-28,190.3
2014-05-29,199.35
2014-05-30,208.6
2014-06-02,203.5
2014-06-03,194.55
2014-06-04,191.55
2014-06-05,189.3
2014-06-30,211.05
2014-07-01,221.6
2014-07-02,230.4
2014-07-03,231.95
2014-07-04,239.7
2014-07-07,231.95
2014-07-08,220.4
2014-07-09,219.45
2014-07-10,227.0
2014-07-11,217.1
2014-07-14,215.75
2014-07-15,226.5
2014-07-16,237.8
2014-07-17,242.7
2014-07-18,237.0
2014-07-21,247.5
2014-07-22,259.85
2014-07-23,272.8
2014-07-24,286.4
2014-07-25,295.85
2014-07-28,309.15
2014-07-30,324.6
2014-07-31,340.65
2014-08-01,323.65
2014-08-04,307.5
2014-08-05,322.85
2014-10-10,462.45
2014-10-13,472.35
2014-10-14,451.2
2014-10-16,428.65
2014-10-17,421.6
2014-10-20,416.95
2014-10-21,437.75
2014-10-22,451.1
2014-10-23,446.75
2014-10-27,427.7
2014-10-28,420.5
2014-10-29,423.45
2014-10-30,433.2
2014-10-31,425.15
2014-11-03,425.65
2014-11-05,430.85
2014-11-07,452.35
2014-11-10,449.7
2014-11-11,437.5
2014-11-12,429.75
2014-11-13,432.1
2014-11-14,421.5
2014-11-17,423.6
2014-11-18,422.5
2014-11-19,425.7
2014-11-20,438.3
2014-11-21,425.35
2014-11-24,422.95
2014-11-25,422.45
2014-11-26,426.65
2014-11-27,430.2
2014-11-28,427.75
2014-12-01,430.35
2014-12-02,419.1
2014-12-03,455.1
2014-12-04,472.85
2014-12-05,507.25
2014-12-08,496.1
2014-12-09,495.65
2014-12-10,488.55
2014-12-11,469.35
2014-12-12,459.95
2014-12-15,459.4
2014-12-16,432.75
2014-12-17,439.6
2014-12-18,450.4
2014-12-19,448.9
2014-12-22,442.45
2014-12-23,432.45
2014-12-24,433.0
2014-12-26,433.75
2014-12-29,457.7
2014-12-30,462.3
2014-12-31,472.75
2015-01-01,466.7
2015-01-02,459.35
2015-01-05,455.0
2015-01-06,444.0
2015-01-07,437.9
2015-01-08,440.5
2015-01-09,439.0
2015-01-12,441.95
2015-01-13,443.65
2015-01-14,435.4
2015-01-15,455.45
