Date,AJANTPHARM
2013-01-01,384.75
2013-01-02,389.15
2013-01-03,392.1
2013-01-04,388.65
2013-01-07,410.95
2013-01-08,400.55
2013-01-09,399.95
2013-01-10,402.85
2013-01-11,396.25
2013-01-14,395.45
2013-01-15,392.75
2013-01-16,392.05
2013-01-17,407.45
2013-01-18,406.35
2013-01-21,406.5
2013-01-22,409.55
2013-01-23,491.45
2013-01-24,513.65
2013-01-25,545.1
2013-01-28,602.15
2013-01-29,652.5
2013-01-30,633.55
2013-01-31,616.05
2013-02-01,601.15
2013-02-04,618.4
2013-02-05,606.25
2013-02-06,589.2
2013-02-07,575.85
2013-02-08,576.85
2013-02-11,576.25
2013-02-12,571.45
2013-02-13,565.65
2013-02-14,545.1
2013-02-15,543.8
2013-02-18,582.05
2013-02-19,613.4
2013-02-20,600.15
2013-02-21,588.7
2013-02-22,593.8
2013-02-25,597.3
2013-02-26,576.0
2013-02-27,582.3
2013-02-28,590.6
2013-03-01,617.95
2013-03-04,614.2
2013-03-05,624.1
2013-03-06,622.9
2013-03-07,646.85
2013-03-08,667.3
2013-03-11,678.4
2013-03-12,678.4
2013-03-13,652.4
2013-03-14,664.45
2013-03-15,670.4
2013-03-18,666.45
2013-03-19,668.75
2013-03-20,643.85
2013-03-21,623.5
2013-03-22,643.1
2013-03-25,654.15
2013-03-26,649.5
2013-03-28,644.9
2013-04-01,655.8
2013-04-02,661.25
2013-04-03,751.55
2013-04-04,733.8
2013-04-05,767.9
2013-04-08,763.1
2013-04-09,724.35
2013-04-10,680.95
2013-04-11,696.2
2013-04-12,670.4
2013-04-15,684.1
2013-04-16,683.65
2013-04-17,682.9
2013-04-18,680.55
2013-04-22,709.0
2013-04-23,713.15
2013-04-25,723.25
2013-04-26,727.4
2013-04-29,795.9
2013-04-30,777.8
2013-05-02,787.45
2013-05-03,791.45
2013-05-06,811.9
2013-05-07,823.95
2013-05-08,924.95
2013-05-09,908.2
2013-05-10,918.0
2013-05-11,921.1
2013-05-13,939.9
2013-05-14,972.1
2013-05-15,986.7
2013-05-16,965.45
2013-05-17,953.55
2013-05-20,939.6
2013-05-21,989.2
2013-05-22,980.25
2013-05-23,961.5
2013-05-24,947.55
2013-05-27,957.05
2013-05-28,954.1
2013-05-29,947.4
2013-05-30,965.65
2013-05-31,957.15
2013-06-03,949.4
2013-06-04,949.1
2013-06-05,946.9
2013-06-06,937.8
2013-06-07,927.25
2013-06-10,894.9
2013-06-11,852.45
2013-06-12,831.35
2013-06-13,786.6
2013-06-14,810.35
2013-06-17,881.55
