Date,VIPULLTD
2015-04-23,60.4
2015-04-24,53.95
2015-04-27,51.55
2015-04-28,53.15
2015-04-29,54.5
2015-04-30,52.35
2015-05-04,52.4
2015-05-05,52.65
2015-05-06,49.25
2015-05-07,48.3
2015-05-08,49.25
2015-05-11,51.75
2015-05-12,50.95
2015-05-13,49.95
2015-05-14,49.3
2015-05-15,49.7
2015-05-18,49.0
2015-05-19,49.35
2015-05-20,48.95
2015-05-21,48.5
2015-05-22,49.1
2015-05-25,49.0
2015-05-26,49.95
2015-05-27,50.65
2015-05-28,52.1
2015-05-29,50.95
2015-06-01,53.85
2015-06-02,53.1
2015-06-03,51.3
2015-06-04,49.25
2015-06-05,49.1
2015-06-08,48.4
2015-06-09,54.15
2015-06-10,56.9
2015-06-11,56.25
2015-06-12,54.85
2015-06-15,54.85
2015-06-16,52.9
2015-06-17,53.0
2015-06-18,53.05
2015-06-19,54.95
2015-06-22,53.45
2015-06-23,53.05
2015-06-24,50.8
2015-06-25,50.6
2015-06-26,50.1
2015-06-29,49.7
2015-06-30,49.9
2015-07-01,50.2
2015-07-02,49.3
2015-07-03,49.2
2015-07-06,48.9
2015-07-07,48.8
2015-07-08,48.3
2015-07-09,46.55
2015-07-10,46.0
2015-07-13,46.05
2015-07-14,46.9
2015-07-15,47.0
2015-07-16,46.95
2015-07-17,45.75
2015-07-20,44.65
2015-07-21,45.0
2015-07-22,43.9
2015-07-23,43.85
2015-07-24,45.0
2015-07-27,42.8
2015-07-28,42.5
2015-07-29,41.1
2015-07-30,39.8
2015-07-31,40.15
2015-08-03,38.7
2015-08-04,41.6
2015-08-05,41.25
2015-08-06,45.1
2015-08-07,50.95
2015-08-10,51.9
2015-08-11,47.95
2015-08-12,46.2
2015-08-13,46.25
2015-08-14,45.8
2015-08-17,44.1
2015-08-18,43.0
2015-08-19,44.65
2015-08-20,45.6
2015-08-21,43.5
2015-08-24,35.5
2015-08-25,41.6
2015-08-26,41.95
2015-08-27,42.6
2015-08-28,42.3
2015-08-31,41.2
2015-09-01,40.75
2015-09-02,41.4
2015-09-03,41.8
2015-09-04,40.8
2015-09-07,40.3
2015-09-08,40.05
2015-09-09,44.6
2015-09-10,43.75
2015-09-11,44.95
2015-09-14,46.55
2015-09-15,46.6
2015-09-16,47.75
2015-09-18,46.55
2015-09-21,46.95
2015-09-22,46.0
2015-09-23,49.55
2015-09-24,53.55
2015-09-28,54.1
2015-09-29,56.15
2015-09-30,55.95
2015-10-01,55.05
2015-10-05,59.85
2015-10-06,64.2
2015-10-07,65.5
2015-10-08,65.5
2015-10-09,65.8
2015-10-12,63.85
2015-10-13,63.4
2015-10-14,62.65
2015-10-15,62.45
2015-10-16,62.4
2015-10-19,62.2
2015-10-20,62.5
2015-10-21,61.85
2015-10-23,61.85
