Date,COUNCODOS
2013-01-02,1.2
2013-01-03,1.25
2013-01-04,1.3
2013-01-07,1.35
2013-01-08,1.4
2013-01-09,1.45
2013-01-10,1.4
2013-01-11,1.35
2013-01-14,1.4
2013-01-16,1.35
2013-01-17,1.35
2013-01-18,1.35
2013-01-21,1.3
2013-01-22,1.25
2013-01-23,1.2
2013-01-24,1.25
2013-01-28,1.2
2013-01-29,1.2
2013-01-30,1.15
2013-01-31,1.1
2013-02-01,1.1
2013-02-05,1.15
2013-02-06,1.1
2013-02-07,1.15
2013-02-11,1.1
2013-02-12,1.05
2013-02-13,1.0
2013-02-14,1.05
2013-02-15,1.05
2013-02-19,1.0
2013-02-21,1.0
2013-02-25,0.95
2013-02-28,0.95
2013-03-04,0.95
2013-03-05,1.0
2013-03-06,1.0
2013-03-12,1.0
2013-03-13,1.0
2013-03-18,0.95
2013-03-19,0.95
2013-03-25,0.9
2013-03-26,0.85
2013-04-03,0.9
2013-04-04,0.95
2013-04-05,1.0
2013-04-23,1.05
2013-04-26,1.1
2013-05-17,1.05
2013-05-31,1.0
2013-06-04,1.0
2013-06-06,1.0
2013-06-14,1.05
2013-06-18,1.05
2013-06-19,1.1
2013-06-24,1.15
2013-06-25,1.2
2013-07-01,1.15
2013-07-22,1.1
2013-08-01,1.05
2013-08-22,1.0
2013-09-10,1.0
2013-09-20,0.95
2013-09-23,1.0
2013-09-24,1.05
2013-09-25,1.1
2013-09-26,1.15
2013-09-27,1.1
2013-09-30,1.05
2013-10-03,1.05
2013-10-07,1.0
2013-10-10,1.0
2013-10-11,1.0
2013-10-14,1.0
2013-10-15,1.0
2013-10-17,1.0
2013-10-22,1.0
2013-10-29,0.95
2013-11-05,0.9
2013-11-08,0.9
2013-11-11,0.85
2013-11-19,0.85
2013-11-28,0.8
2013-12-02,0.8
2013-12-03,0.8
2013-12-10,0.85
2013-12-11,0.9
2013-12-12,0.95
2013-12-13,1.0
2013-12-16,1.05
2013-12-17,1.1
2013-12-18,1.15
2013-12-19,1.1
2013-12-20,1.15
2013-12-23,1.1
2013-12-24,1.15
2013-12-26,1.2
2013-12-30,1.25
2013-12-31,1.3
2014-01-01,1.35
2014-01-03,1.4
2014-01-06,1.35
2014-01-07,1.4
2014-01-08,1.45
2014-01-09,1.5
2014-01-10,1.45
2014-01-13,1.5
2014-01-14,1.55
2014-01-15,1.6
2014-01-16,1.65
2014-01-17,1.7
2014-01-20,1.75
2014-01-21,1.8
2014-01-22,1.85
2014-01-23,1.9
2014-01-24,1.95
2014-01-27,2.0
2014-01-28,2.05
2014-01-29,2.15
2014-01-30,2.25
2014-01-31,2.35
2014-02-03,2.45
2014-02-04,2.55
2014-02-05,2.65
2014-02-06,2.75
2014-02-07,2.85
2014-02-10,2.95
2014-02-11,3.05
2014-02-12,3.2
2014-02-13,3.35
2014-02-14,3.5
2014-02-17,3.65
2014-02-18,3.8
2014-02-19,3.95
2014-02-20,4.1
2014-02-21,3.9
2014-02-24,4.05
2014-02-25,3.85
2014-02-26,3.7
2014-02-28,3.55
2014-06-13,1.95
2014-06-17,2.0
2014-06-18,2.0
2014-06-19,1.9
2014-06-20,1.85
2014-06-23,1.8
2014-06-25,1.85
2014-06-26,1.8
2014-06-27,1.8
2014-06-30,1.8
2014-07-01,1.75
2014-07-02,1.7
2014-07-03,1.75
2014-07-04,1.8
2014-07-07,1.95
2014-07-08,2.0
2014-07-09,2.1
2014-07-10,2.2
2014-07-11,2.1
2014-07-14,2.0
2014-07-15,1.95
2014-07-16,2.0
2014-07-17,2.0
2014-07-18,2.05
2014-07-21,1.95
2014-07-23,1.95
2014-07-24,1.95
2014-07-28,1.9
2014-07-31,1.95
2014-08-04,1.85
2014-08-05,1.9
2014-08-06,1.75
2014-08-07,1.6
2014-08-11,1.75
2014-08-12,1.85
2014-08-13,1.85
2014-08-14,1.9
2014-08-18,1.8
2014-08-19,1.85
2014-08-20,1.9
2014-08-21,1.8
2014-08-22,1.75
2014-08-26,1.85
2014-08-27,2.0
2014-09-01,1.8
2014-09-02,1.8
2014-09-03,1.9
2014-09-04,1.8
2014-09-05,2.15
2014-09-08,2.55
2014-09-09,2.8
2014-09-10,3.05
2014-09-11,3.35
2014-09-12,3.5
2014-09-15,3.65
2014-09-16,3.5
2014-09-17,3.35
2014-09-18,3.2
2014-09-19,3.05
2014-09-22,2.9
2014-09-23,2.8
2014-09-24,2.7
2014-09-26,2.7
2014-09-29,2.6
2014-10-01,2.5
2014-10-07,2.5
2014-10-08,2.5
2014-10-09,2.4
2014-10-10,2.4
2014-10-13,2.4
2014-10-14,2.3
2014-10-22,2.2
2014-10-23,2.1
2014-10-27,2.0
2014-10-28,1.9
2014-10-30,1.95
2014-10-31,2.0
2014-11-03,2.0
2014-11-05,2.0
2014-11-11,2.1
2014-11-12,2.2
2014-11-13,2.3
2014-11-14,2.2
2014-11-17,2.3
2014-11-18,2.2
2014-11-19,2.2
2014-11-20,2.15
2014-11-21,2.15
2014-11-24,2.1
