Date,VINDHYATEL
2013-01-01,213.3
2013-01-02,206.35
2013-01-03,209.75
2013-01-04,206.5
2013-01-07,206.9
2013-01-08,206.3
2013-01-09,205.1
2013-01-10,207.85
2013-01-11,204.6
2013-01-14,203.05
2013-01-15,203.55
2013-01-16,208.45
2013-01-17,210.0
2013-01-18,202.7
2013-01-21,206.8
2013-01-22,203.25
2013-01-23,202.7
2013-01-24,194.15
2013-01-25,201.1
2013-01-29,200.0
2013-01-30,188.25
2013-01-31,187.3
2013-02-01,189.95
2013-02-04,198.0
2013-02-05,200.25
2013-02-06,197.35
2013-02-07,195.75
2013-02-08,192.4
2013-02-11,199.85
2013-02-12,194.5
2013-02-13,191.0
2013-02-14,190.65
2013-02-15,190.5
2013-02-18,188.65
2013-02-19,193.95
2013-02-20,197.6
2013-02-21,183.3
2013-02-22,179.8
2013-02-25,183.8
2013-02-26,184.7
2013-02-27,185.95
2013-02-28,183.2
2013-03-01,180.05
2013-03-04,182.0
2013-03-05,180.0
2013-03-06,179.0
2013-03-07,182.0
2013-03-08,185.0
2013-03-11,180.9
2013-03-12,180.0
2013-03-13,181.1
2013-03-14,177.05
2013-03-18,167.6
2013-03-20,170.05
2013-03-21,174.8
2013-03-22,168.6
2013-03-25,157.55
2013-03-26,174.65
2013-03-28,185.65
2013-04-01,173.65
2013-04-02,169.0
2013-04-05,189.85
2013-04-16,165.0
2013-04-18,176.7
2013-04-22,182.0
2013-04-23,175.0
2013-04-25,175.0
2013-04-26,171.0
2013-04-29,176.0
2013-05-06,162.0
2013-05-09,170.0
2013-05-10,189.5
2013-05-14,170.0
2013-05-15,170.0
2013-05-16,170.0
2013-05-24,189.0
2013-05-28,170.0
2013-05-29,169.0
2013-05-31,179.7
2013-06-10,174.9
2013-06-11,174.85
2013-06-12,176.8
2013-06-13,175.9
2013-06-14,176.5
2013-06-17,170.0
2013-06-21,170.0
2013-06-24,173.0
2013-06-27,172.95
2013-06-28,169.75
2013-07-01,174.0
2013-07-02,160.2
2013-07-03,169.85
2013-07-05,173.75
2013-07-08,170.0
2013-07-09,170.0
2013-07-10,168.0
2013-07-11,160.0
2013-07-12,156.0
2013-07-16,151.95
2013-07-17,159.4
2013-07-19,162.9
2013-07-22,155.0
2013-07-24,152.25
2013-07-26,146.05
2013-07-29,145.0
2013-07-31,138.15
2013-08-01,134.0
2013-08-08,135.0
2013-08-13,140.0
2013-08-16,139.95
2013-08-26,144.95
2013-08-30,152.0
2013-09-03,155.0
2013-09-04,157.0
2013-09-05,149.15
2013-09-06,156.0
2013-09-10,148.2
2013-09-11,146.7
2013-09-13,140.05
2013-09-16,140.05
2013-09-17,141.05
2013-09-18,140.0
2013-09-19,140.05
2013-09-23,146.5
2013-09-30,141.0
2013-10-08,134.05
2013-10-09,139.9
2013-10-10,136.0
2013-10-14,136.2
2013-10-15,135.0
2013-10-28,135.2
2013-10-29,135.0
2013-10-31,133.2
2013-11-01,135.9
2013-11-07,136.0
2013-11-08,135.0
2013-11-11,141.75
2013-11-13,140.05
2013-11-18,139.9
2013-11-19,138.0
2013-11-20,138.0
2013-11-21,137.0
2013-11-25,135.0
2013-11-26,134.95
2013-11-27,134.95
2013-11-28,135.35
2013-11-29,142.1
2013-12-02,149.0
2013-12-03,156.45
2013-12-05,155.5
2013-12-06,154.0
2013-12-09,159.0
2013-12-10,162.95
2013-12-11,155.0
2013-12-12,161.6
2013-12-13,161.85
2013-12-16,153.8
2013-12-17,159.8
2013-12-18,167.0
2013-12-19,174.0
2013-12-20,165.3
2013-12-24,162.0
2013-12-26,165.0
2013-12-27,168.9
2013-12-30,166.0
2014-01-01,166.0
2014-01-03,165.0
2014-01-08,167.95
