Date,SAKUMA
2013-01-01,13.35
2013-01-02,13.0
2013-01-03,13.65
2013-01-04,13.25
2013-01-07,13.35
2013-01-08,13.1
2013-01-09,13.2
2013-01-10,13.45
2013-01-11,13.3
2013-01-14,13.0
2013-01-15,12.95
2013-01-16,13.3
2013-01-18,12.25
2013-01-21,12.35
2013-01-22,12.35
2013-01-23,12.6
2013-01-24,12.5
2013-01-25,12.9
2013-01-28,12.25
2013-01-29,12.7
2013-01-30,12.5
2013-01-31,12.35
2013-02-01,12.4
2013-02-04,12.25
2013-02-05,12.5
2013-02-06,12.2
2013-02-07,12.2
2013-02-08,12.65
2013-02-11,12.9
2013-02-12,13.2
2013-02-14,12.9
2013-02-15,13.0
2013-02-18,13.05
2013-02-19,13.55
2013-02-20,13.0
2013-02-21,13.55
2013-02-22,13.2
2013-02-27,13.35
2013-02-28,13.0
2013-03-01,13.0
2013-03-04,13.0
2013-03-05,13.4
2013-03-06,13.0
2013-03-07,13.05
2013-03-08,13.3
2013-03-11,13.0
2013-03-12,13.0
2013-03-13,13.0
2013-03-14,13.1
2013-03-15,13.0
2013-03-18,13.0
2013-03-19,13.0
2013-03-20,14.05
2013-03-21,13.0
2013-03-22,13.25
2013-03-25,13.1
2013-03-26,13.0
2013-03-28,13.5
2013-04-01,13.0
2013-04-02,12.95
2013-04-03,12.9
2013-04-05,12.7
2013-04-08,12.8
2013-04-09,12.6
2013-04-10,12.65
2013-04-11,12.35
2013-04-12,12.5
2013-04-15,12.2
2013-04-16,12.5
2013-04-17,12.7
2013-04-18,13.1
2013-04-23,13.0
2013-04-25,12.75
2013-04-26,13.65
2013-04-29,13.05
2013-05-02,12.5
2013-05-06,12.6
2013-05-07,12.5
2013-05-08,12.55
2013-05-09,12.5
2013-05-10,12.5
2013-05-13,12.35
2013-05-14,12.3
2013-05-15,12.9
2013-05-16,12.85
2013-05-20,12.5
2013-05-21,13.15
2013-05-22,12.6
2013-05-24,12.3
2013-05-27,13.0
2013-05-28,13.0
2013-05-29,12.7
2013-05-30,13.1
2013-05-31,13.0
2013-06-04,12.75
2013-06-05,13.4
2013-06-06,14.25
2013-06-07,13.4
2013-06-10,14.35
2013-06-11,13.65
2013-06-12,14.0
2013-06-13,14.0
2013-06-14,14.4
2013-06-17,14.9
2013-06-18,15.25
2013-06-19,14.3
2013-06-20,14.25
2013-06-21,13.65
2013-06-24,14.75
2013-06-25,16.35
2013-06-26,15.35
2013-06-27,16.05
2013-06-28,15.05
2013-07-01,15.05
2013-07-02,14.5
2013-07-03,14.7
2013-07-04,14.65
2013-07-05,14.65
2013-07-08,14.55
2013-07-09,15.1
2013-07-10,15.6
2013-07-11,15.5
2013-07-12,17.4
2013-07-15,18.05
2013-07-16,16.9
2013-07-17,16.2
2013-07-18,16.6
2013-07-19,15.25
2013-07-22,15.35
2013-07-23,14.8
2013-07-25,14.25
2013-07-26,14.0
2013-07-29,14.35
