Date,RAMCOCEM
2013-01-01,238.25
2013-01-02,236.9
2013-01-03,239.6
2013-01-04,240.85
2013-01-07,241.0
2013-01-08,239.8
2013-01-09,241.0
2013-01-10,239.0
2013-01-11,226.7
2013-01-14,225.45
2013-01-15,232.2
2013-01-16,230.8
2013-01-17,229.1
2013-01-18,235.6
2013-01-21,231.7
2013-01-22,230.05
2013-01-23,233.4
2013-01-24,234.0
2013-01-25,234.8
2013-01-28,234.0
2013-01-29,234.3
2013-01-30,235.1
2013-01-31,240.95
2013-02-01,243.4
2013-02-04,239.9
2013-02-05,234.8
2013-02-06,237.05
2013-02-07,238.55
2013-02-08,236.95
2013-02-11,237.15
2013-02-12,234.9
2013-02-13,241.3
2013-02-14,242.5
2013-02-15,243.0
2013-02-18,239.2
2013-02-19,244.7
2013-02-20,250.55
2013-02-21,250.95
2013-02-22,246.3
2013-02-25,245.8
2013-02-26,244.55
2013-02-27,243.05
2013-02-28,243.1
2013-03-01,245.9
2013-03-04,244.25
2013-03-05,243.65
2013-03-06,245.95
2013-03-07,242.85
2013-03-08,251.1
2013-03-11,257.2
2013-03-12,264.3
2013-03-13,261.6
2013-03-14,257.0
2013-03-15,263.65
2013-03-18,261.0
2013-03-19,248.3
2013-03-20,246.1
2013-03-21,246.15
2013-03-22,241.6
2013-03-25,240.9
2013-03-26,244.5
2013-03-28,254.0
2013-04-01,247.75
2013-04-02,245.5
2013-04-03,244.45
2013-04-04,241.05
2013-04-05,235.4
2013-04-08,236.35
2013-04-09,233.9
2013-04-10,234.95
2013-04-11,237.55
2013-04-12,235.15
2013-04-15,233.65
2013-04-16,232.2
2013-04-17,231.6
2013-04-18,229.4
2013-04-22,230.95
2013-04-23,232.55
2013-04-25,234.05
2013-04-26,241.1
2013-04-29,241.15
2013-04-30,248.55
2013-05-02,247.9
2013-05-03,242.5
2013-05-06,249.8
2013-05-07,245.75
2013-05-08,259.1
2013-05-09,253.6
2013-05-10,250.75
2013-05-11,251.3
2013-05-13,249.95
2013-05-14,246.5
2013-05-15,253.85
2013-05-16,247.85
2013-05-17,246.0
2013-05-20,247.9
2013-05-21,251.65
2013-05-22,251.05
2013-05-23,244.9
2013-05-24,247.75
