Date,GEECEE
2013-01-01,43.4
2013-01-02,43.5
2013-01-03,44.9
2013-01-04,44.75
2013-01-07,44.15
2013-01-08,43.35
2013-01-09,43.75
2013-01-10,43.5
2013-01-11,43.5
2013-01-14,43.3
2013-01-15,46.5
2013-01-16,42.25
2013-01-17,41.15
2013-01-18,41.3
2013-01-22,41.05
2013-01-23,42.4
2013-01-24,41.8
2013-01-25,40.35
2013-01-28,41.05
2013-01-29,40.0
2013-01-30,38.8
2013-01-31,36.55
2013-02-01,37.05
2013-02-04,35.7
2013-02-05,34.55
2013-02-06,35.4
2013-02-07,33.4
2013-02-08,34.0
2013-02-11,35.0
2013-02-12,37.6
2013-02-13,35.65
2013-02-14,34.15
2013-02-15,36.65
2013-02-18,34.25
2013-02-19,33.5
2013-02-20,34.85
2013-02-21,33.5
2013-02-22,33.95
2013-02-25,33.2
2013-02-26,32.5
2013-02-27,32.55
2013-02-28,31.15
2013-03-01,31.15
2013-03-04,30.6
2013-03-05,32.35
2013-03-06,31.3
2013-03-07,30.55
2013-03-08,31.25
2013-03-11,31.6
2013-03-12,32.0
2013-03-13,32.0
2013-03-14,31.0
2013-03-15,31.55
2013-03-18,31.0
2013-03-19,31.4
2013-03-20,30.5
2013-03-21,29.7
2013-03-22,30.0
2013-03-25,30.0
2013-03-26,32.45
2013-03-28,34.0
2013-04-01,33.2
2013-04-02,33.0
2013-04-04,30.7
2013-04-05,31.3
2013-04-11,31.0
2013-04-15,30.0
2013-04-17,30.0
2013-04-18,32.0
2013-04-22,32.0
2013-04-23,33.55
2013-04-26,31.0
2013-04-29,32.0
2013-05-03,30.0
2013-05-06,30.85
2013-05-07,31.9
2013-05-08,30.8
2013-05-09,31.8
2013-05-16,29.0
2013-05-17,27.6
2013-05-20,27.1
2013-05-21,27.3
2013-05-22,27.5
2013-05-24,28.0
2013-06-03,28.0
2013-06-04,28.0
2013-06-05,27.0
2013-06-06,27.0
2013-06-07,27.0
2013-06-10,28.0
2013-06-11,27.5
2013-06-12,26.6
2013-06-13,27.0
2013-06-14,27.0
2013-06-17,26.85
2013-06-18,30.0
2013-06-19,29.55
2013-06-21,27.55
2013-06-24,26.05
2013-06-25,30.0
2013-06-28,26.55
2013-07-01,26.3
2013-07-03,26.55
2013-07-04,27.95
2013-07-05,27.4
2013-07-09,26.1
2013-07-11,26.95
2013-07-12,26.6
2013-07-15,27.0
2013-07-16,26.9
2013-07-17,26.7
2013-07-24,26.65
2013-07-25,26.5
2013-07-26,25.25
2013-07-29,25.45
2013-07-30,26.0
2013-08-01,26.9
2013-08-07,27.0
2013-08-12,28.0
2013-08-14,26.6
2013-08-16,26.95
2013-08-30,27.8
2013-09-04,29.0
2013-09-16,27.55
2013-09-17,27.0
2013-09-18,26.65
2013-09-19,27.0
2013-09-20,26.05
2013-09-23,26.5
2013-09-24,26.05
2013-09-25,26.5
2013-09-27,26.5
2013-09-30,26.4
2013-10-03,27.3
2013-10-04,27.5
2013-10-07,26.6
2013-10-08,27.55
2013-10-09,27.85
2013-10-10,27.6
2013-10-11,27.5
2013-10-14,28.25
2013-10-15,28.5
2013-10-17,28.5
2013-10-21,28.5
2013-10-23,28.5
2013-10-29,29.0
2013-10-30,28.6
2013-11-01,28.55
2013-11-03,28.5
2013-11-07,28.5
2013-11-14,27.1
2013-11-18,25.85
2013-11-19,26.1
2013-11-20,26.95
2013-11-22,26.25
2013-11-25,26.5
2013-11-26,26.55
2013-11-27,25.65
2013-11-28,26.0
2013-11-29,26.95
2013-12-02,25.8
2013-12-03,25.25
2013-12-04,25.3
2013-12-06,25.95
2013-12-09,25.3
2013-12-10,25.45
2013-12-11,24.5
2013-12-12,25.4
2013-12-19,24.15
2013-12-23,24.7
2013-12-24,24.3
2013-12-26,24.5
2013-12-27,25.7
2013-12-30,26.05
2013-12-31,25.75
