Date,VESUVIUS
2013-01-01,343.4
2013-01-02,346.25
2013-01-03,342.65
2013-01-04,340.8
2013-01-07,348.4
2013-01-08,355.65
2013-01-09,351.25
2013-01-10,349.05
2013-01-11,348.75
2013-01-14,349.7
2013-01-15,348.9
2013-01-16,350.15
2013-01-17,346.45
2013-01-18,345.1
2013-01-21,342.45
2013-01-22,341.0
2013-01-23,338.4
2013-01-24,334.85
2013-01-25,333.85
2013-01-28,335.85
2013-01-29,338.0
2013-01-30,334.05
2013-01-31,334.75
2013-02-01,332.8
2013-02-04,332.9
2013-02-05,334.9
2013-02-06,333.5
2013-02-07,332.25
2013-02-08,330.2
2013-02-11,327.65
2013-02-12,329.65
2013-02-13,330.15
2013-02-14,325.75
2013-02-15,324.0
2013-02-18,325.4
2013-02-19,329.95
2013-02-20,330.75
2013-02-21,323.35
2013-02-22,321.3
2013-02-25,324.25
2013-02-26,331.6
2013-02-27,331.3
2013-02-28,325.4
2013-03-01,326.3
2013-03-04,322.55
2013-03-05,323.7
2013-03-06,325.1
2013-03-07,327.1
2013-03-08,324.4
2013-03-11,339.05
2013-03-12,334.4
2013-03-13,327.0
2013-03-14,322.75
2013-03-15,323.75
2013-03-18,330.15
2013-03-19,327.5
2013-03-20,321.4
2013-03-21,315.3
2013-03-22,318.5
2013-03-25,320.65
2013-03-26,315.65
2013-03-28,312.0
2013-04-01,325.95
2013-04-02,343.0
2013-04-03,336.7
2013-04-04,336.1
2013-04-05,332.15
2013-04-08,330.0
2013-04-09,330.4
2013-04-10,333.95
2013-04-11,331.45
2013-04-12,325.05
2013-04-15,333.65
2013-04-16,334.0
2013-04-17,324.8
2013-04-18,328.45
2013-04-22,320.85
2013-04-23,350.55
2013-04-25,345.65
2013-04-26,362.85
2013-04-29,361.95
2013-04-30,357.25
2013-05-02,359.8
2013-05-03,357.0
2013-05-06,359.25
2013-05-07,369.35
2013-05-08,371.25
2013-05-09,372.95
2013-05-10,370.0
2013-05-13,370.35
2013-05-14,371.4
2013-05-15,370.55
2013-05-16,371.6
2013-05-17,370.0
2013-05-20,367.45
2013-05-21,365.1
2013-05-22,370.15
2013-05-23,369.35
2013-05-24,368.05
2013-05-27,371.35
2013-05-28,371.0
2013-05-29,367.2
2013-05-30,370.0
2013-05-31,370.05
2013-06-03,370.0
2013-06-04,370.05
2013-06-05,368.15
2013-06-06,368.8
2013-06-07,364.55
2013-06-10,363.05
2013-06-11,364.85
2013-06-12,364.35
2013-06-13,365.0
2013-06-14,362.6
2013-06-17,367.15
2013-06-18,362.2
2013-06-19,365.9
2013-06-20,360.0
2013-06-21,358.5
2013-06-24,360.05
2013-06-25,360.0
2013-06-26,363.25
2013-06-27,360.2
2013-06-28,358.75
2013-07-01,359.65
2013-07-02,357.3
2013-07-03,361.9
2013-07-04,365.05
2013-07-05,361.15
2013-07-08,362.8
2013-07-09,368.75
2013-07-10,362.7
