Date,SRTRANSFIN
2013-01-01,756.0
2013-01-02,759.8
2013-01-03,757.15
2013-01-04,750.0
2013-01-07,751.35
2013-01-08,769.0
2013-01-09,781.95
2013-01-10,772.85
2013-01-11,771.5
2013-01-14,793.95
2013-01-15,798.7
2013-01-16,780.75
2013-01-17,769.85
2013-01-18,761.35
2013-01-21,759.95
2013-01-22,756.4
2013-01-23,747.45
2013-01-24,744.65
2013-01-25,758.75
2013-01-28,770.0
2013-01-29,773.3
2013-01-30,772.7
2013-01-31,789.8
2013-02-01,777.35
2013-02-04,775.4
2013-02-05,761.05
2013-02-06,771.05
2013-02-07,774.15
2013-02-08,757.55
2013-02-11,755.55
2013-02-12,745.5
2013-02-13,748.85
2013-02-14,731.5
2013-02-15,734.65
2013-02-18,749.85
2013-02-19,751.65
2013-02-20,755.95
2013-02-21,699.25
2013-02-22,714.55
2013-02-25,713.15
2013-02-26,700.05
2013-02-27,705.05
2013-02-28,695.65
2013-03-01,699.95
2013-03-04,712.45
2013-03-05,718.65
2013-03-06,708.9
2013-03-07,718.05
2013-03-08,720.05
2013-03-11,719.4
2013-03-12,700.2
2013-03-13,689.0
2013-03-14,684.65
2013-03-15,698.25
2013-03-18,717.6
2013-03-19,696.7
2013-03-20,684.9
2013-03-21,696.25
2013-03-22,698.8
2013-03-25,674.5
2013-03-26,675.25
2013-03-28,694.45
2013-04-01,717.5
2013-04-02,715.3
2013-04-03,707.3
2013-04-04,678.45
2013-04-05,685.65
2013-04-08,683.3
2013-04-09,667.95
2013-04-10,659.95
2013-04-11,688.5
2013-04-12,696.7
2013-04-15,665.5
2013-04-16,662.9
2013-04-17,670.95
2013-04-18,690.2
2013-04-22,696.15
2013-04-23,680.0
2013-04-25,708.25
2013-04-26,709.1
2013-04-29,706.15
2013-04-30,745.45
2013-05-02,761.8
2013-05-03,759.1
2013-05-06,743.0
2013-05-07,741.6
2013-05-08,739.45
2013-05-09,734.45
2013-05-10,760.95
2013-05-11,761.6
2013-05-13,752.65
2013-05-14,747.05
2013-05-15,770.5
2013-05-16,785.6
2013-05-17,791.25
2013-05-20,802.05
2013-05-21,788.6
2013-05-22,789.0
2013-05-23,786.4
2013-05-24,786.0
2013-05-27,814.75
2013-05-28,835.4
2013-05-29,825.25
2013-05-30,806.25
2013-05-31,815.65
2013-06-03,806.7
2013-06-04,806.6
2013-06-05,801.65
2013-06-06,781.7
2013-06-07,780.1
