Date,AUTOLITIND
2013-01-01,18.15
2013-01-02,17.6
2013-01-03,17.5
2013-01-04,17.5
2013-01-07,17.45
2013-01-08,17.55
2013-01-09,19.3
2013-01-10,19.85
2013-01-11,18.15
2013-01-14,17.7
2013-01-15,17.65
2013-01-16,17.35
2013-01-17,17.5
2013-01-18,17.6
2013-01-21,17.25
2013-01-22,17.2
2013-01-23,16.95
2013-01-24,16.85
2013-01-25,16.9
2013-01-29,17.85
2013-01-31,16.75
2013-02-01,16.65
2013-02-04,16.95
2013-02-05,16.35
2013-02-06,16.85
2013-02-07,16.1
2013-02-08,15.7
2013-02-11,15.3
2013-02-12,14.6
2013-02-13,14.9
2013-02-18,15.4
2013-02-19,15.75
2013-02-20,14.7
2013-02-21,14.35
2013-02-22,14.2
2013-02-25,15.1
2013-02-26,13.75
2013-02-27,14.6
2013-02-28,14.5
2013-03-01,14.05
2013-03-04,13.4
2013-03-05,13.8
2013-03-06,15.15
2013-03-07,15.4
2013-03-08,15.6
2013-03-11,15.45
2013-03-12,14.8
2013-03-13,14.3
2013-03-18,15.15
2013-03-19,14.6
2013-03-20,14.6
2013-03-21,13.55
2013-03-22,13.3
2013-03-25,13.5
2013-03-26,14.5
2013-03-28,13.45
2013-04-01,14.95
2013-04-02,14.2
2013-04-03,14.75
2013-04-04,14.6
2013-04-05,14.25
2013-04-10,14.1
2013-04-12,13.75
2013-04-16,14.0
2013-04-30,13.6
2013-05-02,13.75
2013-05-03,12.1
2013-05-07,12.3
2013-05-08,13.15
2013-05-10,13.45
2013-05-17,12.2
2013-05-20,12.15
2013-06-07,13.35
2013-06-13,12.05
2013-06-21,12.55
2013-07-12,12.0
2013-10-09,11.5
2013-10-14,12.05
2013-10-17,11.85
2013-10-24,11.3
2013-10-25,11.0
2013-10-28,11.55
2013-10-29,11.05
2013-11-07,11.05
2013-11-08,11.05
2013-11-11,11.6
2013-11-12,11.1
2013-11-13,11.65
2013-11-14,11.75
2013-11-19,12.3
2013-11-21,12.9
2013-11-22,13.5
2013-11-25,14.15
2013-11-29,14.85
2013-12-02,15.5
2014-03-03,16.8
2014-03-05,17.6
2014-03-06,18.45
2014-03-07,17.35
2014-03-10,16.75
2014-03-11,16.5
2014-03-12,15.95
2014-03-13,17.5
2014-03-14,17.3
2014-03-18,18.4
2014-03-19,17.9
2014-03-20,18.0
2014-03-21,17.6
2014-03-24,18.4
2014-03-25,17.35
2014-03-26,17.55
2014-03-27,18.25
2014-03-28,17.85
2014-03-31,17.7
2014-04-01,18.1
2014-04-02,18.8
2014-04-03,19.9
2014-04-04,20.9
2014-04-07,20.7
2014-04-09,22.75
2014-04-10,23.8
2014-04-11,24.65
2014-04-15,25.15
2014-04-16,24.75
2014-04-17,24.1
2014-04-21,24.2
2014-04-22,23.7
2014-04-23,23.05
2014-04-25,22.95
2014-04-28,22.05
2014-04-29,22.0
2014-04-30,21.8
2014-05-02,22.85
2014-05-05,23.95
2014-05-06,25.1
2014-05-07,24.1
2014-05-08,23.25
2014-05-09,23.6
2014-05-12,24.3
2014-05-13,24.0
2014-05-14,23.6
2014-05-15,23.2
2014-05-16,23.0
2014-05-19,22.5
2014-05-20,23.5
2014-05-21,23.5
2014-05-22,23.0
2014-05-23,23.2
2014-05-26,22.3
2014-05-27,22.25
2014-05-28,23.15
2014-05-29,22.05
2014-05-30,23.5
2014-06-02,23.4
2014-06-03,23.45
2014-06-04,25.0
2014-06-05,26.95
2014-06-06,28.95
2014-06-09,31.8
2014-06-10,32.6
2014-06-11,32.15
2014-06-12,32.05
2014-06-13,30.45
2014-06-16,29.0
2014-06-17,27.7
2014-06-18,27.65
2014-06-19,27.45
2014-06-30,28.7
2014-07-01,28.4
2014-07-02,28.65
2014-07-03,28.0
