Date,UNIONBANK
2013-01-01,281.3
2013-01-02,278.6
2013-01-03,276.9
2013-01-04,277.85
2013-01-07,274.7
2013-01-08,275.75
2013-01-09,271.65
2013-01-10,267.05
2013-01-11,258.15
2013-01-14,271.7
2013-01-15,269.3
2013-01-16,261.2
2013-01-17,265.05
2013-01-18,267.6
2013-01-21,268.7
2013-01-22,261.55
2013-01-23,254.6
2013-01-24,245.6
2013-01-25,253.2
2013-01-28,248.45
2013-01-29,249.05
2013-01-30,240.85
2013-01-31,255.05
2013-02-01,249.0
2013-02-04,240.0
2013-02-05,240.9
2013-02-06,239.6
2013-02-07,232.7
2013-02-08,232.55
2013-02-11,233.6
2013-02-12,236.35
2013-02-13,232.9
2013-02-14,232.15
2013-02-15,231.55
2013-02-18,234.2
2013-02-19,240.25
2013-02-20,236.15
2013-02-21,226.8
2013-02-22,226.3
2013-02-25,222.4
2013-02-26,216.35
2013-02-27,224.6
2013-02-28,212.2
2013-03-01,220.9
2013-03-04,214.5
2013-03-05,227.1
2013-03-06,228.75
2013-03-07,230.4
2013-03-08,232.9
2013-03-11,236.2
2013-03-12,233.8
2013-03-13,226.3
2013-03-14,232.0
2013-03-15,233.25
2013-03-18,233.85
2013-03-19,225.9
2013-03-20,220.35
2013-03-21,215.8
2013-03-22,218.7
2013-03-25,212.85
2013-03-26,210.55
2013-03-28,218.0
2013-04-01,218.95
2013-04-02,233.15
2013-04-03,225.85
2013-04-04,221.85
2013-04-05,220.75
2013-04-08,214.6
2013-04-09,208.2
2013-04-10,212.3
2013-04-11,213.95
2013-04-12,218.75
2013-04-15,224.25
2013-04-16,233.0
2013-04-17,231.4
2013-04-18,236.9
2013-04-22,240.4
2013-04-23,237.85
2013-04-25,243.2
2013-04-26,233.6
2013-04-29,245.6
2013-04-30,244.8
2013-05-02,247.1
2013-05-03,239.75
2013-05-06,241.35
2013-05-07,242.15
2013-05-08,239.2
2013-05-09,242.5
2013-05-10,239.6
2013-05-11,240.55
2013-05-13,233.35
2013-05-14,230.85
2013-05-15,243.55
2013-05-16,243.85
2013-05-17,243.25
2013-05-20,241.5
2013-05-21,235.15
2013-05-22,230.3
2013-05-23,226.5
2013-05-24,227.45
2013-05-27,227.25
2013-05-28,234.25
2013-05-29,226.0
2013-05-30,231.45
2013-05-31,220.05
2013-06-03,220.25
2013-06-04,219.25
2013-06-05,216.45
2013-06-06,222.75
2013-06-07,213.45
2013-06-10,207.85
2013-06-11,206.25
2013-06-12,210.1
2013-06-13,207.85
2013-06-14,212.4
2013-06-17,216.75
2013-06-18,215.55
2013-06-19,217.95
2013-06-20,201.05
2013-06-21,194.15
2013-06-24,183.95
2013-06-25,177.4
2013-06-26,180.05
2013-06-27,178.0
2013-06-28,186.35
2013-07-01,192.55
2013-07-02,184.75
2013-07-03,171.25
