Date,EICHERMOT
2013-01-01,2923.05
2013-01-02,2855.35
2013-01-03,2860.25
2013-01-04,2822.7
2013-01-07,2843.45
2013-01-08,2794.75
2013-01-09,2767.3
2013-01-10,2806.1
2013-01-11,2810.8
2013-01-14,2764.5
2013-01-15,2774.35
2013-01-16,2774.2
2013-01-17,2730.65
2013-01-18,2712.25
2013-01-21,2693.05
2013-01-22,2697.25
2013-01-23,2671.25
2013-01-24,2699.55
2013-01-25,2653.85
2013-01-28,2640.1
2013-01-29,2730.95
2013-01-30,2762.6
2013-01-31,2820.35
2013-02-01,2841.2
2013-02-04,2878.85
2013-02-05,2876.7
2013-02-06,2773.7
2013-02-07,2786.05
2013-02-08,2740.15
2013-02-11,2741.25
2013-02-12,2671.35
2013-02-13,2624.7
2013-02-14,2687.0
2013-02-15,2659.3
2013-02-18,2689.55
2013-02-19,2839.65
2013-02-20,2813.9
2013-02-21,2791.6
2013-02-22,2795.9
2013-02-25,2782.05
2013-02-26,2769.45
2013-02-27,2776.95
2013-02-28,2770.65
2013-03-01,2772.8
2013-03-04,2780.8
2013-03-05,2799.25
2013-03-06,2784.2
2013-03-07,2786.75
2013-03-08,2793.95
2013-03-11,2763.7
2013-03-12,2765.15
2013-03-13,2772.25
2013-03-14,2765.55
2013-03-15,2790.45
2013-03-18,2774.75
2013-03-19,2766.65
2013-03-20,2750.1
2013-03-21,2772.7
2013-03-22,2678.85
2013-03-25,2606.75
2013-03-26,2563.05
2013-03-28,2562.2
2013-04-01,2551.85
2013-04-02,2702.5
2013-04-03,2697.0
2013-04-04,2657.75
2013-04-05,2664.3
2013-04-08,2702.5
2013-04-09,2728.8
2013-04-10,2784.8
2013-04-11,2808.1
2013-04-12,2756.25
2013-04-15,2734.0
2013-04-16,2721.05
2013-04-17,2710.75
2013-04-18,2686.95
2013-04-22,2873.05
2013-04-23,2824.2
2013-04-25,2913.45
2013-04-26,2894.1
2013-04-29,2924.05
2013-04-30,2958.4
2013-05-02,3061.95
2013-05-03,3132.55
2013-05-06,3176.6
2013-05-07,3139.7
2013-05-08,3135.2
2013-05-09,3078.5
2013-05-10,3064.9
2013-05-11,3065.1
2013-05-13,3067.05
2013-05-14,3279.45
2013-05-15,3400.75
2013-05-16,3452.1
2013-05-17,3449.25
2013-05-20,3495.7
2013-05-21,3496.9
2013-05-22,3510.35
2013-05-23,3453.65
2013-05-24,3582.45
2013-05-27,3656.15
2013-05-28,3781.5
2013-05-29,3786.6
2013-05-30,3779.5
2013-05-31,3701.6
2013-06-03,3690.35
2013-06-04,3594.2
2013-06-05,3540.7
2013-06-06,3456.55
2013-06-07,3550.35
2013-06-10,3597.95
2013-06-11,3527.65
2013-06-12,3495.8
2013-06-13,3482.85
2013-06-14,3514.35
2013-06-17,3555.0
2013-06-18,3618.7
2013-06-19,3668.45
2013-06-20,3660.6
2013-06-21,3561.65
2013-06-24,3399.65
2013-06-25,3351.05
2013-06-26,3367.95
2013-06-27,3306.75
2013-06-28,3276.9
2013-07-01,3464.65
2013-07-02,3534.8
2013-07-03,3591.55
2013-07-04,3561.1
2013-07-05,3614.6
2013-07-08,3658.4
2013-07-09,3699.4
2013-07-10,3735.5
2013-07-11,3767.0
2013-07-12,3783.45
2013-07-15,3807.5
2013-07-16,3776.15
2013-07-17,3861.4
2013-07-18,3877.4
2013-07-19,3839.65
2013-07-22,3806.0
2013-07-23,3726.1
2013-07-24,3731.25
2013-07-25,3649.15
2013-07-26,3701.7
2013-07-29,3648.55
2013-07-30,3491.45
2013-07-31,3489.25
2013-08-01,3471.95
2013-08-02,3497.2
2013-08-05,3460.3
2013-08-06,3303.9
2013-08-07,3201.7
2013-08-08,3319.0
2013-08-12,3280.4
2013-08-13,3269.8
2013-08-14,3299.9
2013-08-16,3167.7
2013-08-19,3099.7
2013-08-20,3089.55
2013-08-21,3050.95
2013-08-22,3088.65
2013-08-23,3199.6
2013-08-26,3326.9
2013-08-27,3278.2
2013-08-28,3164.35
2013-08-29,3152.7
2013-08-30,3189.8
2013-09-02,3199.6
2013-09-03,3181.05
2013-09-04,3168.7
2013-09-05,3186.45
2013-09-06,3192.15
2013-09-10,3323.85
2013-09-11,3451.85
2013-09-12,3600.6
2013-09-13,3613.45
2013-09-16,3666.65
2013-09-17,3571.75
2013-09-18,3582.65
2013-09-19,3542.9
2013-09-20,3474.5
2013-09-23,3388.65
2013-09-24,3595.1
2013-09-25,3512.5
2013-09-26,3476.0
2013-09-27,3554.35
2013-09-30,3560.35
2013-10-01,3666.2
2013-10-03,3606.25
2013-10-04,3687.0
2013-10-07,3780.45
2013-10-08,3795.5
2013-10-09,3898.1
2013-10-10,3938.6
2013-10-11,3952.45
2013-10-14,3933.0
2013-10-15,3895.6
2013-10-17,3875.9
2013-10-18,3876.8
2013-10-21,3844.6
2013-10-22,3957.9
2013-10-23,3991.1
2013-10-24,3971.75
2013-10-25,3932.45
2013-10-28,3881.65
2013-10-29,3902.05
2013-10-30,3892.8
2013-10-31,3957.85
2013-11-01,3982.8
2013-11-03,3948.05
2013-11-05,3986.9
2013-11-06,3984.4
2013-11-07,4019.55
2013-11-08,4135.95
