Date,ORIENTLTD
2013-03-01,143.95
2013-03-04,136.85
2013-03-05,140.55
2013-03-06,141.35
2013-03-07,134.3
2013-03-08,132.45
2013-03-11,125.9
2013-03-13,122.0
2013-03-18,123.0
2013-03-25,123.0
2013-03-26,124.95
2013-03-28,130.25
2013-04-01,132.65
2013-04-02,126.05
2013-04-03,125.0
2013-04-04,124.95
2013-04-05,120.8
2013-04-17,115.05
2013-05-07,110.5
2013-05-31,121.55
2013-06-03,109.4
2013-06-04,98.5
2013-06-05,107.75
2013-06-12,117.95
2013-06-13,106.2
2013-06-21,101.25
2013-06-24,96.3
2013-06-28,91.8
2013-07-04,87.3
2013-07-05,87.3
2013-07-08,83.0
2013-07-23,82.0
2013-08-01,82.0
2013-11-29,86.1
2013-12-27,81.8
2014-01-02,77.75
2014-01-13,73.9
2014-01-15,70.25
2014-01-16,66.75
2014-01-20,63.45
2014-01-21,60.3
2014-01-22,57.3
2014-01-23,54.45
2014-01-24,54.0
2014-01-27,56.0
2014-01-28,56.0
2014-01-29,58.3
2014-01-30,59.5
2014-01-31,62.45
2014-02-03,61.0
2014-02-04,64.0
2014-02-05,67.2
2014-02-06,69.75
2014-02-07,72.05
2014-02-10,75.2
2014-02-11,73.05
2014-02-12,72.9
2014-02-14,72.5
2014-02-17,69.1
2014-02-18,66.15
2014-02-19,63.95
2014-02-20,64.7
2014-02-24,65.35
2014-02-26,68.55
2014-02-28,65.8
2014-06-13,74.85
2014-06-18,74.8
2014-06-23,76.9
2014-06-24,76.9
2014-06-25,73.1
2014-06-26,73.0
2014-06-27,69.4
2014-06-30,72.8
2014-07-01,74.0
2014-07-02,70.45
2014-07-03,73.9
2014-07-04,75.0
2014-07-08,75.0
2014-07-09,73.35
2014-07-10,72.0
2014-07-11,68.5
2014-07-14,74.0
2014-07-15,67.75
2014-07-16,72.0
2014-07-18,72.4
2014-07-21,72.05
2014-07-22,75.2
2014-07-23,73.0
2014-07-24,75.0
2014-07-28,77.0
2014-07-30,76.5
2014-07-31,80.75
2014-08-01,85.5
2014-08-04,99.0
2014-08-05,91.05
2014-08-06,97.0
2014-08-07,91.75
2014-08-08,90.05
2014-08-11,95.1
2014-08-12,101.0
2014-08-13,110.05
2014-08-18,114.95
2014-08-19,105.5
2014-08-20,114.1
2014-08-21,120.0
2014-08-22,121.0
2014-08-25,120.0
2014-08-26,115.0
2014-08-27,122.5
2014-08-28,121.0
2014-09-02,122.0
2014-09-03,122.0
2014-09-05,120.0
2014-09-08,120.0
2014-09-09,121.0
2014-09-10,119.0
2014-09-17,110.25
2014-09-18,108.05
2014-09-19,115.0
2014-09-22,124.0
2014-09-23,118.0
2014-09-24,111.25
2014-09-26,115.75
2014-09-29,118.2
2014-09-30,115.05
2014-10-01,118.9
2014-10-07,119.2
2014-10-08,118.0
2014-10-09,117.95
2014-10-10,122.0
2014-10-13,119.0
2014-10-14,119.7
2014-10-16,121.0
2014-10-17,123.8
2014-10-20,120.0
2014-10-21,117.05
2014-10-22,118.3
2014-10-23,120.95
2014-10-27,119.95
2014-10-28,118.0
2014-10-29,116.55
2014-10-30,114.35
2014-10-31,113.0
2014-11-03,110.35
2014-11-05,110.95
2014-11-07,112.0
2014-11-10,114.0
2014-11-11,110.0
2014-11-12,110.0
2014-11-13,106.4
2014-11-14,104.0
2014-11-17,105.5
2014-11-18,100.35
2014-11-19,88.15
2014-11-20,96.75
2014-11-21,92.4
2014-11-24,91.15
2014-11-25,85.8
2014-11-26,93.0
2014-11-27,91.6
2014-11-28,94.8
2014-12-01,86.0
2014-12-03,89.95
2014-12-04,80.6
2014-12-05,84.0
2014-12-08,83.0
2014-12-10,82.3
2014-12-11,82.7
2014-12-12,81.85
2014-12-15,85.0
2014-12-16,71.15
2014-12-17,76.0
2014-12-18,78.05
2014-12-19,78.0
2014-12-22,75.25
2014-12-23,74.55
2014-12-24,72.75
2014-12-26,81.05
2014-12-29,81.05
2015-01-02,79.0
2015-01-05,86.35
2015-01-06,79.1
2015-01-07,85.0
2015-01-08,90.8
2015-01-09,89.0
2015-01-12,82.05
2015-01-20,82.2
2015-01-21,82.35
2015-01-23,87.85
2015-02-02,83.5
2015-02-03,86.75
2015-02-05,79.05
2015-02-09,78.05
2015-02-11,73.55
2015-02-13,70.3
2015-02-18,70.4
2015-02-26,70.0
2015-02-27,73.0
2015-02-28,73.0
2015-03-03,82.9
2015-03-04,82.0
2015-03-05,76.1
2015-03-09,80.75
2015-03-10,86.0
2015-03-11,84.55
2015-03-12,85.05
2015-03-13,81.5
2015-03-16,80.0
2015-03-17,72.5
2015-03-18,79.95
2015-03-19,76.5
2015-03-20,72.0
2015-03-23,70.85
2015-03-24,66.5
2015-03-25,66.7
2015-03-26,63.5
2015-03-27,67.0
2015-03-30,64.95
2015-03-31,65.6
2015-04-06,70.0
2015-04-07,70.1
2015-04-08,77.4
2015-04-09,74.5
2015-04-10,75.0
2015-04-13,82.5
2015-04-15,79.75
2015-04-16,86.9
2015-04-17,82.0
2015-04-20,81.25
2015-04-21,79.0
2015-04-23,74.3
2015-04-24,74.0
2015-04-27,72.0
2015-04-30,73.5
2015-05-05,70.4
2015-05-06,66.2
2015-05-07,71.3
2015-05-08,72.0
2015-05-11,72.05
2015-05-12,72.7
2015-05-13,68.8
2015-05-15,68.8
2015-05-18,70.5
2015-05-19,67.1
2015-05-20,68.0
2015-05-21,70.4
2015-05-22,71.0
2015-05-26,66.55
2015-05-27,71.8
2015-05-28,71.95
2015-06-01,66.5
2015-06-03,63.0
2015-06-08,64.9
2015-06-09,61.0
2015-06-11,66.95
2015-06-12,61.85
2015-06-16,68.3
2015-06-17,62.6
2015-06-18,61.5
2015-06-19,63.8
2015-06-22,64.0
2015-06-23,63.0
2015-06-24,66.95
2015-06-26,65.65
2015-06-30,65.75
2015-07-01,68.0
2015-07-02,65.0
2015-07-03,64.3
2015-07-06,63.15
2015-07-07,65.0
2015-07-08,62.15
2015-07-09,62.15
2015-07-14,63.0
2015-07-15,65.5
2015-07-16,65.0
2015-07-17,64.5
2015-07-20,62.0
2015-07-23,61.6
2015-07-24,62.0
2015-07-28,62.0
2015-07-29,61.95
2015-07-31,61.95
2015-08-03,61.3
2015-08-04,61.85
2015-08-05,62.55
2015-08-07,62.0
2015-08-10,60.9
2015-08-11,61.5
2015-08-12,63.5
2015-08-13,61.1
2015-08-14,62.0
2015-08-17,63.0
2015-08-18,63.0
2015-08-19,64.0
2015-08-20,63.95
2015-08-21,64.0
2015-08-24,60.8
2015-08-26,57.8
2015-08-27,57.85
2015-08-31,55.25
2015-09-03,58.0
2015-09-10,55.5
2015-09-11,58.25
2015-09-14,60.65
2015-09-15,63.0
2015-09-16,61.25
2015-09-24,58.5
2015-09-28,58.0
2015-09-29,60.0
2015-10-01,62.0
2015-10-05,63.0
2015-10-06,64.85
2015-10-07,61.65
2015-10-13,59.0
2015-10-14,59.1
2015-10-16,62.05
2015-10-20,65.15
2015-10-21,68.4
2015-10-23,70.0
2015-10-26,71.0
2015-11-05,67.45
2015-11-11,66.95
2015-11-13,63.65
2015-11-16,61.1
2015-11-17,64.15
2015-11-18,63.0
2015-11-20,60.95
2015-11-24,62.8
2015-11-27,62.65
2015-12-01,60.1
2015-12-02,57.3
2015-12-03,60.0
2015-12-08,57.0
2015-12-11,59.85
2015-12-14,58.0
2015-12-15,57.0
2015-12-16,57.3
2015-12-17,60.0
2015-12-21,62.0
2015-12-24,58.9
2015-12-29,61.8
2016-01-04,61.7
2016-01-05,64.0
2016-01-06,67.2
2016-01-07,70.0
2016-01-08,73.5
2016-01-11,73.4
2016-01-12,74.5
2016-01-20,70.8
2016-01-21,67.3
2016-01-22,63.95
2016-01-25,60.8
2016-01-27,58.1
2016-01-28,57.0
2016-02-03,54.2
2016-02-04,56.9
2016-02-05,59.6
2016-02-08,62.5
2016-02-24,65.45
2016-02-25,64.55
2016-02-29,61.35
2016-03-01,58.3
2016-03-02,60.95
2016-03-03,57.95
2016-03-04,57.6
2016-03-08,57.6
2016-03-09,58.0
2016-03-10,60.9
2016-03-11,57.9
2016-03-14,58.5
2016-03-15,56.25
2016-03-16,53.45
2016-03-17,56.1
2016-03-18,53.35
