Date,SPARC
2013-01-01,136.0
2013-01-02,135.2
2013-01-03,143.2
2013-01-04,142.2
2013-01-07,140.85
2013-01-08,139.85
2013-01-09,138.35
2013-01-10,137.9
2013-01-11,132.9
2013-01-14,135.15
2013-01-15,131.8
2013-01-16,127.35
2013-01-17,126.0
2013-01-18,126.7
2013-01-21,124.55
2013-01-22,120.25
2013-01-23,120.05
2013-01-24,112.75
2013-01-25,113.9
2013-01-28,111.85
2013-01-29,106.9
2013-01-30,108.6
2013-01-31,117.3
2013-02-01,116.15
2013-02-04,112.75
2013-02-05,114.25
2013-02-06,118.6
2013-02-07,116.2
2013-02-08,112.95
2013-02-11,111.8
2013-02-12,117.3
2013-02-13,114.15
2013-02-14,112.95
2013-02-15,114.5
2013-02-18,115.05
2013-02-19,119.45
2013-02-20,120.15
2013-02-21,115.45
2013-02-22,118.6
2013-02-25,117.2
2013-02-26,112.5
2013-02-27,110.8
2013-02-28,107.25
2013-03-01,109.2
2013-03-04,104.55
2013-03-05,107.35
2013-03-06,107.45
2013-03-07,108.4
2013-03-08,112.25
2013-03-11,114.15
2013-03-12,116.3
2013-03-13,114.15
2013-03-14,113.5
2013-03-15,112.35
2013-03-18,110.8
2013-03-19,111.05
2013-03-20,109.5
2013-03-21,110.1
2013-03-22,107.05
2013-03-25,106.8
2013-03-26,112.5
2013-03-28,114.05
2013-04-01,121.8
2013-04-02,124.4
2013-04-03,119.15
2013-04-04,115.0
2013-04-05,113.85
2013-04-08,113.5
2013-04-09,113.9
2013-04-10,113.0
2013-04-11,112.9
2013-04-12,114.1
2013-04-15,115.75
2013-04-16,116.1
2013-04-17,121.0
2013-04-18,123.6
2013-04-22,122.85
2013-04-23,119.8
2013-04-25,123.0
2013-04-26,122.35
2013-04-29,124.55
2013-04-30,124.05
2013-05-02,125.8
2013-05-03,127.85
2013-05-06,124.05
2013-05-07,127.2
2013-05-08,130.35
2013-05-09,126.75
2013-05-10,125.15
2013-05-11,127.3
2013-05-13,125.65
2013-05-14,144.35
2013-05-15,163.45
2013-05-16,159.75
2013-05-17,153.7
2013-05-20,156.25
2013-05-21,153.55
2013-05-22,159.0
2013-05-23,149.15
2013-05-24,152.8
2013-05-27,165.25
2013-05-28,166.3
2013-05-29,168.35
2013-05-30,167.95
2013-05-31,161.6
2013-06-03,158.85
2013-06-04,159.95
2013-06-05,158.4
2013-06-06,162.2
2013-06-07,160.2
2013-06-10,158.85
2013-06-11,149.5
2013-06-12,145.3
2013-06-13,136.8
2013-08-30,123.35
2013-09-02,124.15
2013-09-03,118.7
2013-09-04,121.5
2013-09-05,120.55
2013-09-06,119.4
2013-09-10,119.95
2013-09-11,131.9
2013-09-12,134.0
2013-09-13,128.65
2013-09-16,123.75
2013-09-17,121.55
2013-09-18,122.85
2013-09-19,124.6
2013-09-20,123.9
2013-09-23,121.7
2013-09-24,120.95
2013-09-25,131.55
2013-09-26,127.7
2013-09-27,126.95
2013-09-30,126.65
2013-10-01,131.85
2013-10-03,131.15
2013-10-04,132.15
2013-10-07,134.85
2013-10-08,133.3
2013-10-09,137.75
2013-10-10,134.85
