Date,MRPL
2013-01-01,61.75
2013-01-02,61.9
2013-01-03,64.7
2013-01-04,65.65
2013-01-07,68.95
2013-01-08,67.05
2013-01-09,66.5
2013-01-10,64.85
2013-01-11,65.65
2013-01-14,66.15
2013-01-15,66.05
2013-01-16,65.1
2013-01-17,66.95
2013-01-18,66.95
2013-01-21,66.75
2013-01-22,65.35
2013-01-23,63.15
2013-01-24,62.1
2013-01-25,62.6
2013-01-28,63.15
2013-01-29,62.15
2013-01-30,62.6
2013-01-31,64.0
2013-02-01,62.0
2013-02-04,60.9
2013-02-05,60.45
2013-02-06,61.9
2013-02-07,59.25
2013-02-08,58.4
2013-02-11,58.65
2013-02-12,60.75
2013-02-13,60.35
2013-02-14,58.35
2013-02-15,59.85
2013-02-18,60.2
2013-02-19,59.85
2013-02-20,60.05
2013-02-21,59.1
2013-02-22,58.85
2013-02-25,58.2
2013-02-26,57.45
2013-02-27,57.85
2013-02-28,58.7
2013-03-01,57.8
2013-03-04,56.85
2013-03-05,56.9
2013-03-06,57.15
2013-03-07,55.95
2013-03-08,55.65
2013-03-11,55.1
2013-03-12,54.0
2013-03-13,53.55
2013-03-14,52.45
2013-03-15,52.25
2013-03-18,53.55
2013-03-19,52.0
2013-03-20,52.5
2013-03-21,51.3
2013-03-22,50.25
2013-03-25,49.25
2013-03-26,49.2
2013-03-28,49.55
2013-04-01,50.85
2013-04-02,51.95
2013-04-03,50.4
2013-04-04,49.5
2013-04-05,49.9
2013-04-08,49.8
2013-04-09,49.35
2013-04-10,48.65
2013-04-11,49.1
2013-04-12,49.4
2013-04-15,49.6
2013-04-16,49.55
2013-04-17,49.35
2013-04-18,49.3
2013-04-22,48.95
2013-04-23,48.85
2013-04-25,48.9
2013-04-26,48.05
2013-04-29,47.35
2013-04-30,47.45
2013-05-02,47.1
2013-05-03,47.15
2013-05-06,47.45
2013-05-07,47.65
2013-05-08,47.35
2013-05-09,46.45
2013-05-10,46.75
2013-05-11,47.2
2013-05-13,46.35
2013-05-14,46.5
2013-05-15,46.9
2013-05-16,46.6
2013-05-17,46.3
2013-05-20,46.15
2013-05-21,45.05
2013-05-22,44.8
2013-05-23,41.85
2013-05-24,42.55
2013-05-27,42.75
2013-05-28,43.3
2013-05-29,43.3
2013-05-30,44.45
2013-05-31,43.25
2013-06-03,44.95
2013-06-04,45.5
2013-06-05,45.15
2013-06-06,44.65
2013-06-07,43.8
2013-06-10,42.1
2013-06-11,40.85
2013-06-12,40.3
2013-06-13,40.4
2013-06-14,39.2
2013-06-17,39.3
2013-06-18,38.7
2013-06-19,38.5
2013-06-20,37.7
2013-06-21,37.8
2013-06-24,36.8
2013-06-25,35.25
2013-06-26,34.65
2013-06-27,34.15
2013-06-28,36.0
2013-07-01,37.7
2013-07-02,37.75
2013-07-03,36.5
2013-07-04,36.9
2013-07-05,37.5
2013-07-08,37.45
2013-07-09,37.75
2013-07-10,36.35
2013-07-11,36.7
2013-07-12,36.85
2013-07-15,36.9
2013-07-16,34.9
2013-07-17,34.45
2013-07-18,35.1
2013-07-19,35.25
2013-07-22,35.8
2013-07-23,36.0
2013-07-24,35.9
2013-07-25,35.95
2013-07-26,35.85
2013-07-29,34.0
2013-07-30,33.35
2013-07-31,32.55
2013-08-01,32.45
2013-08-02,32.15
2013-08-05,28.75
2013-08-06,29.15
2013-08-07,29.7
2013-08-08,30.0
2013-08-12,30.9
2013-08-13,30.4
2013-08-14,29.9
2013-08-16,27.45
2013-08-19,27.2
2013-08-20,28.55
2013-08-21,29.55
2013-08-22,29.55
2013-08-23,30.0
2013-08-26,30.4
2013-08-27,29.45
2013-08-28,29.1
2013-08-29,29.8
2013-08-30,30.8
2013-09-02,31.35
2013-09-03,30.9
2013-09-04,30.65
2013-09-05,30.95
2013-09-06,31.6
2013-09-10,31.35
2013-09-11,32.0
2013-09-12,32.2
2013-09-13,32.9
2013-09-16,33.0
2013-09-17,34.65
2013-09-18,34.8
2013-09-19,35.15
2013-09-20,34.35
2013-09-23,34.0
2013-09-24,34.1
2013-09-25,33.6
2013-09-26,33.2
2013-09-27,33.2
2013-09-30,33.5
2013-10-01,33.2
2013-10-03,33.65
2013-10-04,33.5
2013-10-07,33.35
2013-10-08,33.55
2013-10-09,33.5
2013-10-10,33.7
2013-10-11,33.8
2013-10-14,36.3
2013-10-15,36.6
2013-10-17,37.0
2013-10-18,38.1
2013-10-21,39.65
2013-10-22,41.75
2013-10-23,40.35
2013-10-24,39.55
2013-10-25,38.95
2013-10-28,39.55
2013-10-29,41.25
2013-10-30,39.8
2013-10-31,40.25
2013-11-01,40.05
2013-11-03,40.45
2013-11-05,39.9
2013-11-06,40.4
2013-11-07,42.2
2013-11-08,41.65
2013-11-11,39.95
2013-11-12,39.15
2013-11-13,38.25
2013-11-14,38.5
2013-11-18,41.5
2013-11-19,43.65
2013-11-20,42.1
2013-11-21,41.05
2013-11-22,40.4
2013-11-25,42.85
2013-11-26,42.4
2013-11-27,42.95
2013-11-28,41.9
2013-11-29,41.95
2013-12-02,41.95
2013-12-03,41.15
2013-12-04,41.15
2013-12-05,40.95
2013-12-06,42.55
2013-12-09,42.0
2013-12-10,41.05
2013-12-11,40.45
2013-12-12,41.05
2013-12-13,40.05
2013-12-16,40.0
2013-12-17,39.5
2013-12-18,41.15
2013-12-19,41.3
2013-12-20,41.95
2013-12-23,41.55
2013-12-24,42.1
2013-12-26,43.15
2013-12-27,42.45
2013-12-30,41.8
2013-12-31,42.45
2014-01-01,43.6
2014-01-02,42.75
2014-01-03,42.6
2014-01-06,43.6
2014-01-07,43.15
2014-01-08,43.05
2014-01-09,44.75
2014-01-10,43.15
2014-01-13,43.3
2014-01-14,43.1
2014-01-15,43.95
2014-01-16,43.8
2014-01-17,42.9
2014-01-20,42.5
2014-01-21,42.85
2014-01-22,43.5
2014-01-23,43.55
2014-01-24,42.4
2014-01-27,40.45
2014-01-28,40.75
2014-01-29,40.7
2014-01-30,40.25
2014-01-31,42.6
2014-02-03,43.3
2014-02-04,42.5
2014-02-05,43.15
2014-02-06,43.95
2014-02-07,43.9
2014-02-10,42.85
2014-02-11,41.15
2014-02-12,40.9
2014-02-13,40.4
2014-02-14,40.45
2014-02-17,39.85
2014-02-18,39.75
2014-02-19,39.15
2014-02-20,39.95
2014-02-21,39.95
2014-02-24,38.65
2014-02-25,38.75
2014-02-26,38.55
2014-02-28,38.3
2014-03-03,38.35
2014-03-04,38.75
2014-03-05,40.1
2014-03-06,41.3
2014-03-07,41.45
2014-03-10,41.0
2014-03-11,41.65
2014-03-12,41.0
2014-03-13,42.45
2014-03-14,41.8
2014-03-18,42.5
2014-03-19,43.5
2014-03-20,43.35
2014-03-21,41.75
2014-03-22,42.2
2014-03-24,43.6
2014-03-25,43.25
2014-03-26,43.7
2014-03-27,44.7
2014-03-28,44.65
2014-03-31,47.7
2014-04-01,47.25
2014-04-02,47.5
2014-04-03,46.65
2014-04-04,47.4
2014-04-07,47.1
2014-04-09,49.0
2014-04-10,50.4
2014-04-11,52.25
2014-04-15,52.0
2014-04-16,51.3
2014-04-17,52.25
2014-04-21,54.0
2014-04-22,55.1
2014-04-23,64.2
2014-04-25,59.6
2014-04-28,61.55
2014-04-29,61.05
2014-04-30,59.7
2014-05-02,59.6
2014-05-05,60.1
2014-05-06,59.6
2014-05-07,57.9
2014-05-08,55.8
2014-05-09,57.0
2014-05-12,57.55
2014-05-13,58.0
2014-05-14,58.05
2014-05-15,58.55
2014-05-16,59.95
2014-05-19,63.45
2014-05-20,67.7
2014-05-21,75.05
2014-05-22,73.3
2014-05-23,72.7
2014-05-26,69.85
2014-05-27,68.1
2014-05-28,67.6
2014-05-29,66.95
2014-05-30,66.9
2014-06-02,71.6
2014-06-03,70.9
2014-06-04,72.25
2014-06-05,73.55
2014-06-06,74.55
2014-06-09,75.1
2014-06-10,72.6
2014-06-11,71.55
2014-06-12,69.55
2014-06-13,65.6
2014-06-16,64.45
2014-06-17,66.65
2014-06-18,66.45
2014-06-19,65.6
2014-06-20,66.35
2014-06-23,70.2
2014-06-24,71.35
2014-06-25,70.7
2014-06-26,68.6
2014-06-27,69.05
2014-06-30,72.05
2014-07-01,74.6
2014-07-02,74.75
2014-07-03,72.65
2014-07-04,72.6
2014-07-07,71.95
2014-07-08,67.95
2014-07-09,66.15
2014-07-10,67.85
2014-07-11,66.15
2014-07-14,66.55
2014-07-15,66.65
2014-07-16,68.65
2014-07-17,70.55
2014-07-18,69.55
2014-07-21,69.4
2014-07-22,69.3
2014-07-23,68.5
2014-07-24,67.85
2014-07-25,66.15
2014-07-28,65.95
2014-07-30,65.55
2014-07-31,65.0
2014-08-01,64.55
2014-08-04,65.05
2014-08-05,66.3
2014-08-06,66.5
2014-08-07,64.65
2014-08-08,63.25
2014-08-11,64.35
2014-08-12,61.35
2014-08-13,60.3
2014-08-14,59.65
2014-08-18,61.9
2014-08-19,65.25
2014-08-20,65.1
2014-08-21,63.85
2014-08-22,62.5
2014-08-25,61.65
2014-08-26,60.85
2014-08-27,61.0
2014-08-28,61.55
2014-09-01,61.8
2014-09-02,61.9
2014-09-03,62.0
2014-09-04,62.7
2014-09-05,64.15
2014-09-08,66.55
2014-09-09,65.65
2014-09-10,63.95
2014-09-11,64.55
2014-09-12,64.0
2014-09-15,64.65
2014-09-16,63.85
2014-09-17,62.7
2014-09-18,63.0
2014-09-19,62.05
2014-09-22,63.0
2014-09-23,64.05
2014-09-24,63.0
2014-09-25,61.3
2014-09-26,61.15
2014-09-29,61.5
2014-09-30,61.55
2014-10-01,60.9
2014-10-07,60.1
2014-10-08,63.05
2014-10-09,62.25
2014-10-10,61.1
2014-10-13,60.35
