Date,BLUESTARCO
2013-01-01,179.9
2013-01-02,180.5
2013-01-03,179.8
2013-01-04,177.4
2013-01-07,176.9
2013-01-08,177.05
2013-01-09,176.05
2013-01-10,174.65
2013-01-11,173.0
2013-01-14,173.95
2013-01-15,173.85
2013-01-16,172.3
2013-01-17,174.4
2013-01-18,178.45
2013-01-21,168.75
2013-01-22,171.4
2013-01-23,169.25
2013-01-24,169.3
2013-01-25,168.3
2013-01-28,162.65
2013-01-29,165.7
2013-01-30,165.2
2013-01-31,166.9
2013-02-01,165.7
2013-02-04,172.0
2013-02-05,172.8
2013-02-06,174.1
2013-02-07,174.0
2013-02-08,174.25
2013-02-11,172.0
2013-02-12,171.8
2013-02-13,172.25
2013-02-14,171.05
2013-02-15,169.3
2013-02-18,170.65
2013-02-19,172.0
2013-02-20,172.5
2013-02-21,172.05
2013-02-22,172.05
2013-02-25,172.1
2013-02-26,172.05
2013-02-27,172.1
2013-02-28,171.85
2013-03-01,168.65
2013-03-04,166.8
2013-03-05,166.95
2013-03-06,166.5
2013-03-07,165.9
2013-03-08,178.45
2013-03-11,180.75
2013-03-12,174.45
2013-03-13,170.0
2013-03-14,169.5
2013-03-15,169.85
2013-03-18,167.3
2013-03-19,165.35
2013-03-20,164.15
2013-03-21,161.3
2013-03-22,159.9
2013-03-25,154.25
2013-03-26,156.0
2013-03-28,158.25
2013-04-01,160.85
2013-04-02,164.5
2013-04-03,165.0
2013-04-04,162.9
2013-04-05,160.9
2013-04-08,161.35
2013-04-09,160.0
2013-04-10,159.85
2013-04-11,160.1
2013-04-12,159.05
2013-04-15,159.7
2013-04-16,160.7
2013-04-17,159.75
2013-04-18,161.2
2013-04-22,164.25
2013-04-23,162.95
2013-04-25,161.85
2013-04-26,161.6
2013-04-29,160.3
2013-04-30,162.2
2013-05-02,164.0
2013-05-03,162.4
2013-05-06,165.7
2013-05-07,168.9
2013-05-08,166.3
2013-05-09,168.4
2013-05-10,171.95
2013-05-11,174.35
2013-05-13,171.65
2013-05-14,166.35
2013-05-15,166.45
2013-05-16,164.9
2013-05-17,171.65
2013-05-20,171.0
2013-05-21,167.7
2013-05-22,168.1
2013-05-23,166.85
2013-05-24,167.4
2013-05-27,166.9
2013-05-28,166.25
2013-05-29,167.1
2013-05-30,165.5
2013-05-31,166.95
2013-06-03,166.65
2013-06-04,167.05
2013-06-05,167.0
2013-06-06,166.25
2013-06-07,166.05
2013-06-10,162.0
2013-06-11,163.1
2013-06-12,160.9
2013-06-13,160.05
2013-06-14,159.55
2013-06-17,161.7
2013-06-18,161.0
2013-06-19,162.95
2013-06-20,161.05
2013-06-21,160.0
2013-06-24,158.05
2013-06-25,156.1
2013-06-26,156.05
2013-06-27,156.4
2013-06-28,162.7
2013-07-01,163.65
2013-07-02,161.05
2013-07-03,159.25
2013-07-04,159.15
2013-07-05,159.25
2013-07-08,156.95
2013-07-09,157.8
2013-07-10,157.7
2013-07-11,156.55
2013-07-12,156.1
2013-07-15,158.2
2013-07-16,156.5
2013-07-17,155.3
2013-07-18,154.45
2013-07-19,155.4
2013-07-22,158.6
2013-07-23,158.85
2013-07-24,155.8
2013-07-25,154.05
2013-07-26,155.35
2013-07-29,156.35
2013-07-30,155.1
2013-07-31,153.25
2013-08-01,150.15
2013-08-02,150.65
2013-08-05,141.7
2013-08-06,136.3
2013-08-07,141.85
2013-08-08,139.9
2013-08-12,139.65
2013-08-13,143.65
2013-08-14,144.55
2013-08-16,143.0
2013-08-19,139.0
2013-08-20,137.05
2013-08-21,135.6
2013-08-22,135.65
2013-08-23,134.6
2013-08-26,136.05
2013-08-27,136.1
2013-08-28,133.4
2013-08-29,132.1
2013-08-30,135.1
2013-09-02,136.05
2013-09-03,134.1
2013-09-04,133.5
2013-09-05,132.65
2013-09-06,135.75
2013-09-10,150.05
2013-09-11,150.5
2013-09-12,150.5
2013-09-13,150.5
2013-09-16,149.4
2013-09-17,150.4
2013-09-18,148.0
2013-09-19,149.05
2013-09-20,148.75
2013-09-23,146.1
2013-09-24,146.6
2013-09-25,144.75
2013-09-26,141.3
2013-09-27,143.45
2013-09-30,145.6
2013-10-01,143.55
2013-10-03,143.4
2013-10-04,145.5
2013-10-07,144.4
2013-10-08,142.55
2013-10-09,143.4
2013-10-10,143.15
2013-10-11,142.7
2013-10-14,144.7
2013-10-15,142.5
2013-10-17,142.05
2013-10-18,144.65
2013-10-21,146.4
2013-10-22,147.3
2013-10-23,146.2
2013-10-24,150.25
2013-10-25,149.25
2013-10-28,149.6
2013-10-29,150.1
2013-10-30,150.6
2013-10-31,151.15
2013-11-01,155.1
2013-11-03,153.7
