Date,LICNETFGSC
2015-01-01,13.54
2015-01-02,13.49
2015-01-05,13.49
2015-01-06,13.53
2015-01-07,13.49
2015-01-08,13.55
2015-01-09,13.54
2015-01-12,13.5
2015-01-13,13.55
2015-01-14,13.51
2015-01-15,13.58
2015-01-16,13.6
2015-01-19,13.55
2015-01-20,13.7
2015-01-21,13.72
2015-01-22,13.76
2015-01-23,13.7
2015-01-27,13.75
2015-01-28,13.76
2015-01-29,13.76
2015-02-02,13.7
2015-02-03,13.76
2015-02-04,13.78
2015-02-05,13.77
2015-02-06,13.71
2015-02-09,13.8
2015-02-10,13.71
2015-02-11,13.8
2015-02-12,13.8
2015-02-13,13.82
2015-02-16,13.82
2015-02-18,13.76
2015-02-19,13.78
2015-02-20,13.84
2015-02-23,13.86
2015-02-24,13.85
2015-02-25,13.87
2015-02-26,13.87
2015-02-27,13.86
2015-02-28,13.86
2015-03-02,13.84
2015-03-03,13.84
2015-03-04,13.92
2015-03-05,13.9
2015-03-09,13.9
2015-03-10,13.89
2015-03-11,13.73
2015-03-12,13.87
2015-03-13,13.84
2015-03-16,13.7
2015-03-17,13.78
2015-03-18,13.71
2015-03-19,13.85
2015-03-20,13.77
2015-03-23,13.89
2015-03-24,13.89
2015-03-25,13.85
2015-03-26,13.74
2015-03-27,13.75
2015-03-30,13.89
2015-03-31,13.88
2015-04-01,13.78
2015-04-06,13.9
2015-04-07,13.94
2015-04-08,13.91
2015-04-09,13.9
2015-04-10,13.92
2015-04-13,13.92
2015-04-15,13.89
2015-04-16,13.82
2015-04-17,13.91
2015-04-20,13.82
2015-04-21,13.93
2015-04-22,13.95
2015-04-23,13.95
2015-04-24,13.84
2015-04-27,13.95
2015-04-28,13.95
2015-04-29,13.96
2015-04-30,13.94
2015-05-04,13.81
2015-05-05,13.8
2015-05-06,13.91
2015-05-07,13.87
2015-05-08,13.84
2015-05-11,13.86
2015-05-12,13.85
2015-05-13,13.87
2015-05-14,13.82
2015-05-15,13.84
2015-05-18,13.87
2015-05-20,13.94
2015-05-21,13.92
2015-05-25,13.92
2015-05-26,13.93
2015-05-27,13.92
2015-05-29,13.95
2015-06-01,13.98
2015-06-02,13.97
2015-06-03,13.86
2015-06-04,13.8
2015-06-08,13.84
2015-06-09,13.84
2015-06-10,13.87
2015-06-11,13.84
2015-06-15,13.78
2015-06-16,13.78
2015-06-17,13.78
2015-06-18,13.9
2015-06-19,13.9
2015-06-22,13.86
2015-06-24,13.92
2015-06-26,13.89
2015-06-29,13.85
2015-06-30,13.86
2015-07-01,13.87
2015-07-02,13.8
2015-07-03,13.92
2015-07-06,13.92
2015-07-07,13.87
2015-07-08,13.84
2015-07-09,13.95
2015-07-13,13.94
2015-07-14,13.88
2015-07-15,13.91
2015-07-17,13.85
2015-07-20,13.94
2015-07-21,13.93
2015-07-22,13.92
2015-07-27,13.95
2015-07-28,13.88
2015-07-29,13.95
2015-07-30,14.0
2015-07-31,14.0
2015-08-03,14.04
2015-08-04,14.04
2015-08-05,14.0
2015-08-06,14.0
2015-08-07,13.99
2015-08-10,14.04
2015-08-11,13.95
2015-08-13,14.05
2015-08-14,14.1
2015-08-17,14.1
2015-08-18,14.1
2015-08-19,14.13
2015-08-24,14.1
2015-08-25,14.09
2015-08-26,14.09
2015-08-31,14.01
2015-09-01,14.15
2015-09-02,14.16
2015-09-03,14.17
2015-09-04,14.18
2015-09-07,14.17
2015-09-08,14.16
2015-09-09,14.18
2015-09-14,14.17
2015-09-15,14.2
2015-09-16,14.21
2015-09-18,14.17
2015-09-21,14.27
2015-09-22,14.21
2015-09-23,14.26
2015-09-24,14.28
2015-09-28,14.32
2015-09-29,14.39
2015-09-30,14.45
2015-10-01,14.37
2015-10-05,14.41
2015-10-07,14.47
2015-10-08,14.46
2015-10-09,14.47
2015-10-12,14.48
2015-10-13,14.45
2015-10-14,14.48
2015-10-15,14.48
2015-10-16,14.48
2015-10-19,14.48
2015-10-20,14.42
2015-10-21,14.48
2015-10-23,14.48
2015-10-26,14.49
2015-10-27,14.4
2015-10-28,14.45
2015-10-29,14.47
2015-10-30,14.47
2015-11-02,14.47
2015-11-03,14.48
2015-11-05,14.47
2015-11-09,14.41
2015-11-10,14.43
2015-11-13,14.44
2015-11-16,14.48
2015-11-17,14.48
2015-11-18,14.48
2015-11-19,14.49
2015-11-23,14.45
2015-11-24,14.42
2015-11-26,14.46
2015-11-27,14.4
2015-11-30,14.43
2015-12-02,14.49
2015-12-03,14.47
2015-12-04,14.45
2015-12-07,14.47
2015-12-08,14.45
2015-12-09,14.44
2015-12-11,14.44
2015-12-14,14.4
2015-12-15,14.44
2015-12-16,14.49
2015-12-17,14.5
2015-12-18,14.52
2015-12-21,14.48
