Date,JPPOWER
2013-01-01,38.4
2013-01-02,38.55
2013-01-03,38.55
2013-01-04,38.3
2013-01-07,38.85
2013-01-08,39.55
2013-01-09,40.05
2013-01-10,40.25
2013-01-11,40.25
2013-01-14,38.4
2013-01-15,36.5
2013-01-16,34.9
2013-01-17,36.5
2013-01-18,35.7
2013-01-21,37.7
2013-01-22,37.6
2013-01-23,36.6
2013-01-24,35.6
2013-01-25,36.8
2013-01-28,36.05
2013-01-29,35.75
2013-01-30,34.95
2013-01-31,34.95
2013-02-01,34.7
2013-02-04,33.75
2013-02-05,33.85
2013-02-06,33.2
2013-02-07,32.0
2013-02-08,32.0
2013-02-11,32.25
2013-02-12,31.9
2013-02-13,31.75
2013-02-14,29.6
2013-02-15,31.0
2013-02-18,32.25
2013-02-19,32.95
2013-02-20,30.75
2013-02-21,31.0
2013-02-22,31.35
2013-02-25,30.6
2013-02-26,30.75
2013-02-27,31.0
2013-02-28,28.75
2013-03-01,29.4
2013-03-04,27.85
2013-03-05,27.65
2013-03-06,27.8
2013-03-07,28.4
2013-03-08,28.1
2013-03-11,27.8
2013-03-12,27.85
2013-03-13,27.7
2013-03-14,28.15
2013-03-15,28.0
2013-03-18,27.35
2013-03-19,26.95
2013-03-20,25.7
2013-03-21,25.6
2013-03-22,25.65
2013-03-25,25.0
2013-03-26,24.75
2013-03-28,26.1
2013-04-01,25.95
2013-04-02,26.15
2013-04-03,26.5
2013-04-04,25.6
2013-04-05,25.45
2013-04-08,24.6
2013-04-09,24.05
2013-04-10,24.4
2013-04-11,24.4
2013-04-12,24.6
2013-04-15,25.1
2013-04-16,25.9
2013-04-17,25.95
2013-04-18,25.9
2013-04-22,26.35
2013-04-23,27.0
2013-04-25,27.0
2013-04-26,26.4
2013-04-29,26.4
2013-04-30,25.55
2013-05-02,26.4
2013-05-03,25.75
2013-05-06,25.8
2013-05-07,26.05
2013-05-08,26.0
2013-05-09,26.8
2013-05-10,26.85
2013-05-11,26.8
2013-05-13,26.15
2013-05-14,26.1
2013-05-15,27.3
2013-05-16,28.7
2013-05-17,28.9
2013-05-20,28.3
2013-05-21,27.35
2013-05-22,26.0
2013-05-23,25.1
2013-05-24,24.9
2013-05-27,25.35
2013-05-28,25.7
2013-05-29,25.25
2013-05-30,24.8
2013-05-31,23.15
2013-06-03,23.65
2013-06-04,23.7
2013-06-05,23.9
2013-06-06,23.65
2013-06-07,22.8
2013-06-10,21.9
2013-06-11,20.5
2013-06-12,20.9
2013-06-13,20.55
2013-06-14,22.15
2013-06-17,21.85
2013-06-18,22.2
2013-06-19,22.05
2013-06-20,21.0
2013-06-21,20.25
2013-06-24,17.6
2013-06-25,16.5
2013-06-26,17.6
2013-06-27,18.65
2013-06-28,19.0
2013-07-01,19.45
2013-07-02,19.55
2013-07-03,18.0
2013-07-04,17.55
2013-07-05,17.1
2013-07-08,16.65
2013-07-09,16.7
2013-07-10,16.65
2013-07-11,17.05
2013-07-12,16.85
2013-07-15,16.75
2013-07-16,16.4
2013-07-17,15.25
2013-07-18,15.45
2013-07-19,15.1
2013-07-22,14.95
2013-07-23,15.05
2013-07-24,14.6
2013-07-25,13.45
2013-07-26,13.25
2013-07-29,13.0
2013-07-30,10.95
2013-07-31,10.05
2013-08-01,8.75
2013-08-02,10.2
2013-08-05,11.5
2013-08-06,9.75
2013-08-07,10.45
2013-08-08,10.45
2013-08-12,10.95
2013-08-13,10.65
2013-08-14,12.25
2013-08-16,11.0
2013-08-19,13.2
2013-08-20,13.85
2013-08-21,12.6
2013-08-22,13.05
2013-08-23,13.05
