Date,VIMTALABS
2013-01-01,19.35
2013-01-02,19.8
2013-01-03,20.15
2013-01-04,20.0
2013-01-07,21.7
2013-01-08,21.4
2013-01-09,20.65
2013-01-10,20.75
2013-01-11,20.65
2013-01-14,19.95
2013-01-15,18.85
2013-01-16,19.0
2013-01-17,20.0
2013-01-18,19.4
2013-01-21,18.8
2013-01-22,18.5
2013-01-23,18.75
2013-01-24,18.45
2013-01-25,19.0
2013-01-28,19.35
2013-01-29,19.0
2013-01-30,19.35
2013-01-31,18.25
2013-02-01,18.8
2013-02-04,20.0
2013-02-05,19.2
2013-02-06,19.45
2013-02-07,18.9
2013-02-08,18.2
2013-02-11,18.65
2013-02-12,18.05
2013-02-13,17.65
2013-02-14,17.35
2013-02-15,17.3
2013-02-18,17.9
2013-02-19,17.35
2013-02-20,17.15
2013-02-21,16.95
2013-02-22,17.4
2013-02-25,17.25
2013-02-26,17.4
2013-02-27,16.9
2013-02-28,16.25
2013-03-01,16.05
2013-03-04,15.55
2013-03-05,16.05
2013-03-06,16.25
2013-03-07,16.4
2013-03-08,16.3
2013-03-11,16.0
2013-03-12,16.1
2013-03-13,15.75
2013-03-14,15.75
2013-03-15,15.5
2013-03-18,16.25
2013-03-19,15.55
2013-03-20,15.45
2013-03-21,15.3
2013-03-22,14.8
2013-03-25,14.95
2013-03-26,15.4
2013-03-28,15.0
2013-04-01,15.45
2013-04-02,17.95
2013-04-03,18.45
2013-04-04,18.0
2013-04-05,17.9
2013-04-08,17.8
2013-04-09,18.0
2013-04-10,18.6
2013-04-11,18.5
2013-06-14,21.0
2013-06-17,21.0
2013-06-18,21.0
2013-06-19,21.45
2013-06-20,21.55
2013-06-21,21.55
2013-06-24,21.0
2013-06-25,21.0
2013-06-26,21.55
2013-06-27,22.05
2013-06-28,22.8
2013-07-01,22.1
2013-07-02,22.1
2013-07-03,22.0
2013-07-04,22.4
2013-07-05,21.5
2013-07-08,21.9
2013-07-09,22.0
2013-07-10,24.2
2013-07-11,23.55
2013-07-12,22.3
2013-07-15,24.5
2013-07-16,26.85
2013-07-17,27.75
2013-07-18,28.05
2013-07-19,27.4
2013-07-22,25.05
2013-07-23,25.35
2013-07-24,25.05
2013-07-25,25.0
2013-07-26,23.55
2013-07-29,24.9
2013-07-30,23.65
2013-07-31,23.5
2013-08-01,23.6
2013-08-02,23.2
2013-08-05,23.7
2013-08-06,24.0
2013-08-07,23.5
2013-08-08,23.9
2013-08-12,24.0
2013-08-13,24.45
2013-08-14,24.4
2013-08-16,24.35
2013-08-19,23.5
2013-08-20,23.9
2013-08-21,24.0
2013-08-22,24.0
2013-08-23,24.0
2013-08-26,24.0
2013-08-27,24.1
2013-08-28,23.7
2013-08-29,24.3
2013-08-30,24.5
2013-09-02,24.25
2013-09-03,23.95
2013-09-04,26.25
2013-09-05,28.8
2013-09-06,29.55
2013-09-10,29.35
2013-09-11,28.5
2013-09-12,29.7
2013-09-13,30.0
2013-09-16,29.2
2013-09-17,29.0
2013-09-18,29.35
2013-09-19,29.7
2013-09-20,30.1
