Date,PRAENG
2013-03-01,7.95
2013-03-04,7.65
2013-03-05,7.95
2013-03-06,7.85
2013-03-07,7.55
2013-03-08,8.1
2013-03-11,8.65
2013-03-12,8.55
2013-03-13,8.25
2013-03-14,8.2
2013-03-15,8.1
2013-03-18,8.1
2013-03-19,8.15
2013-03-20,8.0
2013-03-21,7.55
2013-03-22,7.25
2013-03-25,7.0
2013-03-26,7.25
2013-03-28,7.35
2013-04-01,7.7
2013-04-02,8.2
2013-04-03,8.05
2013-04-04,8.0
2013-04-05,8.2
2013-04-08,8.0
2013-04-09,8.0
2013-04-10,8.05
2013-04-11,8.05
2013-04-12,8.05
2013-04-15,8.1
2013-04-16,8.05
2013-04-17,8.05
2013-04-18,8.25
2013-04-22,8.5
2013-04-23,8.8
2013-04-25,9.0
2013-04-26,9.1
2013-04-29,8.25
2013-04-30,8.1
2013-05-02,7.95
2013-05-03,8.2
2013-05-06,8.5
2013-05-07,8.15
2013-05-08,8.15
2013-05-09,8.15
2013-05-10,7.95
2013-05-11,7.95
2013-05-13,7.8
2013-05-14,8.0
2013-05-15,8.05
2013-05-16,7.95
2013-05-17,7.85
2013-05-20,7.8
2013-05-21,7.85
2013-05-22,7.9
2013-05-23,7.55
2013-05-24,7.8
2013-05-27,7.65
2013-05-28,7.75
2013-05-29,7.6
2013-05-30,7.5
2013-05-31,6.95
2013-06-03,7.0
2013-06-04,7.05
2013-06-05,6.95
2013-06-06,6.5
2013-06-07,6.5
2013-06-10,6.65
2013-06-11,6.45
2013-06-12,6.15
2013-06-13,6.0
2013-06-14,6.5
2013-06-17,6.2
2013-06-18,6.5
2013-06-19,6.5
2013-06-20,6.45
2013-06-21,6.4
2013-06-24,6.1
2013-06-25,6.0
2013-06-26,6.3
2013-06-27,6.05
2013-06-28,6.85
2013-07-01,7.35
2013-07-02,7.05
2013-07-03,6.85
2013-07-04,6.8
2013-07-05,6.85
2013-07-08,7.25
2013-07-09,7.05
2013-07-10,7.25
2013-07-11,7.1
2013-07-12,7.1
2013-07-15,7.1
2013-07-16,7.0
2013-07-17,7.0
2013-07-18,7.0
2013-07-19,7.05
2013-07-22,7.05
2013-07-23,7.05
2013-07-24,7.0
2013-07-25,6.8
2013-07-26,7.15
2013-07-29,7.05
2013-07-30,7.0
2013-07-31,6.55
2013-08-01,6.25
2013-08-02,6.75
2013-08-05,6.25
2013-08-06,6.5
2013-08-07,6.7
2013-08-08,6.95
2013-08-12,8.3
2013-08-13,8.15
2013-08-14,7.9
2013-08-16,7.3
2013-08-19,7.0
2013-08-20,8.1
2013-08-21,7.95
2013-08-22,8.0
2013-08-23,8.0
2013-08-26,7.9
2013-08-27,8.0
2013-08-28,8.0
2013-08-29,8.35
2013-08-30,8.0
2013-09-02,8.2
2013-09-03,8.0
2013-09-04,8.05
2013-09-05,8.95
2013-09-06,9.4
2013-09-10,9.15
2013-09-11,9.0
2013-09-12,8.7
