Date,BHEL
2013-01-01,232.6
2013-01-02,238.05
2013-01-03,238.8
2013-01-04,242.8
2013-01-07,239.8
2013-01-08,243.9
2013-01-09,236.9
2013-01-10,231.9
2013-01-11,226.85
2013-01-14,229.25
2013-01-15,228.95
2013-01-16,225.4
2013-01-17,225.05
2013-01-18,226.45
2013-01-21,232.05
2013-01-22,230.5
2013-01-23,231.0
2013-01-24,228.2
2013-01-25,229.4
2013-01-28,228.05
2013-01-29,223.3
2013-01-30,221.75
2013-01-31,227.8
2013-02-01,225.0
2013-02-04,219.05
2013-02-05,211.4
2013-02-06,208.5
2013-02-07,206.0
2013-02-08,208.75
2013-02-11,207.55
2013-02-12,208.95
2013-02-13,205.8
2013-02-14,203.8
2013-02-15,204.55
2013-02-18,207.45
2013-02-19,212.15
2013-02-20,210.6
2013-02-21,206.85
2013-02-22,204.35
2013-02-25,207.65
2013-02-26,202.0
2013-02-27,206.55
2013-02-28,201.15
2013-03-01,200.95
2013-03-04,200.2
2013-03-05,198.8
2013-03-06,202.95
2013-03-07,205.8
2013-03-08,207.55
2013-03-11,205.5
2013-03-12,200.75
2013-03-13,197.0
2013-03-14,198.85
2013-03-15,198.05
2013-03-18,195.75
2013-03-19,185.8
2013-03-20,182.15
2013-03-21,179.7
2013-03-22,179.85
2013-03-25,179.45
2013-03-26,176.5
2013-03-28,177.0
2013-04-01,182.5
2013-04-02,185.1
2013-04-03,182.8
2013-04-04,178.15
2013-04-05,177.8
2013-04-08,182.5
2013-04-09,178.75
2013-04-10,177.9
2013-04-11,178.25
2013-04-12,179.6
2013-04-15,178.35
2013-04-16,182.3
2013-04-17,183.35
2013-04-18,185.85
2013-04-22,191.35
2013-04-23,188.7
2013-04-25,192.55
2013-04-26,188.8
2013-04-29,191.6
2013-04-30,192.75
2013-05-02,191.3
2013-05-03,191.65
2013-05-06,193.35
2013-05-07,196.6
2013-05-08,195.35
2013-05-09,195.95
2013-05-10,197.0
2013-05-11,196.15
2013-05-13,190.4
2013-05-14,188.7
2013-05-15,191.35
2013-05-16,193.7
2013-05-17,201.9
2013-05-20,202.25
2013-05-21,206.0
2013-05-22,203.75
2013-05-23,195.7
2013-05-24,192.55
2013-05-27,196.95
2013-05-28,203.85
2013-05-29,203.9
2013-05-30,205.55
2013-05-31,200.55
2013-06-03,197.0
2013-06-04,195.35
2013-06-05,194.45
2013-06-06,192.25
2013-06-07,189.4
2013-06-10,184.2
2013-06-11,181.2
2013-06-12,179.35
2013-06-13,175.1
2013-06-14,176.15
2013-06-17,182.45
2013-06-18,180.7
2013-06-19,180.25
2013-06-20,171.35
2013-06-21,170.3
2013-06-24,165.45
2013-06-25,163.2
2013-06-26,163.2
2013-06-27,162.95
2013-06-28,174.25
2013-07-01,179.25
2013-07-02,183.6
2013-07-03,178.8
2013-07-04,174.8
2013-07-05,178.7
2013-07-08,182.75
2013-07-09,186.75
2013-07-10,184.2
2013-07-11,186.5
2013-07-12,188.25
2013-07-15,186.15
2013-07-16,182.9
2013-07-17,182.8
2013-07-18,189.5
2013-07-19,173.7
2013-07-22,161.4
2013-07-23,164.95
2013-07-24,163.1
2013-07-25,158.55
2013-07-26,158.85
2013-07-29,157.0
2013-07-30,152.55
2013-07-31,158.3
2013-08-01,150.6
2013-08-02,149.6
2013-08-05,120.8
2013-08-06,112.6
2013-08-07,115.65
2013-08-08,117.4
2013-08-12,119.9
2013-08-13,120.9
2013-08-14,118.55
2013-08-16,105.55
2013-08-19,103.1
2013-08-20,101.35
2013-08-21,104.9
2013-08-22,107.45
2013-08-23,116.1
2013-08-26,123.9
2013-08-27,111.25
2013-08-28,113.85
2013-08-29,117.7
2013-08-30,119.0
2013-09-02,120.85
2013-09-03,119.2
2013-09-04,127.25
2013-09-05,138.05
2013-09-06,142.25
2013-09-10,142.95
2013-09-11,140.7
2013-09-12,134.9
2013-09-13,142.85
2013-09-16,135.65
2013-09-17,136.55
2013-09-18,129.75
2013-09-19,133.85
2013-09-20,135.5
2013-09-23,129.45
2013-09-24,131.3
2013-09-25,143.15
2013-09-26,150.75
2013-09-27,143.75
2013-09-30,137.4
2013-10-01,141.15
2013-10-03,143.95
2013-10-04,143.95
2013-10-07,146.05
2013-10-08,144.3
2013-10-09,147.95
2013-10-10,147.65
2013-10-11,146.95
2013-10-14,144.75
2013-10-15,145.5
2013-10-17,146.75
2013-10-18,147.8
2013-10-21,145.5
2013-10-22,145.6
2013-10-23,142.7
2013-10-24,140.2
2013-10-25,137.35
2013-10-28,136.2
2013-10-29,136.35
2013-10-30,139.35
2013-10-31,141.1
2013-11-01,143.55
2013-11-03,144.55
2013-11-05,142.25
2013-11-06,140.35
2013-11-07,134.55
2013-11-08,135.7
2013-11-11,134.2
2013-11-12,132.05
2013-11-13,133.65
2013-11-14,135.8
2013-11-18,139.95
2013-11-19,141.8
2013-11-20,141.0
2013-11-21,136.9
2013-11-22,137.15
2013-11-25,144.3
2013-11-26,147.75
2013-11-27,146.15
2013-11-28,150.95
2013-11-29,156.35
2013-12-02,159.65
2013-12-03,164.0
2013-12-04,164.6
2013-12-05,171.35
2013-12-06,171.4
2013-12-09,171.6
2013-12-10,165.55
2013-12-11,162.05
2013-12-12,161.25
2013-12-13,154.6
2013-12-16,154.9
2013-12-17,154.35
2013-12-18,163.6
2013-12-19,162.6
2013-12-20,166.15
2013-12-23,169.2
2013-12-24,172.9
2013-12-26,174.8
2013-12-27,173.25
2013-12-30,179.4
2013-12-31,176.9
2014-01-01,175.4
2014-01-02,169.7
2014-01-03,165.45
2014-01-06,164.3
2014-01-07,165.0
2014-01-08,162.9
2014-01-09,162.9
2014-01-10,163.0
2014-01-13,163.85
2014-01-14,162.2
2014-01-15,166.55
2014-01-16,169.85
2014-01-17,171.85
2014-01-20,173.9
2014-01-21,169.75
2014-01-22,170.0
2014-01-23,171.25
2014-01-24,165.0
2014-01-27,162.25
2014-01-28,164.35
2014-01-29,170.75
2014-01-30,173.2
2014-01-31,172.75
2014-02-03,167.15
2014-02-04,162.85
2014-02-05,160.85
2014-02-06,157.1
2014-02-07,155.75
2014-02-10,155.9
2014-02-11,155.1
2014-02-12,157.35
2014-02-13,151.95
2014-02-14,148.5
2014-02-17,147.55
2014-02-18,149.65
2014-02-19,150.65
2014-02-20,150.95
2014-02-21,150.6
2014-02-24,156.55
2014-02-25,159.7
2014-02-26,162.4
2014-02-28,167.75
2014-03-03,162.7
2014-03-04,166.95
2014-03-05,167.0
2014-03-06,173.35
2014-03-07,184.85
2014-03-10,189.45
2014-03-11,189.35
2014-03-12,183.95
2014-03-13,183.1
2014-03-14,187.95
2014-03-18,189.0
2014-03-19,190.15
2014-03-20,184.85
2014-03-21,187.75
2014-03-22,187.4
2014-03-24,188.05
2014-03-25,196.55
2014-03-26,195.55
2014-03-27,197.85
2014-03-28,200.1
2014-03-31,196.05
2014-04-01,194.5
2014-04-02,193.35
2014-04-03,187.35
2014-04-04,183.5
2014-04-07,177.65
2014-04-09,181.6
2014-04-10,186.55
2014-04-11,185.45
2014-04-15,182.0
2014-04-16,175.55
2014-04-17,181.25
2014-04-21,186.35
2014-04-22,186.8
2014-04-23,189.6
2014-04-25,191.2
2014-04-28,186.2
2014-04-29,186.55
2014-04-30,180.45
2014-05-02,180.35
2014-05-05,177.95
2014-05-06,178.95
2014-05-07,178.4
2014-05-08,184.25
2014-05-09,194.05
2014-05-12,198.65
2014-05-13,218.95
2014-05-14,216.4
2014-05-15,218.1
2014-05-16,231.6
2014-05-19,266.55
2014-05-20,277.8
2014-05-21,271.05
2014-05-22,263.4
2014-05-23,272.15
2014-05-26,259.15
2014-05-27,245.65
2014-05-28,248.85
2014-05-29,243.3
2014-05-30,242.2
2014-06-02,248.6
2014-06-03,257.35
2014-06-04,257.6
2014-06-05,260.45
2014-06-06,262.75
2014-06-09,262.95
2014-06-10,255.8
2014-06-11,247.2
2014-06-12,243.65
2014-06-13,237.75
2014-06-16,241.05
2014-06-17,247.8
2014-06-18,241.35
2014-06-19,240.9
2014-06-20,238.8
2014-06-23,244.35
2014-06-24,250.3
2014-06-25,249.85
2014-06-26,251.2
2014-06-27,244.45
2014-06-30,250.3
2014-07-01,252.45
2014-07-02,259.4
2014-07-03,261.1
2014-07-04,262.9
2014-07-07,264.85
2014-07-08,242.9
2014-07-09,243.45
2014-07-10,243.75
2014-07-11,223.25
2014-07-14,226.7
2014-07-15,234.65
2014-07-16,241.2
2014-07-17,243.15
2014-07-18,238.65
2014-07-21,235.2
2014-07-22,234.05
2014-07-23,234.5
2014-07-24,236.3
2014-07-25,227.05
2014-07-28,229.85
2014-07-30,230.95
2014-07-31,228.35
2014-08-01,224.1
2014-08-04,228.95
2014-08-05,228.15
2014-08-06,229.45
2014-08-07,230.85
2014-08-08,220.9
2014-08-11,221.55
2014-08-12,224.2
2014-08-13,209.7
2014-08-14,212.95
2014-08-18,222.1
2014-08-19,227.55
2014-08-20,231.45
2014-08-21,229.7
2014-08-22,227.5
2014-08-25,232.25
2014-08-26,233.0
2014-08-27,229.15
2014-08-28,240.9
2014-09-01,238.5
2014-09-02,240.3
2014-09-03,236.85
2014-09-04,227.05
2014-09-05,222.8
2014-09-08,223.85
2014-09-09,221.2
2014-09-10,219.1
2014-09-11,222.7
2014-09-12,220.7
2014-09-15,220.45
2014-09-16,215.9
2014-09-17,220.65
2014-09-18,228.6
2014-09-19,226.5
2014-09-22,221.65
2014-09-23,216.45
2014-09-24,211.65
2014-09-25,203.05
2014-09-26,205.35
2014-09-29,207.75
2014-09-30,200.45
2014-10-01,199.45
2014-10-07,197.45
2014-10-08,202.1
2014-10-09,219.05
2014-10-10,221.6
2014-10-13,218.2
2014-10-14,226.0
2014-10-16,219.6
2014-10-17,226.75
2014-10-20,228.05
2014-10-21,238.45
2014-10-22,241.7
2014-10-23,240.4
2014-10-27,252.65
2014-10-28,255.3
2014-10-29,254.65
2014-10-30,255.1
2014-10-31,256.7
2014-11-03,253.35
2014-11-05,257.95
2014-11-07,249.0
2014-11-10,250.9
2014-11-11,245.3
2014-11-12,247.45
2014-11-13,247.8
2014-11-14,245.85
2014-11-17,249.15
2014-11-18,254.2
2014-11-19,249.1
2014-11-20,245.8
2014-11-21,252.25
2014-11-24,257.65
2014-11-25,265.5
2014-11-26,271.1
2014-11-27,284.2
2014-11-28,283.8
2014-12-01,274.2
2014-12-02,271.45
2014-12-03,278.3
2014-12-04,273.9
2014-12-05,272.2
2014-12-08,266.95
2014-12-09,259.3
2014-12-10,253.1
2014-12-11,253.95
2014-12-12,247.35
2014-12-15,248.8
2014-12-16,247.8
2014-12-17,245.05
2014-12-18,257.35
2014-12-19,259.05
2014-12-22,265.95
2014-12-23,261.6
2014-12-24,254.55
2014-12-26,251.55
