Date,TRIGYN
2013-01-01,11.1
2013-01-02,11.55
2013-01-03,11.3
2013-01-04,11.1
2013-01-07,11.85
2013-01-08,11.7
2013-01-09,10.95
2013-01-10,11.0
2013-01-11,11.0
2013-01-14,10.95
2013-01-15,10.75
2013-01-16,10.7
2013-01-17,10.9
2013-01-18,10.4
2013-01-21,10.85
2013-01-22,10.55
2013-01-23,10.55
2013-01-24,10.65
2013-01-25,10.4
2013-01-28,10.1
2013-01-29,9.85
2013-01-30,9.85
2013-01-31,9.9
2013-02-01,9.85
2013-02-04,9.55
2013-02-05,9.65
2013-02-06,9.5
2013-02-07,9.35
2013-02-08,9.5
2013-02-11,9.1
2013-02-12,9.3
2013-02-13,8.9
2013-02-14,9.5
2013-02-15,9.65
2013-02-18,9.1
2013-02-19,9.3
2013-02-20,9.4
2013-02-21,9.15
2013-02-22,9.45
2013-02-25,9.5
2013-02-26,8.9
2013-02-27,9.0
2013-02-28,9.25
2013-03-01,8.85
2013-03-04,8.65
2013-03-05,8.95
2013-03-06,9.15
2013-03-07,9.0
2013-03-08,9.25
2013-03-11,8.95
2013-03-12,8.8
2013-03-13,8.5
2013-03-14,8.2
2013-03-15,8.15
2013-03-19,7.85
2013-03-20,7.95
2013-03-21,7.25
2013-03-22,6.9
2013-03-25,7.3
2013-03-26,7.0
2013-03-28,6.95
2013-04-01,7.25
2013-04-02,7.95
2013-04-03,7.4
2013-04-04,7.25
2013-04-05,6.8
2013-04-08,6.3
2013-04-09,6.85
2013-04-10,6.65
2013-04-11,7.5
2013-04-15,6.85
2013-04-16,6.5
2013-04-17,6.65
2013-04-18,6.7
2013-04-22,6.55
2013-04-23,6.9
2013-04-25,6.4
2013-04-26,6.75
2013-04-29,7.05
2013-04-30,7.05
2013-05-03,7.0
2013-05-06,7.5
2013-05-07,7.7
2013-05-08,7.95
2013-05-09,7.85
2013-05-10,7.65
2013-05-13,7.75
2013-05-14,7.75
2013-05-16,8.35
2013-05-17,8.0
2013-05-20,8.5
2013-05-21,8.0
2013-05-22,7.9
2013-05-23,8.5
2013-05-28,8.4
2013-05-29,7.95
2013-05-30,8.6
2013-05-31,7.9
2013-06-03,8.0
2013-06-05,9.3
2013-06-07,11.05
2013-06-10,9.1
2013-06-11,7.8
2013-06-20,7.2
2013-06-24,7.2
2013-06-27,7.0
2013-06-28,7.0
2013-07-01,6.85
2013-07-02,6.4
2013-07-08,6.5
2013-07-12,6.4
2013-07-15,6.7
2013-07-16,7.0
2013-07-17,7.0
2013-07-18,7.35
2013-07-19,7.15
2013-07-23,7.5
2013-07-24,7.8
2013-07-25,7.75
2013-07-29,7.85
2013-07-30,7.85
2013-08-01,7.85
2013-08-02,7.85
2013-08-05,7.85
2013-08-06,7.85
2013-08-12,7.75
2013-08-16,7.55
2013-08-19,7.5
2013-08-20,7.8
2013-08-22,7.8
2013-08-23,8.05
2013-08-26,8.45
2013-08-27,8.4
2013-08-28,8.55
2013-08-30,8.95
2013-09-02,9.35
2013-09-03,9.75
2013-09-04,10.2
2013-09-05,10.7
2013-09-06,11.2
