Date,ALKALI
2013-01-01,25.2
2013-01-02,26.15
2013-01-03,26.15
2013-01-04,25.95
2013-01-07,26.1
2013-01-08,25.95
2013-01-09,27.35
2013-01-10,26.55
2013-01-11,26.3
2013-01-14,25.7
2013-01-15,25.85
2013-01-16,26.0
2013-01-17,25.15
2013-01-18,25.45
2013-01-21,25.55
2013-01-22,24.8
2013-01-23,25.55
2013-01-24,24.75
2013-01-25,25.2
2013-01-28,25.0
2013-01-29,24.3
2013-01-30,24.35
2013-01-31,24.25
2013-02-01,24.35
2013-02-04,24.35
2013-02-05,24.1
2013-02-06,24.3
2013-02-07,24.45
2013-02-08,24.25
2013-02-11,24.4
2013-02-12,23.8
2013-02-13,23.25
2013-02-14,24.15
2013-02-15,23.3
2013-02-18,23.65
2013-02-19,23.8
2013-02-20,22.95
2013-02-21,22.35
2013-02-22,22.0
2013-02-25,22.35
2013-02-26,21.0
2013-02-27,20.7
2013-02-28,21.55
2013-03-01,21.75
2013-03-04,20.6
2013-03-05,20.45
2013-03-06,20.95
2013-03-07,20.7
2013-03-08,21.05
2013-03-11,21.0
2013-03-12,20.7
2013-03-13,20.15
2013-03-14,20.35
2013-03-15,19.8
2013-03-18,19.25
2013-03-19,18.95
2013-03-20,18.3
2013-03-21,18.65
2013-03-22,17.6
2013-03-25,17.3
2013-03-26,18.0
2013-03-28,17.35
2013-04-01,18.85
2013-04-02,18.95
2013-04-03,19.8
2013-04-04,18.65
2013-04-05,18.75
2013-04-08,19.05
2013-04-09,20.35
2013-04-10,20.6
2013-04-11,21.3
2013-04-12,21.45
2013-04-15,22.05
2013-04-16,21.9
2013-04-17,21.2
2013-04-18,21.85
2013-04-22,22.15
2013-04-23,21.95
2013-04-25,20.8
2013-04-26,20.4
2013-04-29,20.1
2013-04-30,20.2
2013-05-02,20.2
2013-05-03,19.75
2013-05-06,19.6
2013-05-07,20.95
2013-05-08,20.85
2013-05-09,21.05
2013-05-10,20.35
2013-05-11,20.75
2013-05-13,20.5
2013-05-14,20.1
2013-05-15,19.8
2013-05-16,20.15
2013-05-17,20.3
2013-05-20,20.35
2013-05-21,20.65
2013-05-22,20.15
2013-05-23,19.55
2013-05-24,19.25
2013-05-27,19.6
2013-05-28,19.6
2013-05-29,19.8
2013-05-30,19.7
2013-05-31,19.0
2013-06-03,18.6
2013-06-04,21.05
2013-06-05,24.25
2013-06-06,23.6
2013-06-07,22.2
2013-06-10,21.65
2013-06-11,20.8
2013-06-12,20.1
2013-06-13,19.25
2013-06-14,20.1
2013-06-17,20.15
2013-06-18,19.5
2013-06-19,19.25
2013-06-20,19.0
2013-06-21,18.95
2013-06-24,18.3
2013-06-25,18.4
2013-06-26,18.0
2013-06-27,17.6
2013-06-28,18.2
2013-07-01,18.55
2013-07-02,18.85
2013-07-03,18.35
2013-07-04,18.4
2013-07-05,18.35
2013-07-08,18.25
2013-07-09,18.65
2013-07-10,18.5
2013-07-11,18.8
2013-07-12,18.65
2013-07-15,19.0
2013-07-16,19.0
2013-07-17,19.0
2013-07-18,19.1
2013-07-19,19.4
2013-07-22,19.35
2013-07-23,18.35
2013-07-24,18.0
2013-07-25,17.95
2013-07-26,17.9
2013-07-29,17.5
2013-07-30,16.6
2013-07-31,16.65
2013-08-01,15.65
2013-08-02,15.35
2013-08-05,15.2
2013-08-06,14.55
2013-08-07,15.05
2013-08-08,14.95
2013-08-12,15.35
2013-08-13,15.6
2013-08-14,15.6
2013-08-16,15.15
2013-08-19,15.25
2013-08-20,15.0
2013-08-21,15.2
2013-08-22,14.6
2013-08-23,15.6
2013-08-26,15.55
2013-08-27,15.45
2013-08-28,14.8
2013-08-29,14.8
2013-08-30,15.05
2013-09-02,15.4
2013-09-03,15.65
2013-09-04,15.25
2013-09-05,15.6
2013-09-06,15.65
2013-09-10,15.5
2013-09-11,15.75
2013-09-12,16.05
2013-09-13,16.0
2013-09-16,15.7
2013-09-17,15.6
2013-09-18,15.5
2013-09-19,15.6
2013-09-20,15.5
2013-09-23,15.25
2013-09-24,15.4
2013-09-25,15.4
2013-09-26,15.8
2013-09-27,15.75
2013-09-30,15.55
2013-10-01,16.2
2013-10-03,15.85
2013-10-04,16.0
2013-10-07,15.7
2013-10-08,15.85
2013-10-09,15.95
2013-10-10,15.75
2013-10-11,15.8
2013-10-14,15.95
2013-10-15,16.05
2013-10-17,15.9
2013-10-18,16.2
2013-10-21,16.3
2013-10-22,16.95
2013-10-23,17.05
2013-10-24,16.9
2013-10-25,16.85
2013-10-28,16.25
2013-10-29,16.6
2013-10-30,16.85
2013-10-31,16.25
2013-11-01,17.85
2013-11-03,17.8
