Date,SURYAROSNI
2014-02-25,66.7
2014-02-26,67.0
2014-02-28,67.5
2014-03-03,67.1
2014-03-04,67.15
2014-03-05,68.4
2014-03-06,69.6
2014-03-07,71.55
2014-03-10,70.5
2014-03-11,71.3
2014-03-12,70.0
2014-03-13,68.85
2014-03-14,67.95
2014-03-18,67.95
2014-03-19,69.45
2014-03-20,69.25
2014-03-21,69.9
2014-03-22,69.65
2014-03-24,70.45
2014-03-25,69.9
2014-03-26,69.4
2014-03-27,70.6
2014-03-28,72.65
2014-03-31,74.9
2014-04-01,73.85
2014-04-02,75.15
2014-04-03,74.2
2014-04-04,77.05
2014-04-07,78.35
2014-04-09,78.6
2014-04-10,78.55
2014-04-11,78.5
2014-04-15,77.5
2014-04-16,75.6
2014-04-17,78.65
2014-04-21,89.8
2014-04-22,89.15
2014-04-23,86.8
2014-04-25,88.95
2014-04-28,86.5
2014-04-29,87.0
2014-04-30,85.45
2014-05-02,87.15
2014-05-05,87.25
2014-05-06,84.65
2014-05-07,82.55
2014-05-08,81.8
2014-05-09,82.7
2014-05-12,85.95
2014-05-13,86.05
2014-05-14,84.55
2014-05-15,90.4
2014-05-16,92.2
2014-05-19,94.95
2014-05-20,99.15
2014-05-21,100.0
2014-05-22,102.25
2014-05-23,100.8
2014-05-26,97.9
2014-05-27,96.05
2014-05-28,102.55
2014-05-29,100.45
2014-05-30,100.85
2014-06-02,96.5
2014-06-03,97.2
2014-06-04,98.65
2014-06-05,98.05
2014-06-06,100.0
2014-06-09,103.05
2014-06-10,101.45
2014-06-11,100.8
2014-06-12,101.4
2014-06-13,96.25
2014-06-16,95.25
2014-06-17,97.3
2014-06-18,97.45
2014-06-19,97.8
2014-06-20,97.0
2014-06-23,95.7
2014-06-24,98.35
2014-06-25,96.2
2014-06-26,99.55
2014-06-27,100.95
2014-06-30,116.6
2014-07-01,114.7
2014-07-02,111.35
2014-07-03,110.2
2014-07-04,109.75
2014-07-07,112.5
2014-07-08,104.0
2014-07-09,100.9
2014-07-10,103.9
2014-07-11,100.95
2014-07-14,99.85
2014-07-15,100.8
2014-07-16,102.2
2014-07-17,100.6
2014-07-18,101.25
2014-07-21,105.7
2014-07-22,103.15
2014-07-23,101.65
2014-07-24,101.4
2014-07-25,96.25
2014-07-28,96.15
2014-07-30,93.9
2014-07-31,95.05
2014-08-01,95.45
2014-08-04,93.85
2014-08-05,94.2
2014-08-06,94.8
2014-08-07,93.8
2014-08-08,90.1
2014-08-11,91.7
2014-08-12,90.05
2014-08-13,86.95
2014-08-14,87.1
2014-08-18,89.45
2014-08-19,91.45
2014-08-20,90.3
2014-08-21,89.25
2014-08-22,90.35
2014-08-25,95.6
2014-08-26,94.15
2014-08-27,93.3
2014-08-28,94.65
2014-09-01,97.0
2014-09-02,95.95
2014-09-03,96.75
2014-09-04,95.25
2014-09-05,95.6
2014-09-08,99.7
2014-09-09,98.05
2014-09-10,97.75
2014-09-11,99.1
2014-09-12,97.2
2014-09-15,96.15
2014-09-16,94.7
2014-09-17,95.9
2014-09-18,97.35
2014-09-19,95.75
2014-09-22,101.75
2014-09-23,97.35
2014-09-24,96.05
2014-09-25,92.5
2014-09-26,91.85
2014-09-29,92.9
2014-09-30,93.9
2014-10-01,92.3
2014-10-07,90.9
2014-10-08,91.75
2014-10-09,93.2
2014-10-10,92.2
2014-10-13,92.55
2014-10-14,91.3
2014-10-16,88.55
2014-10-17,88.75
2014-10-20,88.85
2014-10-21,90.3
2014-10-22,90.05
2014-10-23,90.9
2014-10-27,91.7
2014-10-28,94.75
2014-10-29,94.45
2014-10-30,93.55
2014-10-31,94.25
2014-11-03,99.05
2014-11-05,97.2
2014-11-07,96.4
2014-11-10,95.1
2014-11-11,95.85
2014-11-12,96.45
2014-11-13,94.4
2014-11-14,94.1
2014-11-17,91.45
2014-11-18,93.8
2014-11-19,91.6
2014-11-20,92.2
2014-11-21,92.8
2014-11-24,93.65
2014-11-25,91.4
2014-11-26,90.25
2014-11-27,93.3
2014-11-28,93.3
2014-12-01,91.2
2014-12-02,100.1
2014-12-03,116.0
2014-12-04,110.75
2014-12-05,112.5
