Date,JMFINANCIL
2013-01-01,22.5
2013-01-02,24.9
2013-01-03,24.3
2013-01-04,24.4
2013-01-07,24.6
2013-01-08,24.6
2013-01-09,23.95
2013-01-10,23.5
2013-01-11,22.0
2013-01-14,23.0
2013-01-15,22.55
2013-01-16,22.05
2013-01-17,21.75
2013-01-18,22.05
2013-01-21,21.95
2013-01-22,21.2
2013-01-23,20.4
2013-01-24,19.75
2013-01-25,20.55
2013-01-28,20.95
2013-01-29,20.3
2013-01-30,20.3
2013-01-31,20.45
2013-02-01,20.75
2013-02-04,21.45
2013-02-05,20.8
2013-02-06,20.85
2013-02-07,19.95
2013-02-08,19.55
2013-02-11,18.85
2013-02-12,18.7
2013-02-13,19.1
2013-02-14,18.65
2013-02-15,18.15
2013-02-18,18.3
2013-02-19,18.45
2013-02-20,18.8
2013-02-21,17.85
2013-02-22,17.65
2013-02-25,17.4
2013-02-26,16.5
2013-02-27,17.0
2013-02-28,16.35
2013-03-01,17.4
2013-03-04,16.4
2013-03-05,16.8
2013-03-06,17.1
2013-03-07,17.1
2013-03-08,17.6
2013-03-11,17.7
2013-03-12,17.3
2013-03-13,17.2
2013-03-14,17.4
2013-03-15,18.6
2013-03-18,18.4
2013-03-19,17.3
2013-03-20,16.75
2013-03-21,16.65
2013-03-22,16.25
2013-03-25,15.85
2013-03-26,15.85
2013-03-28,16.15
2013-04-01,16.6
2013-04-02,17.85
2013-04-03,17.35
2013-04-04,16.7
2013-04-05,16.75
2013-04-08,16.45
2013-04-09,16.05
2013-04-10,16.3
2013-04-11,16.65
2013-04-12,16.65
2013-04-15,16.65
2013-04-16,17.6
2013-04-17,17.3
2013-04-18,17.5
2013-04-22,17.65
2013-04-23,17.8
2013-04-25,17.4
2013-04-26,17.35
2013-04-29,17.55
2013-04-30,17.6
2013-05-02,18.0
2013-05-03,17.6
2013-05-06,17.85
2013-05-07,17.7
2013-05-08,18.45
2013-05-09,18.1
2013-05-10,18.4
2013-05-11,18.75
2013-05-13,18.4
2013-05-14,18.5
2013-05-15,20.3
2013-05-16,23.55
2013-05-17,26.7
2013-05-20,26.15
2013-05-21,25.0
2013-05-22,24.25
2013-05-23,22.9
2013-05-24,25.15
2013-05-27,25.8
2013-05-28,25.9
2013-05-29,26.0
2013-05-30,25.65
2013-05-31,25.2
2013-06-03,25.65
2013-06-04,26.15
2013-06-05,26.4
2013-06-06,29.0
2013-06-07,29.8
2013-06-10,29.6
2013-06-11,29.25
2013-06-12,28.4
2013-06-13,27.65
2013-06-14,27.65
2013-06-17,27.05
2013-06-18,28.8
2013-06-19,29.25
2013-06-20,28.15
2013-06-21,28.1
2013-06-24,27.9
