Date,GANESHHOUC
2013-01-01,116.35
2013-01-02,119.0
2013-01-03,115.8
2013-01-04,115.9
2013-01-07,115.1
2013-01-08,114.5
2013-01-09,114.95
2013-01-10,112.55
2013-01-11,106.55
2013-01-14,111.5
2013-01-15,112.95
2013-01-16,110.15
2013-01-17,108.35
2013-01-18,107.65
2013-01-21,108.75
2013-01-22,107.2
2013-01-23,100.4
2013-01-24,94.15
2013-01-25,96.0
2013-01-28,98.45
2013-01-29,95.4
2013-01-30,94.1
2013-01-31,91.4
2013-02-01,91.0
2013-02-04,86.85
2013-02-05,87.35
2013-02-06,85.05
2013-02-07,85.3
2013-02-08,82.7
2013-02-11,82.4
2013-02-12,78.1
2013-02-13,76.0
2013-02-14,73.7
2013-02-15,76.95
2013-02-18,78.9
2013-02-19,82.45
2013-02-20,82.6
2013-02-21,80.25
2013-02-22,78.05
2013-02-25,77.0
2013-02-26,72.7
2013-02-27,73.15
2013-02-28,79.1
2013-03-01,80.6
2013-03-04,75.25
2013-03-05,74.8
2013-03-06,77.35
2013-03-07,77.2
2013-03-08,79.0
2013-03-11,82.35
2013-03-12,83.1
2013-03-13,77.45
2013-03-14,79.6
2013-03-15,79.45
2013-03-18,77.4
2013-03-19,75.45
2013-03-20,70.65
2013-03-21,68.95
2013-03-22,68.6
2013-03-25,68.45
2013-03-26,68.15
2013-03-28,70.15
2013-04-01,73.25
2013-04-02,74.55
2013-04-03,77.35
2013-04-04,77.5
2013-04-05,77.3
2013-04-08,78.55
2013-04-09,79.15
2013-04-10,78.5
2013-04-11,77.45
2013-04-12,79.0
2013-04-15,79.15
2013-04-16,77.0
2013-04-17,78.1
2013-04-18,78.05
2013-04-22,77.8
2013-04-23,80.6
2013-04-25,79.95
2013-04-26,78.65
2013-04-29,77.5
2013-04-30,79.05
2013-05-02,81.8
2013-05-03,78.3
2013-05-06,76.6
2013-05-07,74.65
2013-05-08,73.1
2013-05-09,73.6
2013-05-10,73.1
2013-05-11,74.1
2013-05-13,70.9
2013-05-14,69.95
2013-05-15,72.45
2013-05-16,72.65
2013-05-17,76.4
2013-05-20,77.25
2013-05-21,82.85
2013-05-22,80.85
2013-05-23,77.9
2013-05-24,78.05
2013-05-27,83.0
2013-05-28,81.75
2013-05-29,79.35
2013-05-30,80.3
2013-05-31,79.6
2013-06-03,77.45
2013-06-04,78.15
2013-06-05,76.55
2013-06-06,77.05
2013-06-07,75.1
2013-06-10,73.6
2013-06-11,70.95
2013-06-12,69.85
2013-06-13,71.9
2013-06-14,72.25
2013-06-17,71.55
2013-06-18,70.15
2013-06-19,70.4
2013-06-20,67.95
2013-06-21,66.55
2013-06-24,62.7
2013-06-25,61.05
2013-06-26,60.8
2013-06-27,57.6
2013-06-28,61.3
2013-07-01,63.25
2013-07-02,65.9
2013-07-03,61.7
2013-07-04,63.45
2013-07-05,64.9
2013-07-08,64.3
2013-07-09,63.4
2013-07-10,62.75
2013-07-11,62.95
2013-07-12,62.55
2013-07-15,64.9
2013-07-16,61.9
2013-07-17,62.0
2013-07-18,61.95
2013-07-19,61.2
2013-07-22,60.45
2013-07-23,61.55
2013-07-24,60.35
2013-07-25,58.6
2013-07-26,59.5
2013-07-29,58.25
2013-07-30,56.35
2013-07-31,54.35
2013-08-01,52.45
2013-08-02,51.45
2013-08-05,49.25
2013-08-06,49.1
2013-08-07,50.25
2013-08-08,50.9
2013-08-12,58.35
2013-08-13,61.1
2013-08-14,58.4
2013-08-16,55.85
2013-08-19,52.1
2013-08-20,52.75
2013-08-21,50.0
2013-08-22,53.85
2013-08-23,53.75
2013-08-26,52.4
2013-08-27,50.35
2013-08-28,51.55
2013-08-29,51.4
2013-08-30,51.95
2013-09-02,51.4
2013-09-03,48.7
2013-09-04,46.95
2013-09-05,49.5
2013-09-06,49.9
2013-09-10,51.25
2013-09-11,52.7
2013-09-12,55.15
2013-09-13,53.35
2013-09-16,51.6
2013-09-17,50.35
2013-09-18,50.25
2013-09-19,51.4
2013-09-20,49.95
2013-09-23,50.55
2013-09-24,51.4
2013-09-25,50.0
2013-09-26,49.9
2013-09-27,49.1
2013-09-30,47.8
2013-10-01,48.15
2013-10-03,48.45
2013-10-04,53.4
2013-10-07,51.3
2013-10-08,51.7
2013-10-09,53.7
2013-10-10,58.15
2013-10-11,58.9
2013-10-14,58.45
2013-10-15,56.1
2013-10-17,57.25
2013-10-18,57.2
2013-10-21,57.6
2013-10-22,59.0
2013-10-23,59.6
2013-10-24,60.15
2013-10-25,60.4
2013-10-28,58.95
2013-10-29,58.9
2013-10-30,61.65
2013-10-31,62.9
2013-11-01,64.4
2013-11-03,65.25
2013-11-05,62.95
2013-11-06,62.35
2013-11-07,60.75
2013-11-08,60.65
2013-11-11,60.0
2013-11-12,59.0
2013-11-13,59.5
2013-11-14,60.0
2013-11-18,58.95
2013-11-19,59.95
2013-11-20,59.2
2013-11-21,62.7
2013-11-22,62.15
2013-11-25,62.2
2013-11-26,59.85
2013-11-27,60.65
2013-11-28,63.65
2013-11-29,63.4
2013-12-02,68.25
2013-12-03,76.95
2013-12-04,76.05
2013-12-05,75.55
2013-12-06,76.0
2013-12-09,74.75
2013-12-10,73.25
2013-12-11,73.15
2013-12-12,76.25
2013-12-13,73.5
2013-12-16,71.2
2013-12-17,69.2
2013-12-18,80.55
2013-12-19,76.65
2013-12-20,77.35
2013-12-23,81.7
2013-12-24,80.45
2013-12-26,81.45
2013-12-27,83.4
2013-12-30,85.1
2013-12-31,82.3
2014-01-01,83.15
2014-01-02,80.15
2014-01-03,78.05
2014-01-06,79.25
2014-01-07,80.55
2014-01-08,79.0
2014-01-09,77.6
2014-01-10,76.55
2014-01-13,76.75
2014-01-14,74.0
2014-01-15,73.75
2014-01-16,72.95
2014-01-17,71.55
2014-01-20,71.95
2014-01-21,70.2
2014-01-22,68.2
2014-01-23,69.8
2014-01-24,67.45
2014-01-27,61.05
2014-01-28,60.65
2014-01-29,61.05
2014-01-30,59.5
2014-01-31,60.85
2014-02-03,59.3
2014-02-04,58.35
2014-02-05,58.3
2014-02-06,60.0
2014-02-07,63.2
2014-02-10,63.95
2014-02-11,64.1
2014-02-12,66.65
2014-02-13,64.15
2014-02-14,61.85
2014-02-17,61.2
2014-02-18,61.45
2014-02-19,62.95
2014-02-20,65.15
2014-02-21,64.4
2014-02-24,64.85
2014-02-25,62.75
2014-02-26,62.15
2014-02-28,60.95
2014-03-03,61.65
2014-03-04,63.55
2014-03-05,64.25
2014-03-06,65.65
2014-03-07,64.35
2014-03-10,67.3
2014-03-11,79.5
2014-03-12,74.9
2014-03-13,77.25
2014-03-14,74.0
2014-03-18,76.3
2014-03-19,80.1
2014-03-20,79.45
2014-03-21,80.65
2014-03-22,80.45
2014-03-24,80.0
2014-03-25,79.15
2014-03-26,78.45
2014-03-27,79.0
2014-03-28,80.15
2014-03-31,80.8
2014-04-01,93.2
2014-04-02,90.05
2014-04-03,85.85
2014-04-04,89.5
2014-04-07,100.45
2014-04-09,102.6
2014-04-10,103.55
2014-04-11,109.7
2014-04-15,121.5
2014-04-16,123.3
2014-04-17,123.55
2014-04-21,122.45
2014-04-22,116.4
2014-04-23,107.45
2014-04-25,111.65
2014-04-28,110.3
2014-04-29,108.7
2014-04-30,106.05
2014-05-02,105.2
2014-05-05,100.35
2014-05-06,109.3
2014-05-07,108.35
2014-05-08,105.5
2014-05-09,112.15
2014-05-12,116.3
2014-05-13,122.4
2014-05-14,136.4
2014-05-15,135.85
2014-05-16,154.75
2014-05-19,176.9
2014-05-20,165.05
2014-05-21,170.6
2014-05-22,170.5
2014-05-23,175.0
2014-05-26,166.4
2014-05-27,161.05
2014-05-28,153.4
2014-05-29,159.15
2014-05-30,156.7
2014-06-02,165.35
2014-06-03,173.45
2014-06-04,181.15
2014-06-05,180.8
2014-06-06,189.7
2014-06-09,189.6
2014-06-10,181.7
2014-06-11,177.95
2014-06-12,181.6
2014-06-13,178.15
2014-06-16,174.7
2014-06-17,184.15
2014-06-18,185.25
2014-06-19,187.8
2014-06-20,187.95
2014-06-23,178.75
2014-06-24,181.4
2014-06-25,177.7
2014-06-26,181.75
2014-06-27,185.15
2014-06-30,189.65
2014-07-01,193.95
2014-07-02,195.05
2014-07-03,198.2
2014-07-04,197.0
2014-07-07,212.0
2014-07-08,195.4
2014-07-09,188.25
2014-07-10,194.15
2014-07-11,177.9
2014-07-14,178.4
2014-07-15,179.55
2014-07-16,186.5
2014-07-17,183.7
2014-07-18,181.25
2014-07-21,179.1
2014-07-22,182.25
2014-07-23,177.85
2014-07-24,176.7
2014-07-25,168.95
2014-07-28,165.3
2014-07-30,164.05
2014-07-31,163.8
2014-08-01,159.3
2014-08-04,157.35
2014-08-05,168.75
2014-08-06,162.9
2014-08-07,158.65
2014-08-08,153.2
2014-08-11,155.85
2014-08-12,160.85
2014-08-13,148.95
2014-08-14,153.3
2014-08-18,157.3
2014-08-19,155.9
2014-08-20,157.55
2014-08-21,180.55
2014-08-22,169.65
2014-08-25,159.95
2014-08-26,159.45
2014-08-27,162.6
2014-08-28,160.75
2014-09-01,168.2
2014-09-02,175.0
2014-09-03,170.9
2014-09-04,165.25
2014-09-05,165.65
2014-09-08,173.1
2014-09-09,168.4
2014-09-10,165.95
2014-09-11,171.6
2014-09-12,169.75
2014-09-15,166.45
2014-09-16,160.35
2014-09-17,170.9
2014-09-18,167.75
2014-09-19,164.5
2014-09-22,167.0
2014-09-23,168.4
2014-09-24,163.05
2014-09-25,155.8
2014-09-26,158.4
2014-09-29,158.85
2014-09-30,156.25
2014-10-01,155.2
2014-10-07,153.3
2014-10-08,152.15
2014-10-09,149.95
2014-10-10,148.15
2014-10-13,149.8
2014-10-14,147.3
2014-10-16,143.3
2014-10-17,138.35
2014-10-20,140.1
2014-10-21,142.1
2014-10-22,140.85
2014-10-23,147.15
2014-10-27,145.95
2014-10-28,139.65
2014-10-29,139.3
2014-10-30,142.3
2014-10-31,144.9
2014-11-03,143.6
2014-11-05,144.25
2014-11-07,141.75
2014-11-10,147.1
2014-11-11,139.6
2014-11-12,134.95
2014-11-13,133.55
2014-11-14,134.85
2014-11-17,138.1
2014-11-18,143.95
2014-11-19,139.65
2014-11-20,140.65
2014-11-21,140.2
2014-11-24,140.9
2014-11-25,137.5
2014-11-26,138.45
2014-11-27,140.6
2014-11-28,140.55
2014-12-01,137.0
2014-12-02,136.55
2014-12-03,138.2
2014-12-04,138.4
2014-12-05,136.6
2014-12-08,134.45
2014-12-09,130.5
2014-12-10,130.35
2014-12-11,129.5
2014-12-12,128.6
2014-12-15,131.55
2014-12-16,124.8
2014-12-17,118.15
2014-12-18,122.5
2014-12-19,120.5
2014-12-22,122.05
2014-12-23,119.05
2014-12-24,114.85
2014-12-26,116.7
2014-12-29,119.3
2014-12-30,119.65
2014-12-31,119.75
2015-01-01,121.5
2015-01-02,145.65
2015-01-05,157.15
2015-01-06,149.7
2015-01-07,150.85
2015-01-08,155.65
2015-01-09,151.0
2015-01-12,150.5
2015-01-13,143.25
2015-01-14,139.75
2015-01-15,146.85
2015-01-16,142.0
2015-01-19,146.65
2015-01-20,143.8
2015-01-21,141.35
2015-01-22,144.8
2015-01-23,147.75
2015-01-27,146.3
2015-01-28,145.65
2015-01-29,142.9
2015-01-30,144.35
2015-02-02,145.0
2015-02-03,142.15
2015-02-04,139.3
2015-02-05,134.8
2015-02-06,130.65
2015-02-09,126.15
2015-02-10,126.7
2015-02-11,129.3
2015-02-12,127.7
2015-02-13,129.3
2015-02-16,127.8
2015-02-18,124.9
2015-02-19,126.65
2015-02-20,122.35
2015-02-23,121.4
2015-02-24,119.8
2015-02-25,118.9
2015-02-26,118.8
2015-02-27,125.25
2015-02-28,120.8
2015-03-02,121.65
2015-03-03,119.3
2015-03-04,113.25
2015-03-05,113.65
2015-03-09,110.5
2015-03-10,107.95
2015-03-11,104.3
2015-03-12,107.2
2015-03-13,115.3
2015-03-16,113.0
2015-03-17,112.5
2015-03-18,113.4
2015-03-19,110.75
2015-03-20,110.35
2015-03-23,105.8
2015-03-24,103.75
2015-03-25,104.65
2015-03-26,101.35
2015-03-27,100.3
2015-03-30,103.9
2015-03-31,103.55
2015-04-01,123.45
2015-04-06,128.9
2015-04-07,126.1
2015-04-08,128.1
2015-04-09,124.55
2015-04-10,127.8
2015-04-13,133.25
2015-04-15,132.15
2015-04-16,128.55
2015-04-17,124.1
2015-04-20,122.3
2015-04-21,122.9
2015-04-22,125.15
2015-04-23,125.6
2015-04-24,119.45
2015-04-27,114.3
2015-04-28,122.45
2015-04-29,121.8
2015-04-30,118.3
2015-05-04,123.1
2015-05-05,121.35
2015-05-06,118.3
2015-05-07,113.8
2015-05-08,115.4
2015-05-11,120.15
2015-05-12,116.6
2015-05-13,119.15
2015-05-14,119.0
2015-05-15,118.95
2015-05-18,119.0
2015-05-19,117.3
2015-05-20,118.7
2015-05-21,118.25
2015-05-22,119.1
2015-05-25,119.7
2015-05-26,119.65
2015-05-27,120.0
2015-05-28,120.15
2015-05-29,117.75
2015-06-01,123.15
2015-06-02,119.9
2015-06-03,113.5
2015-06-04,111.95
2015-06-05,112.0
2015-06-08,106.95
2015-06-09,105.65
2015-06-10,103.5
2015-06-11,98.7
2015-06-12,98.0
2015-06-15,99.75
2015-06-16,101.05
2015-06-17,101.9
2015-06-18,104.9
2015-06-19,104.9
2015-06-22,106.2
2015-06-23,107.2
2015-06-24,106.8
2015-06-25,105.3
2015-06-26,102.9
2015-06-29,97.45
2015-06-30,98.15
2015-07-01,98.5
2015-07-02,100.3
2015-07-03,104.75
2015-07-06,107.35
2015-07-07,123.05
2015-07-08,119.45
2015-07-09,121.15
2015-07-10,116.7
2015-07-13,114.5
2015-07-14,114.1
2015-07-15,112.4
2015-07-16,114.9
2015-07-17,112.9
2015-07-20,119.35
2015-07-21,114.85
2015-07-22,114.45
2015-07-23,114.25
2015-07-24,112.8
2015-07-27,111.15
2015-07-28,109.7
2015-07-29,106.9
2015-07-30,107.65
2015-07-31,113.8
2015-08-03,117.2
2015-08-04,117.8
2015-08-05,122.55
2015-08-06,119.65
2015-08-07,119.6
2015-08-10,118.35
2015-08-11,116.0
2015-08-12,112.65
2015-08-13,110.65
2015-08-14,112.15
2015-08-17,109.7
2015-08-18,109.4
2015-08-19,109.9
2015-08-20,108.1
2015-08-21,105.8
2015-08-24,96.0
2015-08-25,90.85
2015-08-26,93.45
2015-08-27,97.1
2015-08-28,98.0
2015-08-31,98.4
2015-09-01,95.55
2015-09-02,96.55
2015-09-03,99.75
2015-09-04,98.1
2015-09-07,94.55
2015-09-08,96.7
2015-09-09,97.5
2015-09-10,97.7
2015-09-11,97.45
2015-09-14,99.25
2015-09-15,99.6
2015-09-16,100.0
2015-09-18,99.3
2015-09-21,100.25
2015-09-22,96.6
2015-09-23,96.7
