Date,TEXMOPIPES
2013-01-01,9.1
2013-01-02,9.2
2013-01-03,9.2
2013-01-04,9.2
2013-01-07,9.4
2013-01-08,9.35
2013-01-09,9.45
2013-01-10,9.5
2013-01-11,9.3
2013-01-14,9.3
2013-01-15,9.5
2013-01-16,9.15
2013-01-17,9.15
2013-01-18,9.0
2013-01-21,9.0
2013-01-22,9.0
2013-01-23,8.7
2013-01-24,8.35
2013-01-25,8.55
2013-01-28,9.1
2013-01-29,8.95
2013-01-30,8.7
2013-01-31,8.65
2013-02-01,8.6
2013-02-04,8.55
2013-02-05,8.45
2013-02-06,8.4
2013-02-07,8.25
2013-02-08,8.1
2013-02-11,8.15
2013-02-12,7.9
2013-02-13,7.95
2013-02-14,7.7
2013-02-15,7.7
2013-02-18,7.85
2013-02-19,8.1
2013-02-20,7.95
2013-02-21,7.75
2013-02-22,7.55
2013-02-25,7.5
2013-02-26,7.0
2013-02-27,6.75
2013-02-28,6.6
2013-03-01,6.8
2013-03-04,6.45
2013-03-05,6.7
2013-03-06,7.05
2013-03-07,6.9
2013-03-08,6.7
2013-03-11,6.95
2013-03-12,6.45
2013-03-13,6.6
2013-03-14,6.45
2013-03-15,6.35
2013-03-18,6.3
2013-03-19,6.0
2013-03-20,5.85
2013-03-21,5.4
2013-03-22,5.15
2013-03-25,4.6
2013-03-26,5.1
2013-03-28,5.25
2013-04-01,5.55
2013-04-02,6.0
2013-04-03,6.2
2013-04-04,5.85
2013-04-05,5.15
2013-04-08,5.15
2013-04-09,5.0
2013-04-10,5.0
2013-04-11,5.1
2013-04-12,5.1
2013-04-15,5.35
2013-04-16,5.4
2013-04-17,5.4
2013-04-18,5.55
2013-04-22,5.65
2013-04-23,5.9
2013-04-25,5.7
2013-04-26,5.5
2013-04-29,5.35
2013-04-30,5.4
2013-05-02,5.45
2013-05-03,5.35
2013-05-06,5.15
2013-05-07,5.2
2013-05-08,5.25
2013-05-09,5.15
2013-05-10,5.25
2013-05-11,5.25
2013-05-13,5.25
2013-05-14,5.35
2013-05-15,6.4
2013-05-16,5.2
2013-05-17,5.1
2013-05-20,5.15
2013-05-21,5.2
2013-05-22,5.15
2013-05-23,5.05
2013-05-24,4.95
2013-05-27,5.0
2013-05-28,5.0
2013-05-29,5.1
2013-05-30,5.0
2013-05-31,5.0
2013-06-03,4.5
2013-06-04,4.6
2013-06-05,4.45
2013-06-06,4.6
2013-06-07,4.6
2013-06-10,4.45
2013-06-11,4.4
2013-06-12,4.15
2013-06-13,4.25
2013-06-14,4.3
2013-06-17,4.25
2013-06-18,4.4
2013-06-19,4.3
2013-06-20,4.1
2013-06-21,4.15
2013-06-24,3.35
2013-06-25,2.95
2013-06-26,3.2
2013-06-27,3.5
2013-06-28,3.8
2013-07-01,3.95
2013-07-02,4.1
2013-07-03,4.05
2013-07-04,4.1
2013-07-05,4.2
2013-07-08,4.4
2013-07-09,4.4
2013-07-10,4.3
2013-07-11,4.35
2013-07-12,4.2
2013-07-15,4.25
2013-07-16,4.05
2013-07-17,3.95
2013-07-18,3.85
2013-07-19,4.0
2013-07-22,3.85
2013-07-23,3.9
2013-07-24,3.85
2013-07-25,3.95
2013-07-26,3.9
2013-07-29,3.85
2013-07-30,3.9
2013-07-31,3.75
2013-08-01,3.9
2013-08-02,3.75
2013-08-05,3.7
2013-08-06,3.7
2013-08-07,3.7
2013-08-08,3.75
2013-08-12,3.9
2013-08-13,3.8
2013-08-14,3.95
2013-08-16,3.85
2013-08-19,3.75
2013-08-20,3.75
2013-08-21,3.7
2013-08-22,3.65
2013-08-23,3.8
2013-08-26,3.9
2013-08-27,3.75
2013-08-28,3.6
2013-08-29,3.75
2013-08-30,3.9
2013-09-02,4.05
2013-09-03,4.2
2013-09-04,4.4
2013-09-05,4.3
2013-09-06,4.45
2013-09-10,4.85
2013-09-11,4.9
2013-09-12,4.75
2013-09-13,4.75
2013-09-16,4.8
2013-09-17,4.75
2013-09-18,4.8
2013-09-19,4.75
2013-09-20,4.6
2013-09-23,4.55
2013-09-24,4.65
2013-09-25,4.7
2013-09-26,4.85
2013-09-27,4.85
2013-09-30,4.6
2013-10-01,4.65
2013-10-03,4.75
2013-10-04,4.75
2013-10-07,4.6
2013-10-08,4.65
2013-10-09,4.7
2013-10-10,4.75
2013-10-11,4.85
2013-10-14,5.3
2013-10-15,5.2
2013-10-17,5.2
2013-10-18,5.3
2013-10-21,5.4
2013-10-22,5.4
2013-10-23,5.35
2013-10-24,5.4
2013-10-25,5.25
2013-10-28,5.25
2013-10-29,5.35
2013-10-30,5.35
2013-10-31,5.3
2013-11-01,5.55
2013-11-03,5.95
2013-11-05,5.75
2013-11-06,5.7
2013-11-07,5.9
2013-11-08,5.75
2013-11-11,5.8
2013-11-12,5.5
2013-11-13,5.25
2013-11-14,5.0
2013-11-18,5.0
2013-11-19,5.15
2013-11-20,6.15
2013-11-21,5.65
2013-11-22,5.6
2013-11-25,5.55
2013-11-26,5.3
2013-11-27,5.4
2013-11-28,5.35
2013-11-29,5.7
2013-12-02,6.5
2013-12-03,6.75
2013-12-04,6.65
2013-12-05,6.75
2013-12-06,6.7
2013-12-09,6.75
2013-12-10,6.65
2013-12-11,6.65
2013-12-12,6.6
2013-12-13,6.7
2013-12-16,6.55
2013-12-17,7.2
2013-12-18,7.0
2013-12-19,7.0
2013-12-20,7.2
2013-12-23,7.2
2013-12-24,7.15
2013-12-26,7.35
2013-12-27,7.7
2013-12-30,7.4
2013-12-31,7.2
2014-01-01,7.2
2014-01-02,7.15
2014-01-03,7.2
2014-01-06,7.25
2014-01-07,7.1
2014-01-08,7.15
2014-01-09,7.0
2014-01-10,6.9
2014-01-13,6.9
2014-01-14,6.75
2014-01-15,6.45
2014-01-16,6.4
2014-01-17,6.35
2014-01-20,6.2
2014-01-21,6.15
2014-01-22,6.15
2014-01-23,6.05
2014-01-24,5.9
2014-01-27,5.5
2014-01-28,5.65
2014-01-29,5.65
2014-01-30,5.35
2014-01-31,5.5
2014-02-03,5.4
2014-02-04,5.4
2014-02-05,5.6
2014-02-06,5.5
2014-02-07,6.0
2014-02-10,6.0
2014-02-11,6.0
2014-02-12,6.4
2014-02-13,6.0
2014-02-14,6.0
2014-02-17,6.1
2014-02-18,6.3
2014-02-19,6.6
2014-02-20,6.4
2014-02-21,6.2
2014-02-24,6.3
2014-02-25,6.4
2014-02-26,6.15
2014-02-28,6.05
2014-03-03,6.05
2014-03-04,6.15
2014-03-05,6.15
2014-03-06,6.25
2014-03-07,6.4
2014-03-10,6.25
2014-03-11,6.15
2014-03-12,6.05
2014-03-13,6.15
2014-03-14,5.85
2014-03-18,5.95
2014-03-19,6.1
2014-03-20,6.0
2014-03-21,5.9
2014-03-22,5.95
2014-03-24,5.95
2014-03-25,5.85
2014-03-26,5.6
2014-03-27,6.05
2014-03-28,6.15
2014-03-31,6.1
2014-04-01,6.05
2014-04-02,6.15
2014-04-03,6.55
2014-04-04,7.0
2014-04-07,7.0
2014-04-09,6.95
2014-04-10,6.85
2014-04-11,6.85
2014-04-15,7.0
2014-04-16,7.1
2014-04-17,7.1
2014-04-21,6.85
2014-04-22,6.95
2014-04-23,6.95
2014-04-25,8.3
2014-04-28,8.4
2014-04-29,9.05
2014-04-30,8.9
2014-05-02,8.65
2014-05-05,8.25
2014-05-06,8.25
2014-05-07,7.85
2014-05-08,7.7
2014-05-09,7.8
2014-05-12,7.75
2014-05-13,7.75
2014-05-14,7.7
2014-05-15,7.8
2014-05-16,9.1
2014-05-19,9.15
2014-05-20,10.05
2014-05-21,10.5
2014-05-22,10.7
2014-05-23,10.95
2014-05-26,10.3
2014-05-27,9.85
2014-05-28,9.7
2014-05-29,8.95
2014-05-30,8.35
2014-06-02,9.3
2014-06-03,8.95
2014-06-04,9.0
2014-06-05,8.95
2014-06-06,9.05
2014-06-09,10.85
2014-06-10,10.05
2014-06-11,10.0
2014-06-12,9.85
2014-06-13,9.85
2014-06-16,10.3
2014-06-17,10.3
2014-06-18,10.35
2014-06-19,9.95
2014-06-20,11.0
2014-06-23,11.8
2014-06-24,11.75
2014-06-25,12.0
2014-06-26,11.7
2014-06-27,11.6
2014-06-30,13.1
2014-07-01,15.7
2014-07-02,18.55
2014-07-03,19.5
2014-07-04,18.75
2014-07-07,18.15
2014-07-08,16.35
2014-07-09,14.95
2014-07-10,16.15
2014-07-11,16.0
2014-07-14,15.55
2014-07-15,15.95
2014-07-16,14.45
2014-07-17,15.85
2014-07-18,16.45
2014-07-21,17.05
2014-07-22,16.75
2014-07-23,16.3
2014-07-24,16.1
2014-07-25,15.5
2014-07-28,16.2
