Date,KKCL
2013-01-01,699.55
2013-01-02,704.2
2013-01-03,697.7
2013-01-04,728.85
2013-01-07,729.4
2013-01-08,730.0
2013-01-09,725.0
2013-01-10,726.0
2013-01-11,726.4
2013-01-14,720.7
2013-01-15,728.7
2013-01-16,719.2
2013-01-17,724.95
2013-01-18,724.95
2013-01-21,721.1
2013-01-22,716.9
2013-01-23,709.5
2013-01-24,715.05
2013-01-25,712.8
2013-01-28,708.1
2013-01-29,707.35
2013-01-30,719.95
2013-01-31,729.4
2013-02-01,733.55
2013-02-04,733.85
2013-02-05,732.95
2013-02-06,732.7
2013-02-07,727.15
2013-02-08,727.85
2013-02-11,720.35
2013-02-12,720.3
2013-02-13,727.7
2013-02-14,719.1
2013-02-15,724.55
2013-02-18,714.4
2013-02-19,727.15
2013-02-20,720.3
2013-02-21,704.55
2013-02-22,716.8
2013-02-25,717.1
2013-02-26,715.55
2013-02-27,722.05
2013-02-28,707.1
2013-03-01,702.35
2013-03-04,699.8
2013-03-05,709.95
2013-03-06,712.75
2013-03-07,709.0
2013-03-08,707.8
2013-03-11,709.0
2013-03-12,737.05
2013-03-13,741.85
2013-03-14,739.95
2013-03-15,726.95
2013-03-18,723.5
2013-03-19,721.15
2013-03-20,719.3
2013-03-21,707.95
2013-03-22,710.3
2013-03-25,707.6
2013-03-26,719.25
2013-03-28,725.15
2013-04-01,728.0
2013-04-02,716.8
2013-04-03,706.05
2013-04-04,694.8
2013-04-05,704.6
2013-04-08,715.5
2013-04-09,710.9
2013-04-10,705.6
2013-04-11,698.55
2013-04-12,704.3
2013-04-15,714.3
2013-04-16,733.9
2013-04-17,734.75
2013-04-18,735.0
2013-04-22,726.25
2013-04-23,719.45
2013-04-25,704.9
2013-04-26,691.95
2013-04-29,695.2
2013-04-30,714.15
2013-05-02,725.0
2013-05-03,728.15
2013-05-06,731.65
2013-05-07,729.2
2013-05-08,726.25
2013-05-09,726.85
2013-05-10,731.8
2013-05-11,726.95
2013-05-13,770.05
2013-05-14,766.75
2013-05-15,768.55
2013-05-16,771.0
2013-05-17,782.7
2013-05-20,819.25
2013-05-21,837.05
2013-05-22,822.8
2013-05-23,808.55
2013-05-24,816.65
2013-05-27,823.15
2013-05-28,818.45
2013-05-29,810.5
2013-05-30,821.35
2013-05-31,825.45
2013-06-03,875.0
2013-06-04,886.55
