Date,DELTACORP
2013-01-01,80.2
2013-01-02,80.1
2013-01-03,82.4
2013-01-04,82.9
2013-01-07,81.1
2013-01-08,80.35
2013-01-09,79.4
2013-01-10,78.1
2013-01-11,76.4
2013-01-14,77.6
2013-01-15,77.45
2013-01-16,75.3
2013-01-17,75.4
2013-01-18,76.8
2013-01-21,80.15
2013-01-22,78.0
2013-01-23,80.0
2013-01-24,76.9
2013-01-25,77.25
2013-01-28,78.55
2013-01-29,77.1
2013-01-30,75.35
2013-01-31,73.75
2013-02-01,72.9
2013-02-04,71.75
2013-02-05,70.45
2013-02-06,70.1
2013-02-07,68.4
2013-02-08,67.5
2013-02-11,69.0
2013-02-12,70.15
2013-02-13,73.25
2013-02-14,70.45
2013-02-15,70.6
2013-02-18,68.3
2013-02-19,69.7
2013-02-20,69.5
2013-02-21,66.9
2013-02-22,66.6
2013-02-25,63.05
2013-02-26,60.35
2013-02-27,57.9
2013-02-28,55.9
2013-03-01,54.85
2013-03-04,53.35
2013-03-05,56.15
2013-03-06,57.45
2013-03-07,57.15
2013-03-08,58.2
2013-03-11,59.05
2013-03-12,58.8
2013-03-13,56.8
2013-03-14,57.2
2013-03-15,57.2
2013-03-18,55.5
2013-03-19,53.0
2013-03-20,45.0
2013-03-21,41.85
2013-03-22,47.65
2013-03-25,43.15
2013-03-26,41.85
2013-03-28,41.1
2013-04-01,44.35
2013-04-02,48.15
2013-04-03,49.65
2013-04-04,50.1
2013-04-05,50.3
2013-04-08,49.95
2013-04-09,50.5
2013-04-10,60.5
2013-04-11,58.3
2013-04-12,61.65
2013-04-15,73.95
2013-04-16,69.15
2013-04-17,72.3
2013-04-18,72.85
2013-04-22,71.95
2013-04-23,71.55
2013-04-25,70.65
2013-04-26,63.6
2013-04-29,59.1
2013-04-30,62.25
2013-05-02,63.35
2013-05-03,63.05
2013-05-06,62.95
2013-05-07,64.55
2013-05-08,65.75
2013-05-09,65.05
2013-05-10,66.35
2013-05-11,66.95
2013-05-13,70.25
2013-05-14,72.45
2013-05-15,72.0
2013-05-16,70.6
2013-05-17,70.05
2013-05-20,69.6
2013-05-21,67.85
2013-05-22,68.6
2013-05-23,63.95
2013-05-24,64.15
2013-05-27,64.65
2013-05-28,66.25
2013-05-29,64.45
2013-05-30,63.4
2013-05-31,60.95
2013-06-03,62.95
2013-06-04,63.05
2013-06-05,62.2
2013-06-06,61.4
2013-06-07,61.1
2013-06-10,59.55
2013-06-11,56.65
2013-06-12,56.05
2013-06-13,54.3
2013-06-14,54.7
2013-06-17,56.6
2013-06-18,55.65
2013-06-19,55.45
2013-06-20,52.75
2013-06-21,53.9
2013-06-24,52.9
2013-06-25,50.65
2013-06-26,49.9
2013-06-27,50.8
2013-06-28,52.55
2013-07-01,55.1
2013-07-02,53.35
2013-07-03,50.35
2013-07-04,51.15
2013-07-05,51.4
2013-07-08,50.7
2013-07-09,54.15
2013-07-10,52.65
2013-07-11,52.65
2013-07-12,52.1
2013-07-15,53.0
2013-07-16,51.45
2013-07-17,49.0
2013-07-18,48.0
2013-07-19,48.05
2013-07-22,47.9
2013-07-23,47.4
2013-07-24,44.3
2013-07-25,46.95
2013-07-26,55.05
2013-07-29,50.4
2013-07-30,50.2
2013-07-31,50.85
2013-08-01,49.85
2013-08-02,49.3
2013-08-05,51.4
2013-08-06,49.95
2013-08-07,50.4
2013-08-08,56.0
2013-08-12,60.05
2013-08-13,60.1
2013-08-14,60.55
2013-08-16,61.35
2013-08-19,62.5
2013-08-20,63.2
2013-08-21,63.0
2013-08-22,60.7
2013-08-23,60.6
2013-08-26,59.95
2013-08-27,56.9
2013-08-28,56.6
2013-08-29,59.85
2013-08-30,59.9
2013-09-02,59.7
2013-09-03,58.4
2013-09-04,59.7
2013-09-05,61.1
2013-09-06,61.65
2013-09-10,62.05
2013-09-11,65.8
2013-09-12,66.05
2013-09-13,65.45
2013-09-16,63.1
2013-09-17,63.65
2013-09-18,64.75
2013-09-19,71.15
2013-09-20,69.85
2013-09-23,68.45
2013-09-24,69.4
2013-09-25,68.75
2013-09-26,67.4
2013-09-27,63.7
2013-09-30,61.1
2013-10-01,62.4
2013-10-03,65.45
2013-10-04,67.8
2013-10-07,69.2
2013-10-08,68.65
2013-10-09,69.7
2013-10-10,69.95
2013-10-11,71.05
2013-10-14,75.6
2013-10-15,74.6
2013-10-17,77.45
2013-10-18,78.45
2013-10-21,79.4
2013-10-22,77.8
2013-10-23,75.85
2013-10-24,80.1
2013-10-25,80.75
2013-10-28,79.25
2013-10-29,80.3
2013-10-30,89.35
2013-10-31,87.65
2013-11-01,90.15
2013-11-03,91.35
2013-11-05,93.55
2013-11-06,96.1
2013-11-07,93.05
2013-11-08,93.45
2013-11-11,87.35
2013-11-12,82.85
2013-11-13,85.1
2013-11-14,89.4
2013-11-18,93.35
2013-11-19,94.15
2013-11-20,91.3
2013-11-21,87.4
2013-11-22,89.8
2013-11-25,90.6
2013-11-26,89.45
2013-11-27,91.4
2013-11-28,90.65
2013-11-29,89.9
2013-12-02,89.7
2013-12-03,91.15
2013-12-04,89.95
2013-12-05,90.1
2013-12-06,89.05
2013-12-09,91.3
2013-12-10,90.25
2013-12-11,92.55
2013-12-12,93.3
2013-12-13,96.85
2013-12-16,103.7
2013-12-17,101.1
2013-12-18,101.95
2013-12-19,99.25
2013-12-20,101.8
2013-12-23,106.9
2013-12-24,107.05
2013-12-26,106.7
2013-12-27,104.55
2013-12-30,104.2
2013-12-31,104.0
2014-01-01,111.85
2014-01-02,108.3
2014-01-03,118.0
2014-01-06,124.1
2014-01-07,122.1
2014-01-08,116.65
2014-01-09,116.95
2014-01-10,115.1
2014-01-13,120.25
2014-01-14,117.4
2014-01-15,116.85
2014-01-16,116.35
2014-01-17,110.4
2014-01-20,115.2
2014-01-21,115.5
2014-01-22,114.35
2014-01-23,112.2
2014-01-24,106.25
2014-01-27,99.4
2014-01-28,99.35
2014-01-29,95.15
2014-01-30,95.6
2014-01-31,102.7
2014-02-03,98.65
2014-02-04,100.0
2014-02-05,99.9
2014-02-06,97.15
2014-02-07,97.05
2014-02-10,96.05
2014-02-11,97.05
2014-02-12,95.1
2014-02-13,91.4
2014-02-14,93.6
2014-02-17,92.35
2014-02-18,94.75
2014-02-19,101.7
2014-02-20,99.6
2014-02-21,101.15
2014-02-24,99.25
2014-02-25,101.45
2014-02-26,99.5
2014-02-28,103.4
2014-03-03,103.5
2014-03-04,107.6
2014-03-05,104.35
2014-03-06,104.85
2014-03-07,105.0
2014-03-10,105.25
2014-03-11,104.8
2014-03-12,103.15
2014-03-13,100.45
2014-03-14,100.35
2014-03-18,98.9
2014-03-19,96.75
2014-03-20,95.45
2014-03-21,97.35
2014-03-22,96.8
2014-03-24,96.15
2014-03-25,97.85
2014-03-26,98.8
2014-03-27,99.05
2014-03-28,98.65
2014-03-31,99.1
2014-04-01,97.1
2014-04-02,102.3
2014-04-03,103.85
2014-04-04,101.9
2014-04-07,99.05
2014-04-09,104.45
2014-04-10,105.85
2014-04-11,104.4
2014-04-15,101.3
2014-04-16,98.1
2014-04-17,99.05
2014-04-21,99.25
2014-04-22,103.1
2014-04-23,99.85
2014-04-25,100.7
2014-04-28,101.05
2014-04-29,95.5
2014-04-30,92.2
2014-05-02,92.45
2014-05-05,88.15
2014-05-06,88.2
2014-05-07,84.3
2014-05-08,83.65
2014-05-09,86.1
2014-05-12,85.65
2014-05-13,94.65
2014-05-14,94.0
2014-05-15,92.55
2014-05-16,97.4
2014-05-19,100.45
2014-05-20,103.4
2014-05-21,105.2
2014-05-22,106.1
2014-05-23,108.85
2014-05-26,99.75
2014-05-27,95.7
2014-05-28,94.2
2014-05-29,95.4
2014-05-30,94.15
2014-06-02,97.15
2014-06-03,97.0
2014-06-04,96.7
2014-06-05,96.35
2014-06-06,96.45
2014-06-09,98.45
2014-06-10,100.8
2014-06-11,100.15
2014-06-12,101.7
2014-06-13,96.7
2014-06-16,97.55
2014-06-17,98.9
2014-06-18,95.95
2014-06-19,94.15
2014-06-20,93.2
2014-06-23,91.45
2014-06-24,94.05
2014-06-25,93.8
2014-06-26,93.0
2014-06-27,92.9
2014-06-30,93.0
2014-07-01,95.7
2014-07-02,94.7
2014-07-03,93.75
2014-07-04,92.75
2014-07-07,92.0
2014-07-08,87.2
2014-07-09,84.15
2014-07-10,82.9
2014-07-11,77.7
2014-07-14,86.3
2014-07-15,86.1
2014-07-16,86.2
2014-07-17,89.75
2014-07-18,88.05
2014-07-21,96.1
2014-07-22,94.55
2014-07-23,92.4
2014-07-24,96.65
2014-07-25,92.7
2014-07-28,91.25
2014-07-30,84.55
2014-07-31,93.15
2014-08-01,89.4
2014-08-04,90.95
2014-08-05,90.9
2014-08-06,89.35
2014-08-07,89.65
2014-08-08,85.15
2014-08-11,86.6
2014-08-12,89.1
2014-08-13,88.4
2014-08-14,87.95
2014-08-18,90.25
2014-08-19,89.1
2014-08-20,91.45
2014-08-21,90.3
2014-08-22,89.9
2014-08-25,88.25
2014-08-26,86.9
2014-08-27,87.4
2014-08-28,86.05
2014-09-01,86.7
2014-09-02,91.75
2014-09-03,89.35
2014-09-04,90.5
2014-09-05,87.25
2014-09-08,87.85
2014-09-09,94.0
2014-09-10,95.5
2014-09-11,95.25
2014-09-12,97.4
