Date,MAITHANALL
2013-01-01,115.55
2013-01-02,112.75
2013-01-03,121.0
2013-01-04,121.1
2013-01-07,119.2
2013-01-08,118.2
2013-01-09,121.0
2013-01-10,119.4
2013-01-11,116.1
2013-01-14,115.35
2013-01-15,115.75
2013-01-16,114.5
2013-01-17,113.5
2013-01-18,113.25
2013-01-21,109.85
2013-01-22,109.3
2013-01-23,111.15
2013-01-24,110.0
2013-01-25,106.85
2013-01-28,110.9
2013-01-29,110.2
2013-01-30,108.55
2013-01-31,108.1
2013-02-01,109.0
2013-02-04,108.5
2013-02-05,107.8
2013-02-06,108.75
2013-02-07,105.9
2013-02-08,107.3
2013-02-11,95.55
2013-02-12,89.4
2013-02-13,90.6
2013-02-14,85.75
2013-02-15,82.1
2013-02-18,83.25
2013-02-19,87.75
2013-02-20,92.95
2013-02-21,90.2
2013-02-22,88.95
2013-02-25,92.9
2013-02-26,87.15
2013-02-27,87.0
2013-02-28,85.75
2013-03-01,83.45
2013-03-04,84.0
2013-03-05,86.25
2013-03-06,84.55
2013-03-07,89.0
2013-03-08,86.55
2013-03-11,88.4
2013-03-12,86.05
2013-03-13,86.2
2013-03-15,86.95
2013-03-18,85.85
2013-03-19,84.55
2013-03-20,81.5
2013-03-21,80.4
2013-03-22,75.15
2013-03-25,76.65
2013-03-26,76.0
2013-03-28,78.0
2013-04-01,78.7
2013-04-03,80.1
2013-04-04,77.65
2013-04-05,82.2
2013-04-16,75.0
2013-04-17,78.0
2013-04-18,78.0
2013-04-30,78.0
2013-05-08,75.5
2013-05-30,71.0
2013-05-31,68.0
2013-06-03,72.75
2013-06-06,78.0
2013-06-14,62.4
2013-06-21,53.5
2013-06-26,60.0
2013-06-28,64.8
2013-07-01,63.0
2013-07-02,54.6
2013-07-03,64.8
2013-07-04,67.4
2013-07-08,64.5
2013-07-10,64.5
2013-07-17,67.4
2013-07-18,66.0
2013-07-19,64.5
2013-07-23,66.0
2013-07-31,62.7
2013-08-01,64.0
2013-08-02,65.0
2013-08-12,66.0
2013-08-13,66.0
2013-08-14,65.5
2013-09-11,65.0
2013-09-23,68.0
2013-10-22,64.6
2013-10-29,61.55
2013-11-05,61.85
2013-11-07,64.0
2013-11-08,67.2
2013-11-21,63.85
2013-11-22,60.7
2013-11-25,57.7
2013-11-26,60.55
2013-11-27,57.55
2013-11-28,57.0
2013-11-29,57.85
2013-12-02,57.5
2013-12-03,55.05
2013-12-04,57.8
2013-12-05,57.85
2013-12-06,57.7
2013-12-10,55.25
2013-12-11,55.55
2013-12-12,57.5
2013-12-13,54.65
2013-12-17,54.3
2013-12-18,54.05
2013-12-19,55.0
2013-12-23,54.0
2013-12-26,54.0
2013-12-30,55.95
