Date,SPENTEX
2013-01-01,5.8
2013-01-02,6.0
2013-01-03,5.85
2013-01-04,6.1
2013-01-07,6.4
2013-01-08,6.3
2013-01-09,6.3
2013-01-10,6.15
2013-01-11,6.1
2013-01-14,5.95
2013-01-15,6.1
2013-01-16,5.95
2013-01-17,5.75
2013-01-18,5.75
2013-01-21,5.45
2013-01-22,5.55
2013-01-23,5.3
2013-01-24,5.5
2013-01-25,5.4
2013-01-28,5.45
2013-01-29,5.3
2013-01-30,5.35
2013-01-31,5.1
2013-02-01,5.25
2013-02-04,5.25
2013-02-05,5.1
2013-02-06,5.1
2013-02-07,5.05
2013-02-08,5.1
2013-02-11,5.05
2013-02-12,5.0
2013-02-13,5.0
2013-02-14,5.0
2013-02-15,5.0
2013-02-18,5.0
2013-02-19,5.1
2013-02-20,5.25
2013-02-21,5.15
2013-02-22,5.3
2013-02-25,5.2
2013-02-26,5.1
2013-02-27,5.25
2013-02-28,5.0
2013-03-01,5.1
2013-03-04,5.0
2013-03-05,5.2
2013-03-06,5.25
2013-03-07,5.3
2013-03-08,5.0
2013-03-11,5.0
2013-03-12,5.1
2013-03-13,5.05
2013-03-14,5.05
2013-03-15,5.0
2013-03-18,5.0
2013-03-19,4.6
2013-03-20,3.7
2013-03-21,3.3
2013-03-22,3.6
2013-03-25,3.5
2013-03-26,3.7
2013-03-28,3.5
2013-04-01,3.65
2013-04-02,3.85
2013-04-03,4.05
2013-04-04,3.7
2013-04-05,3.9
2013-04-08,3.8
2013-04-09,3.6
2013-04-10,3.85
2013-04-11,3.6
2013-04-12,3.9
2013-04-15,3.95
2013-04-16,4.0
2013-04-17,3.9
2013-04-18,3.9
2013-04-22,3.95
2013-04-23,4.0
2013-04-25,3.85
2013-04-26,3.95
2013-04-29,4.0
2013-04-30,3.8
2013-05-02,3.85
2013-05-03,4.0
2013-05-06,4.1
2013-05-07,3.85
2013-05-08,3.8
2013-05-09,3.55
2013-05-10,3.8
2013-05-13,3.75
2013-05-14,3.85
2013-05-15,4.0
2013-05-16,3.8
2013-05-17,3.8
2013-05-20,3.8
2013-05-21,3.65
2013-05-22,3.9
2013-05-23,3.3
2013-05-24,3.8
2013-05-27,3.7
2013-05-28,4.05
2013-05-29,3.9
2013-05-30,3.65
2013-05-31,3.75
2013-06-03,3.7
2013-06-04,3.65
2013-06-05,3.7
2013-06-06,3.65
2013-06-07,3.5
2013-06-10,3.75
2013-06-11,3.5
2013-06-12,3.35
2013-06-13,3.7
2013-06-14,3.8
2013-06-17,4.15
2013-06-18,4.0
2013-06-19,3.9
2013-06-20,4.05
2013-06-21,3.95
2013-06-24,3.95
2013-06-25,3.65
2013-06-26,3.55
2013-06-27,3.6
2013-06-28,3.55
2013-07-01,3.85
2013-07-02,3.65
2013-07-03,3.45
2013-07-04,3.5
2013-07-05,3.6
2013-07-08,4.0
2013-07-09,3.55
2013-07-10,3.3
2013-07-11,3.85
2013-07-12,4.0
2013-07-17,4.75
2013-07-19,4.3
2013-07-24,3.9
2013-07-25,3.7
2013-07-29,3.55
2013-07-30,3.55
2013-07-31,3.45
2013-08-01,3.5
2013-08-02,3.4
2013-08-06,3.55
2013-08-07,3.55
2013-08-12,3.4
2013-08-13,3.55
2013-08-16,3.7
2013-08-19,3.6
2013-08-20,3.6
2013-08-21,3.5
2013-08-22,3.65
2013-08-23,3.7
2013-08-27,3.65
2013-08-28,3.7
2013-08-29,3.7
2013-08-30,3.7
2013-09-02,3.75
2013-09-03,3.9
2013-09-04,4.05
2013-09-05,4.0
2013-09-06,3.8
2013-09-10,3.7
2013-09-11,3.7
2013-09-12,4.05
2013-09-13,4.0
2013-09-16,4.05
2013-09-18,3.7
2013-09-20,3.75
2013-09-27,3.6
2013-10-01,3.7
2013-10-07,3.6
2013-10-08,3.6
2013-10-09,3.85
2013-10-10,3.95
2013-10-11,3.75
2013-10-14,3.7
2013-10-17,3.9
2013-10-18,3.7
2013-10-21,3.6
2013-10-22,3.95
2013-10-23,3.9
2013-10-24,4.0
2013-10-28,4.0
2013-10-29,4.2
2013-10-30,4.15
2013-10-31,3.9
2013-11-01,4.25
2013-11-03,4.55
2013-11-05,5.0
2013-11-06,5.4
2013-11-07,5.55
2013-11-08,5.3
2013-11-11,5.5
2013-11-12,5.7
2013-11-13,5.9
2013-11-14,5.65
2013-11-18,5.9
2013-11-19,5.9
2013-11-20,6.0
2013-11-22,6.05
2013-11-25,5.75
2013-11-26,5.75
2013-11-27,6.0
2014-03-03,3.25
2014-03-04,3.3
2014-03-05,3.3
2014-03-06,3.35
2014-03-07,3.35
2014-03-10,3.35
2014-03-11,3.4
2014-03-12,3.4
2014-03-13,3.35
2014-03-14,3.4
2014-03-18,3.4
2014-03-19,3.4
2014-03-20,3.4
2014-03-21,3.55
2014-03-22,3.6
2014-03-24,3.55
2014-03-25,3.45
2014-03-26,3.45
2014-03-27,3.5
2014-03-28,3.5
2014-03-31,3.4
2014-04-01,3.35
2014-04-02,3.5
2014-04-03,3.65
2014-04-04,3.8
2014-04-07,3.9
2014-04-09,3.95
2014-04-10,4.05
2014-04-11,3.95
2014-04-15,4.05
2014-04-16,4.0
2014-04-17,4.0
2014-04-21,4.05
2014-04-22,4.0
2014-04-23,4.0
2014-04-25,3.9
2014-04-28,4.0
2014-04-29,3.9
2014-05-02,4.0
2014-05-05,3.85
2014-05-06,3.8
2014-05-07,3.75
2014-05-08,3.75
2014-05-09,3.85
2014-05-12,4.0
2014-05-13,4.0
2014-05-14,4.1
2014-05-15,3.9
2014-05-16,3.95
2014-05-19,4.2
2014-05-20,4.55
2014-05-21,5.0
2014-05-22,5.5
2014-05-23,5.75
2014-05-26,6.0
2014-05-27,6.0
2014-05-28,5.7
2014-05-29,5.45
2014-05-30,5.45
2014-06-02,5.4
2014-06-03,5.65
2014-06-04,5.9
2014-06-05,6.05
2014-08-06,5.1
2014-08-07,5.0
2014-08-08,5.0
2014-08-11,4.9
2014-08-12,4.8
2014-08-13,4.7
2014-08-14,4.5
2014-08-18,4.45
2014-08-19,4.45
2014-08-20,4.45
2014-08-21,4.3
2014-08-22,4.5
2014-08-25,4.5
2014-08-26,4.3
2014-08-27,4.3
2014-08-28,4.4
2014-09-01,4.55
2014-09-02,4.75
2014-09-03,4.85
2014-09-04,5.05
2014-09-05,5.55
2014-09-08,6.1
2014-09-09,6.15
2014-09-10,6.15
2014-09-11,6.25
2014-09-12,6.85
2014-09-15,7.2
2014-09-16,6.85
2014-09-17,6.55
2014-09-18,6.25
2014-09-19,6.05
2014-09-22,5.95
2014-09-23,5.95
2014-09-24,5.8
2014-09-25,5.8
2014-09-26,5.75
2014-09-29,5.5
2014-09-30,5.4
2014-10-01,5.3
2014-10-07,5.55
2014-10-08,5.7
2014-10-09,5.6
2014-10-10,5.55
2014-10-13,5.65
2014-10-14,5.4
2014-10-16,5.2
2014-10-17,5.05
2014-10-20,5.3
2014-10-21,5.55
2014-10-22,5.75
2014-10-23,5.7
2014-10-27,5.45
2014-10-28,5.25
2014-10-29,5.5
2014-10-30,5.3
2014-10-31,5.45
2014-11-03,5.7
2014-11-05,5.8
2014-11-07,5.9
2014-11-10,5.85
2014-11-11,5.85
2014-11-12,5.45
2014-11-13,5.8
2014-11-14,5.75
2014-11-17,5.5
2014-11-18,5.25
2014-11-19,4.9
2014-11-20,5.0
2014-11-21,4.8
2014-11-24,4.7
2014-11-25,4.85
2014-11-26,4.85
2014-11-27,5.1
2014-11-28,4.75
2014-12-01,4.7
2014-12-02,5.05
2014-12-03,5.0
2014-12-04,4.9
2014-12-05,4.8
2014-12-08,5.0
2014-12-09,5.1
2014-12-10,5.4
2014-12-11,5.0
2014-12-12,5.05
2014-12-15,4.75
2014-12-16,4.45
2014-12-17,4.5
2014-12-18,4.8
2014-12-19,4.85
2014-12-22,4.55
2014-12-23,4.5
2014-12-24,4.5
2014-12-26,4.5
2014-12-29,4.4
2014-12-30,4.6
2014-12-31,4.9
2015-01-01,5.0
2015-01-02,5.0
2015-01-05,4.75
2015-01-06,4.55
2015-01-07,4.95
2015-01-08,5.2
2015-01-09,4.95
2015-01-12,5.1
2015-01-13,4.8
2015-01-14,4.7
2015-01-15,5.0
2015-01-16,4.8
2015-01-19,4.85
2015-01-20,5.0
2015-01-21,4.9
2015-01-22,4.9
2015-01-23,4.7
2015-01-27,4.75
2015-01-28,4.5
2015-01-29,4.5
2015-01-30,4.5
2015-02-02,4.0
2015-02-03,4.0
2015-02-04,4.1
2015-02-05,3.95
2015-02-06,4.1
2015-02-09,4.0
2015-02-10,4.2
2015-02-11,4.2
2015-02-12,4.2
2015-02-13,4.3
2015-02-16,4.05
2015-02-18,4.25
2015-02-19,4.1
2015-02-20,4.1
2015-02-23,4.25
2015-02-24,4.1
2015-02-25,4.1
2015-02-26,4.25
2015-02-27,4.4
2015-02-28,4.2
2015-03-02,4.4
2015-03-03,4.45
2015-03-04,4.3
2015-03-05,4.2
2015-03-09,4.0
2015-03-10,4.0
2015-03-11,3.8
2015-03-12,3.8
2015-03-13,3.65
2015-03-16,3.8
2015-03-17,3.85
2015-03-18,3.75
2015-03-19,3.6
2015-03-20,3.55
2015-03-23,3.25
2015-03-24,3.3
2015-03-25,3.2
2015-03-26,3.4
2015-03-27,3.2
2015-03-30,3.5
