Date,ZENTEC
2015-03-30,55.0
2015-03-31,55.95
2015-04-01,55.7
2015-04-06,63.7
2015-04-07,69.45
2015-04-08,70.05
2015-04-09,79.7
2015-04-10,79.2
2015-04-13,77.25
2015-04-15,77.3
2015-04-16,74.25
2015-04-17,73.8
2015-04-20,69.0
2015-04-21,68.75
2015-04-22,68.4
2015-04-23,67.3
2015-04-24,61.9
2015-04-27,55.75
2015-04-28,53.0
2015-04-29,55.65
2015-04-30,58.4
2015-05-04,61.3
2015-05-05,64.35
2015-05-06,61.15
2015-05-07,58.1
2015-05-08,58.85
2015-05-11,58.7
2015-05-12,56.25
2015-05-13,57.4
2015-05-14,56.9
2015-05-15,55.7
2015-05-18,58.45
2015-05-19,57.3
2015-05-20,57.35
2015-05-21,57.75
2015-05-22,57.75
2015-05-25,60.6
2015-05-26,63.6
2015-05-27,66.75
2015-05-28,70.05
2015-05-29,73.55
2015-06-01,77.2
2015-06-02,76.35
2015-06-03,72.55
2015-06-04,76.15
2015-06-05,76.75
2015-06-08,76.05
2015-07-07,82.15
2015-07-08,79.1
2015-07-09,83.05
2015-07-10,81.25
2015-07-13,81.0
2015-07-14,84.65
2015-07-15,88.3
2015-07-16,92.7
2015-07-17,97.3
2015-07-20,94.55
2015-07-21,93.1
2015-07-22,97.65
2015-07-23,96.75
2015-07-24,96.7
2015-07-27,94.0
2015-07-28,89.95
2015-07-29,94.4
2015-07-30,92.95
2015-07-31,95.4
2015-08-03,94.6
2015-08-04,94.3
2015-08-05,99.0
2015-08-06,101.65
2015-08-07,97.65
2015-08-10,96.95
2015-08-11,94.0
2015-08-12,86.0
2015-08-13,82.7
2015-08-14,85.35
2015-08-17,87.2
2015-08-18,89.4
2015-08-19,92.2
2015-08-20,88.5
2015-08-21,85.7
2015-08-24,77.15
2015-08-25,74.85
2015-08-26,68.75
2015-08-27,72.15
2015-08-28,72.35
2015-08-31,71.0
2015-09-01,68.5
2015-09-02,67.8
2015-09-03,71.15
2015-09-04,68.05
2015-09-07,65.4
2015-09-08,67.85
2015-09-09,68.9
2015-09-10,67.5
2015-09-11,69.3
2015-09-14,70.8
2015-09-15,69.95
2015-09-16,69.9
2015-09-18,72.2
2015-09-21,72.05
2015-09-22,71.1
2015-09-23,71.9
2015-09-24,71.85
2015-09-28,75.1
2015-09-29,74.15
2015-09-30,77.7
2015-10-01,73.85
2015-10-05,74.6
2015-10-06,78.3
2015-10-07,81.55
2015-10-08,89.75
2015-10-09,86.8
2015-10-12,87.4
2015-10-13,88.2
2015-10-14,87.65
2015-10-15,86.25
2015-10-16,86.55
2015-10-19,90.65
2015-10-20,90.2
2015-10-21,88.7
2015-10-23,87.5
2015-10-26,86.8
2015-10-27,86.35
2015-10-28,85.3
2015-10-29,85.25
2015-10-30,82.95
2015-11-02,85.15
2015-11-03,85.1
2015-11-04,82.4
2015-11-05,80.55
2015-11-06,80.85
2015-11-09,78.8
2015-11-10,79.8
2015-11-11,83.45
2015-11-13,82.7
2015-11-16,83.7
2015-11-17,85.1
2015-11-18,80.05
2015-11-19,80.35
2015-11-20,81.45
2015-11-23,81.15
2015-11-24,80.0
2015-11-26,83.5
2015-11-27,82.5
2015-11-30,84.1
2015-12-01,90.15
2015-12-02,92.2
2015-12-03,105.65
2015-12-04,102.85
2015-12-07,102.2
2015-12-08,98.95
2015-12-09,93.9
2015-12-10,96.1
2015-12-11,99.75
2015-12-14,101.35
2015-12-15,101.35
2015-12-16,101.4
2015-12-17,113.95
2015-12-18,118.55
2015-12-21,117.3
2015-12-22,118.8
2015-12-23,117.05
2015-12-24,122.35
2015-12-28,124.55
2015-12-29,122.4
2015-12-30,125.3
2015-12-31,122.7
2016-01-01,124.5
2016-01-04,121.05
2016-01-05,125.15
2016-01-06,125.9
2016-01-07,121.15
2016-01-08,124.05
2016-01-11,122.45
2016-01-12,120.35
2016-01-13,108.75
2016-01-14,103.9
2016-01-15,94.95
2016-01-18,85.7
2016-01-19,89.45
2016-01-20,86.6
2016-01-21,89.15
2016-01-22,93.4
2016-01-25,93.45
2016-01-27,88.7
2016-01-28,89.2
2016-01-29,90.25
2016-02-01,88.85
2016-02-02,87.2
2016-02-03,84.6
2016-02-04,85.4
2016-02-05,88.05
2016-02-08,80.2
2016-02-09,80.2
2016-02-10,75.05
2016-02-11,67.7
2016-02-12,68.95
2016-02-15,73.95
2016-02-16,65.2
2016-02-17,63.3
2016-02-18,71.45
2016-02-19,73.75
2016-02-22,71.95
2016-02-23,70.45
2016-02-24,66.55
2016-02-25,65.05
2016-02-26,63.3
2016-02-29,59.3
2016-03-01,66.45
2016-03-02,69.65
2016-03-03,68.3
2016-03-04,70.05
2016-03-08,69.3
2016-03-09,70.3
2016-03-10,70.8
2016-03-11,70.55
2016-03-14,70.0
2016-03-15,71.05
2016-03-16,69.55
2016-03-17,71.1
2016-03-18,71.15
2016-03-21,75.6
2016-03-22,75.75
2016-03-23,78.2
2016-03-28,74.3
2016-03-29,72.95
2016-03-30,74.55
2016-03-31,73.8
2016-04-01,81.0
2016-04-04,82.3
2016-04-05,78.25
2016-04-06,82.1
2016-04-07,81.4
2016-04-08,82.3
2016-04-11,83.1
2016-04-12,88.15
2016-04-13,86.45
2016-04-18,86.4
2016-04-20,88.0
2016-04-21,86.7
2016-04-22,87.6
2016-04-25,84.65
2016-04-26,84.8
2016-04-27,82.85
2016-04-28,80.2
2016-04-29,80.2
2016-05-02,79.6
2016-05-03,79.1
2016-05-04,77.6
2016-05-05,78.25
2016-05-06,77.2
2016-05-09,77.55
2016-05-10,77.1
2016-05-11,75.4
2016-05-12,74.2
2016-05-13,73.6
2016-05-16,71.65
2016-05-17,74.75
2016-05-18,78.45
2016-05-19,74.75
2016-05-20,73.75
2016-05-23,72.0
2016-05-24,71.7
2016-05-25,72.4
2016-05-26,73.65
2016-05-27,71.3
2016-05-30,70.8
2016-05-31,68.65
2016-06-01,67.15
2016-06-02,65.9
2016-06-03,66.0
2016-06-06,64.75
2016-06-07,66.3
2016-06-08,66.95
2016-06-09,66.35
2016-06-10,67.5
2016-06-13,64.5
2016-06-14,67.2
2016-06-15,67.3
2016-06-16,66.7
2016-06-17,66.55
2016-06-20,71.65
2016-06-21,76.9
2016-06-22,75.6
2016-06-23,72.05
2016-06-24,72.1
2016-06-27,77.05
2016-06-28,77.2
2016-06-29,83.75
2016-06-30,83.35
2016-07-01,83.55
2016-07-04,87.7
2016-07-05,85.45
2016-07-07,85.2
2016-07-08,83.85
2016-07-11,83.4
2016-07-12,80.75
2016-07-13,79.3
2016-07-14,80.15
2016-07-15,78.95
2016-07-18,78.5
2016-07-19,77.85
2016-07-20,80.85
2016-07-21,80.7
2016-07-22,82.25
2016-07-25,81.2
2016-07-26,82.25
2016-07-27,80.6
2016-07-28,83.8
2016-07-29,83.3
2016-08-01,81.7
2016-08-02,82.55
2016-08-03,82.45
2016-08-04,84.3
2016-08-05,83.75
2016-08-08,82.35
2016-08-09,77.55
2016-08-10,77.3
2016-08-11,76.4
2016-08-12,76.0
2016-08-16,76.2
2016-08-17,75.15
2016-08-18,79.05
2016-08-19,79.6
2016-08-22,79.25
2016-08-23,79.8
2016-08-24,79.15
2016-08-25,78.45
2016-08-26,77.55
