Date,MAGNUM
2013-01-01,4.2
2013-01-02,4.4
2013-01-03,4.4
2013-01-04,4.6
2013-01-07,4.8
2013-01-08,5.0
2013-01-09,5.25
2013-01-10,5.5
2013-01-11,5.75
2013-01-14,5.5
2013-01-15,5.25
2013-01-16,5.0
2013-01-17,4.85
2013-03-01,3.85
2013-03-04,3.9
2013-03-05,4.05
2013-03-06,4.0
2013-03-07,4.0
2013-03-08,4.3
2013-03-11,4.1
2013-03-12,4.25
2013-03-13,4.0
2013-03-14,3.9
2013-03-15,3.9
2013-03-18,3.85
2013-03-19,4.0
2013-03-20,3.6
2013-03-21,3.85
2013-03-22,3.95
2013-03-25,3.6
2013-03-28,3.35
2013-04-01,3.25
2013-04-02,3.2
2013-04-04,3.15
2013-04-05,3.25
2013-05-08,3.25
2013-05-09,3.1
2013-05-10,3.05
2013-05-16,2.95
2013-05-20,2.9
2013-05-21,2.8
2013-05-23,2.8
2013-05-24,2.7
2013-05-27,2.6
2013-05-28,2.65
2013-05-31,2.55
2013-06-03,2.55
2013-06-04,2.5
2013-06-06,2.4
2013-06-07,2.35
2013-06-14,2.3
2013-06-24,2.4
2013-06-25,2.3
2013-07-11,2.4
2013-07-15,2.5
2013-07-16,2.4
2013-07-17,2.35
2013-07-18,2.3
2013-07-23,2.3
2013-07-25,2.4
2013-07-29,2.3
2013-08-01,2.35
2013-08-02,2.35
2013-08-14,2.25
2013-08-16,2.25
2013-08-19,2.15
2013-08-20,2.15
2013-08-26,2.25
2013-09-04,2.35
2013-09-05,2.25
2013-09-06,2.15
2013-09-10,2.05
2013-09-11,2.0
2013-09-13,1.95
2013-09-23,2.0
2013-09-24,2.1
2013-09-25,2.2
2013-10-01,2.1
2013-10-03,2.1
2013-10-07,2.05
2013-10-08,2.15
2013-10-10,2.25
2013-10-11,2.25
2013-10-14,2.25
2013-10-15,2.35
2013-10-17,2.25
2013-10-18,2.25
2013-10-21,2.25
2013-10-22,2.25
2013-10-23,2.25
2013-10-24,2.25
2013-10-25,2.25
2013-10-28,2.25
2013-10-30,2.15
2013-11-05,2.05
2013-11-06,2.05
2013-11-07,1.95
2013-11-11,1.9
2013-11-18,1.9
2013-11-19,1.85
2013-11-20,1.8
2013-11-25,1.85
2013-11-26,1.9
2013-11-28,1.9
2013-12-02,1.95
2013-12-05,1.95
2013-12-09,1.9
2013-12-10,1.9
2013-12-12,1.9
2013-12-16,1.95
2013-12-20,2.0
2013-12-23,1.95
2013-12-30,2.0
2013-12-31,2.1
2014-01-01,2.2
2014-01-02,2.3
2014-01-03,2.4
2014-01-06,2.5
2014-01-07,2.4
2014-01-08,2.5
2014-01-09,2.6
2014-01-13,2.7
2014-01-16,2.8
2014-01-20,2.7
2014-01-22,2.6
2014-01-24,2.5
2014-02-03,2.6
2014-02-04,2.7
2014-02-05,2.7
2014-02-07,2.7
2014-02-12,2.8
2014-02-13,2.75
2014-02-14,2.85
2014-02-18,2.85
2014-02-19,2.75
2014-02-20,2.65
2014-02-21,2.6
2014-02-24,2.6
2014-02-25,2.7
2014-02-28,2.8
2014-03-03,2.7
2014-03-04,2.6
2014-03-05,2.5
2014-03-06,2.6
2014-03-07,2.5
2014-03-10,2.6
