Date,TIL
2013-01-01,212.8
2013-01-02,214.2
2013-01-03,219.55
2013-01-04,221.4
2013-01-07,224.1
2013-01-08,222.25
2013-01-09,220.1
2013-01-10,221.55
2013-01-11,212.3
2013-01-14,212.2
2013-01-15,214.65
2013-01-16,207.85
2013-01-17,206.4
2013-01-18,212.05
2013-01-21,212.55
2013-01-22,211.95
2013-01-23,212.85
2013-01-24,210.2
2013-01-25,210.0
2013-01-28,209.0
2013-01-29,210.05
2013-01-30,209.95
2013-01-31,208.1
2013-02-01,202.45
2013-02-04,197.3
2013-02-05,198.25
2013-02-06,193.9
2013-02-07,191.05
2013-02-08,188.15
2013-02-11,187.75
2013-02-12,187.8
2013-02-13,187.55
2013-02-14,184.2
2013-02-15,182.0
2013-02-18,183.8
2013-02-19,184.55
2013-02-20,181.85
2013-02-21,181.5
2013-02-22,181.4
2013-02-25,178.25
2013-02-26,170.5
2013-02-27,170.4
2013-02-28,170.55
2013-03-01,171.95
2013-03-04,164.2
2013-03-05,163.6
2013-03-06,162.0
2013-03-07,161.75
2013-03-08,162.5
2013-03-11,165.3
2013-03-12,165.9
2013-03-13,166.15
2013-03-14,168.35
2013-03-15,168.0
2013-03-18,164.55
2013-03-19,159.25
2013-03-20,150.75
2013-03-21,148.05
2013-03-22,143.85
2013-03-25,141.15
2013-03-26,140.2
2013-03-28,138.55
2013-04-01,149.05
2013-04-02,169.15
2013-04-03,166.95
2013-04-04,160.9
2013-04-05,159.3
2013-04-08,162.95
2013-04-09,158.75
2013-04-10,156.85
2013-04-11,155.85
2013-04-12,153.0
2013-04-15,152.55
2013-04-16,154.95
2013-04-17,153.75
2013-04-18,147.4
2013-04-22,148.65
2013-04-23,151.15
2013-04-25,152.7
2013-04-26,155.8
2013-04-29,152.55
2013-04-30,150.85
2013-05-02,150.25
2013-05-03,148.75
2013-05-06,151.75
2013-05-07,149.1
2013-05-08,149.3
2013-05-09,149.7
2013-05-10,150.35
2013-05-11,150.1
2013-05-13,150.65
2013-05-14,156.65
2013-05-15,175.6
2013-05-16,164.85
2013-05-17,171.65
2013-05-20,168.65
2013-05-21,162.4
2013-05-22,159.0
2013-05-23,158.0
2013-05-24,160.5
2013-05-27,160.05
2013-05-28,160.85
2013-05-29,167.65
2013-05-30,170.55
2013-05-31,166.3
2013-06-03,169.3
2013-06-04,164.4
2013-06-05,163.0
2013-06-06,168.7
2013-06-07,163.05
2013-06-10,166.4
2013-06-11,161.0
2013-06-12,160.0
2013-06-13,158.2
2013-06-14,160.0
2013-06-17,159.45
2013-06-18,160.1
2013-06-19,157.6
2013-06-20,151.5
2013-06-21,150.1
2013-06-24,136.8
2013-06-25,136.6
2013-06-26,135.05
2013-06-27,131.5
2013-06-28,131.65
2013-07-01,136.45
2013-07-02,136.6
2013-07-03,135.15
2013-07-04,136.5
2013-07-05,135.0
2013-07-08,136.4
2013-07-09,138.0
2013-07-10,138.35
2013-07-11,137.4
2013-07-12,136.0
2013-07-15,138.6
2013-07-16,136.35
2013-07-17,132.1
2013-07-18,129.55
2013-07-19,128.35
2013-07-22,125.15
2013-07-23,123.35
2013-07-24,119.85
2013-07-25,113.4
2013-07-26,112.0
2013-07-29,110.6
2013-07-30,108.85
2013-07-31,99.95
2013-08-01,97.1
2013-08-02,93.7
2013-08-05,92.45
2013-08-06,87.0
2013-08-07,87.4
2013-08-08,97.6
2013-08-12,101.05
2013-08-13,110.5
2013-08-14,112.4
2013-08-16,110.85
2013-08-19,107.9
2013-08-20,105.95
2013-08-21,104.35
2013-08-22,103.25
2013-08-23,104.55
2013-08-26,111.4
2013-08-27,110.25
2013-08-28,109.1
2013-08-29,104.85
2013-08-30,106.75
2013-09-02,108.65
2013-09-03,111.05
2013-09-04,110.65
2013-09-05,110.2
2013-09-06,110.45
2013-09-10,109.9
2013-09-11,110.6
2013-09-12,110.5
2013-09-13,107.4
2013-09-16,107.85
2013-09-17,110.35
2013-09-18,110.8
2013-09-19,110.0
2013-09-20,108.0
2013-09-23,102.7
2013-09-24,100.15
2013-09-25,99.85
2013-09-26,103.9
2013-09-27,104.6
2013-09-30,103.95
2013-10-01,106.4
2013-10-03,110.0
2013-10-04,109.85
2013-10-07,111.95
2013-10-08,115.75
2013-10-09,114.5
2013-10-10,114.7
2013-10-11,115.85
2013-10-14,116.4
2013-10-15,113.75
2013-10-17,111.0
2013-10-18,108.1
2013-10-21,114.6
2013-10-22,116.95
2013-10-23,114.35
2013-10-24,112.15
2013-10-25,113.5
2013-10-28,112.1
2013-10-29,114.75
2013-10-30,114.1
2013-10-31,115.05
2013-11-01,117.15
2013-11-03,121.1
2013-11-05,126.85
2013-11-06,130.0
2013-11-07,127.4
2013-11-08,121.25
2013-11-11,116.7
2013-11-12,110.7
2013-11-13,110.85
2013-11-14,110.15
2013-11-18,110.6
2013-11-19,115.95
2013-11-20,121.8
2013-11-21,123.0
2013-11-22,117.4
2013-11-25,115.5
2013-11-26,112.75
2013-11-27,113.8
2013-11-28,118.15
2013-11-29,126.75
2013-12-02,122.4
2013-12-03,119.75
2013-12-04,123.1
2013-12-05,119.65
2013-12-06,143.3
2013-12-09,156.35
2013-12-10,149.6
2013-12-11,147.15
2013-12-12,144.15
2013-12-13,140.55
2013-12-16,140.5
2013-12-17,137.85
2013-12-18,139.4
2013-12-19,141.9
2013-12-20,139.6
2013-12-23,144.15
2013-12-24,144.7
2013-12-26,147.85
2013-12-27,148.3
2013-12-30,145.65
2013-12-31,144.6
2014-01-01,146.4
2014-01-02,141.05
2014-01-03,141.1
2014-01-06,141.0
2014-01-07,144.6
2014-01-08,143.1
2014-01-09,138.1
2014-01-10,140.0
2014-01-13,140.05
2014-01-14,137.45
2014-01-15,138.2
2014-01-16,137.1
2014-01-17,137.35
2014-01-20,138.1
2014-01-21,138.2
2014-01-22,138.0
2014-01-23,136.8
2014-01-24,134.45
2014-01-27,130.95
2014-01-28,130.5
2014-01-29,128.05
2014-01-30,121.45
2014-01-31,121.7
2014-02-03,122.9
2014-02-04,118.9
2014-02-05,124.45
2014-02-06,124.4
2014-02-07,124.35
2014-02-10,125.15
2014-02-11,129.25
2014-02-12,124.05
2014-02-13,128.0
2014-02-14,128.75
2014-02-17,131.8
2014-02-18,131.0
2014-02-19,131.7
2014-02-20,130.0
2014-02-21,130.0
2014-02-24,127.9
2014-02-25,131.8
2014-02-26,130.95
2014-02-28,130.5
2014-03-03,131.0
2014-03-04,132.35
2014-03-05,137.85
2014-03-06,143.9
2014-03-07,146.15
2014-03-10,149.85
2014-03-11,144.25
2014-03-12,153.35
2014-03-13,163.1
2014-03-14,161.7
2014-03-18,153.65
2014-03-19,159.5
2014-03-20,157.7
2014-03-21,160.05
2014-03-22,157.9
2014-03-24,155.85
2014-03-25,153.75
2014-03-26,152.25
2014-03-27,154.45
2014-03-28,152.6
2014-03-31,153.85
2014-04-01,154.05
2014-04-02,156.95
2014-04-03,154.7
2014-04-04,158.05
2014-04-07,160.9
2014-04-09,169.85
2014-04-10,172.7
2014-04-11,180.85
2014-04-15,176.2
2014-04-16,170.8
2014-04-17,171.5
2014-04-21,174.0
2014-04-22,178.2
2014-04-23,173.8
2014-04-25,173.35
2014-04-28,176.2
2014-04-29,172.6
2014-04-30,169.95
2014-05-02,167.1
2014-05-05,168.5
2014-05-06,172.65
2014-05-07,167.95
2014-05-08,169.65
2014-05-09,169.6
2014-05-12,167.4
2014-05-13,170.85
2014-05-14,186.6
2014-05-15,174.85
2014-05-16,174.85
2014-05-19,199.5
2014-05-20,212.3
2014-05-21,254.75
2014-05-22,279.15
2014-05-23,284.2
2014-05-26,282.2
2014-05-27,273.55
2014-05-28,277.8
2014-05-29,292.8
2014-05-30,296.85
2014-06-02,287.35
2014-06-03,280.25
2014-06-04,280.9
2014-06-05,301.3
2014-06-30,390.65
2014-07-01,397.05
2014-07-02,390.05
2014-07-03,409.55
2014-07-04,430.0
2014-07-07,426.65
2014-07-08,418.05
2014-07-09,408.15
2014-07-10,428.55
2014-07-11,412.15
2014-07-14,423.7
2014-07-15,422.7
2014-07-16,429.4
2014-07-17,442.85
2014-07-18,440.35
2014-07-21,435.2
2014-07-22,437.55
2014-07-23,418.6
2014-07-24,409.35
2014-07-25,403.1
2014-07-28,407.1
2014-07-30,402.4
2014-07-31,406.2
2014-08-01,391.55
2014-08-04,400.3
2014-08-05,405.05
2014-08-06,418.35
2014-08-07,411.05
2014-08-08,401.8
2014-08-11,401.65
2014-08-12,384.85
2014-08-13,360.1
2014-08-14,351.45
2014-08-18,349.45
2014-08-19,369.15
2014-08-20,361.1
2014-08-21,375.2
2014-08-22,375.95
2014-08-25,385.0
2014-08-26,379.35
2014-08-27,379.6
2014-08-28,375.4
2014-09-01,376.95
2014-09-02,368.15
2014-09-03,354.15
2014-09-04,355.1
2014-09-05,370.25
2014-09-08,369.9
2014-09-09,367.95
2014-09-10,369.4
2014-09-11,363.7
2014-09-12,360.0
2014-09-15,360.5
2014-09-16,342.5
2014-09-17,340.1
2014-09-18,360.15
2014-09-19,393.35
2014-09-22,405.35
2014-09-23,388.95
2014-09-24,376.4
2014-09-25,354.0
2014-09-26,367.45
2014-09-29,381.35
2014-09-30,372.6
2014-10-01,371.0
2014-10-07,372.95
2014-10-08,375.15
2014-10-09,397.3
2014-10-10,386.3
2014-10-13,381.7
2014-10-14,386.15
2014-10-16,389.05
2014-10-17,377.65
2014-10-20,372.3
2014-10-21,379.05
2014-10-22,380.35
2014-10-23,391.15
2014-10-27,372.4
2014-10-28,362.95
2014-10-29,347.55
2014-10-30,354.0
2014-10-31,348.95
2014-11-03,364.85
2014-11-05,370.55
2014-11-07,367.4
2014-11-10,354.7
2014-11-11,356.1
2014-11-12,353.05
2014-11-13,393.7
2014-11-14,403.2
2014-11-17,412.8
2014-11-18,412.6
2014-11-19,410.15
2014-11-20,406.35
2014-11-21,409.65
2014-11-24,413.45
2014-11-25,397.45
2014-11-26,396.35
2014-11-27,404.25
2014-11-28,404.0
2014-12-01,396.45
2014-12-02,396.65
2014-12-03,396.15
2014-12-04,408.6
2014-12-05,409.3
2014-12-08,410.6
2014-12-09,396.4
2014-12-10,404.0
2014-12-11,402.5
2014-12-12,398.55
2014-12-15,400.6
2014-12-16,398.7
2014-12-17,391.9
2014-12-18,388.9
2014-12-19,394.5
2014-12-22,395.55
2014-12-23,399.6
2014-12-24,396.6
2014-12-26,396.15
2014-12-29,391.6
2014-12-30,384.6
2014-12-31,390.0
2015-01-01,389.15
2015-01-02,389.55
2015-01-05,388.0
2015-01-06,381.15
2015-01-07,379.2
2015-01-08,400.3
2015-01-09,398.7
2015-01-12,447.1
2015-01-13,464.0
2015-01-14,459.65
2015-01-15,489.85
2015-01-16,530.6
2015-01-19,542.2
2015-01-20,530.15
2015-01-21,517.45
2015-01-22,567.05
2015-01-23,539.1
2015-01-27,539.85
2015-01-28,525.35
2015-01-29,530.5
2015-01-30,517.15
2015-02-02,524.65
2015-02-03,548.35
2015-02-04,531.65
2015-02-05,495.75
2015-02-06,455.95
2015-02-09,447.0
2015-02-10,459.5
2015-02-11,459.1
2015-02-12,460.9
2015-02-13,459.45
2015-02-16,488.5
2015-02-18,510.8
2015-02-19,492.35
2015-02-20,485.75
2015-02-23,497.55
2015-02-24,494.75
2015-02-25,512.45
2015-02-26,505.3
2015-02-27,509.15
2015-02-28,492.1
2015-03-02,502.35
2015-03-03,525.6
2015-03-04,502.1
2015-03-05,502.8
2015-03-09,510.05
2015-03-10,509.6
2015-03-11,505.2
2015-03-12,507.4
2015-03-13,499.7
2015-03-16,489.4
2015-03-17,494.5
2015-03-18,504.95
2015-03-19,502.7
2015-03-20,488.85
2015-03-23,470.8
2015-03-24,474.85
2015-03-25,470.6
2015-03-26,469.55
2015-03-27,447.9
2015-03-30,468.15
2015-03-31,485.0
2015-04-01,500.7
2015-04-06,501.85
2015-04-07,501.3
2015-04-08,520.3
