Date,ZODJRDMKJ
2013-01-01,26.35
2013-01-02,26.25
2013-01-03,27.55
2013-01-04,28.9
2013-01-07,31.75
2013-01-08,34.1
2013-01-09,32.8
2013-01-10,31.5
2013-01-11,30.15
2013-01-14,29.45
2013-01-15,30.4
2013-01-16,28.75
2013-01-17,28.5
2013-01-18,27.7
2013-01-21,27.6
2013-01-22,27.2
2013-01-23,28.45
2013-01-24,27.4
2013-01-25,27.25
2013-01-28,27.55
2013-01-30,29.5
2013-02-01,27.15
2013-02-05,27.9
2013-02-06,28.0
2013-02-07,26.3
2013-02-08,25.45
2013-02-11,27.35
2013-02-12,26.55
2013-02-14,25.5
2013-02-15,24.75
2013-02-18,25.1
2013-02-19,25.05
2013-02-20,25.75
2013-02-21,25.3
2013-02-22,23.85
2013-02-27,23.85
2013-03-01,23.85
2013-03-06,23.85
2013-03-08,22.75
2013-03-11,24.1
2013-03-13,25.0
2013-03-14,24.2
2013-03-15,24.9
2013-03-18,24.5
2013-03-19,24.5
2013-03-21,23.05
2013-03-22,23.05
2013-03-25,22.0
2013-03-26,20.0
2013-03-28,23.6
2013-04-01,22.3
2013-04-02,23.6
2013-04-03,24.1
2013-04-05,25.5
2013-04-08,21.0
2013-04-10,20.0
2013-06-05,19.0
2013-07-01,18.05
2013-07-02,17.15
2013-07-04,16.4
2013-07-08,16.0
2013-07-09,15.9
2013-07-10,16.65
2013-07-25,17.25
2013-08-02,16.5
2013-08-26,15.8
2013-09-05,16.55
2013-09-12,16.8
2013-09-18,17.6
2013-09-19,17.5
2013-10-08,17.55
2013-10-14,17.0
2013-10-17,16.25
2013-10-24,16.0
2013-11-08,15.3
2013-11-13,16.05
2013-11-14,16.85
2013-11-18,16.5
2013-11-19,15.7
2013-12-03,16.45
2013-12-04,16.55
2013-12-12,16.5
2014-01-06,17.3
2014-01-13,17.3
2014-01-14,17.0
2014-01-15,16.15
2014-01-16,16.95
2014-01-20,17.75
2014-01-21,17.5
2014-01-29,18.35
2014-01-30,19.25
2014-01-31,20.2
2014-02-04,21.2
2014-02-07,21.5
2014-02-10,21.5
2014-02-12,22.0
2014-02-14,22.0
2014-02-18,21.0
2014-02-19,22.05
2014-02-21,23.15
2014-02-28,22.1
2014-06-13,31.55
2014-06-16,32.6
2014-06-17,31.0
2014-06-18,29.45
2014-06-19,28.0
2014-06-20,26.8
2014-06-23,27.25
2014-06-24,27.4
2014-06-25,27.15
2014-06-26,28.5
2014-06-27,29.9
2014-08-07,32.0
2014-08-08,31.0
2014-08-11,30.55
2014-08-12,30.0
2014-08-13,29.7
2014-08-14,29.15
2014-08-18,30.0
2014-08-19,29.55
2014-08-20,31.0
2014-08-21,31.0
2014-08-22,29.5
2014-08-25,29.4
2014-08-26,30.0
2014-08-27,28.5
2014-08-28,27.25
2014-09-01,28.6
2014-09-02,30.0
2014-09-03,31.5
2014-09-04,33.05
2014-09-05,35.0
2014-09-08,34.95
2014-09-09,32.6
2014-09-10,34.2
2014-09-11,34.95
2014-09-12,35.0
2014-09-15,34.35
2014-09-16,32.05
2014-09-17,31.0
2014-09-18,32.9
2014-09-19,33.0
2014-09-22,36.1
2014-09-23,39.7
2014-09-24,41.65
2014-09-25,43.7
2014-09-26,41.6
2014-09-29,42.25
2014-09-30,41.3
2014-10-01,40.25
2014-10-07,38.45
2014-10-08,37.5
2014-10-09,37.3
2014-10-13,38.0
2014-10-14,39.55
2014-10-17,37.7
2014-10-20,36.6
2014-10-21,35.9
2014-10-22,37.0
2014-10-23,38.85
2014-10-28,39.75
2014-10-29,38.3
2014-10-30,37.6
2014-10-31,35.95
2014-11-03,35.5
2014-11-05,37.2
2014-11-07,36.05
2014-11-10,35.6
2014-11-11,35.3
2014-11-12,35.65
2014-11-13,34.4
2014-11-14,34.15
2014-11-17,35.5
2014-11-18,35.8
2014-11-19,37.0
2014-11-20,33.8
2014-11-21,32.85
2014-11-24,32.15
2014-11-25,31.2
2014-11-26,33.9
2014-11-27,37.25
2014-11-28,35.4
2014-12-01,37.95
2014-12-02,38.5
2014-12-03,40.15
2014-12-04,39.25
2014-12-05,39.2
2014-12-08,41.15
2014-12-09,43.2
2014-12-10,45.35
2014-12-11,47.6
2014-12-12,49.95
2014-12-15,52.4
2014-12-16,50.25
2014-12-17,47.75
2014-12-18,46.2
2014-12-19,44.5
2014-12-22,46.7
2014-12-23,48.85
2014-12-24,48.0
2014-12-26,47.9
2014-12-29,48.05
2014-12-30,49.5
2014-12-31,47.55
2015-01-01,45.55
2015-01-02,47.4
2015-01-05,45.05
2015-01-06,43.0
2015-01-07,41.5
2015-01-08,43.55
2015-01-12,44.2
2015-01-13,46.4
2015-01-14,48.7
2015-01-15,49.95
2015-01-16,48.0
2015-01-19,47.5
2015-01-20,49.15
2015-01-21,47.45
2015-01-22,45.1
2015-01-23,43.55
2015-01-27,43.9
2015-01-28,46.05
2015-01-29,44.6
2015-01-30,43.75
2015-02-02,45.9
2015-02-03,45.6
2015-02-04,43.4
2015-02-05,43.5
2015-02-09,44.95
2015-02-10,41.65
2015-02-13,42.0
2015-02-16,43.0
2015-02-18,43.7
2015-02-19,44.0
2015-02-20,44.2
2015-02-23,44.0
2015-02-24,41.6
2015-02-25,44.0
2015-02-26,42.65
2015-02-27,45.75
2015-02-28,41.3
2015-03-02,39.4
2015-03-03,39.75
2015-03-04,41.0
2015-03-05,41.3
2015-03-09,38.5
2015-03-10,38.5
2015-03-11,38.5
2015-03-12,40.0
2015-03-13,37.45
2015-03-16,37.2
2015-03-17,39.0
2015-03-18,40.0
2015-03-19,40.0
2015-03-20,40.95
2015-03-23,37.3
2015-03-24,37.0
2015-03-25,35.0
2015-03-27,33.6
2015-03-30,40.0
2015-03-31,38.1
2015-04-01,38.1
2015-04-06,38.0
2015-04-07,41.0
2015-04-08,38.05
2015-04-09,41.95
2015-04-10,41.95
2015-04-13,39.75
2015-04-15,40.0
2015-04-16,40.0
2015-04-17,42.0
2015-04-20,43.8
2015-04-21,44.5
2015-04-22,44.8
2015-04-23,45.0
2015-04-24,53.95
2015-04-27,64.7
2015-04-28,70.35
2015-04-29,69.65
2015-04-30,69.85
2015-05-04,66.55
2015-05-05,65.4
2015-05-06,63.5
2015-05-07,62.7
2015-05-08,62.05
2015-05-11,66.7
2015-05-12,67.3
2015-05-13,62.0
2015-05-14,64.7
2015-05-15,63.7
2015-05-18,63.75
2015-05-19,63.7
2015-05-20,63.5
2015-05-21,62.55
2015-05-22,63.6
2015-05-25,61.3
2015-05-26,59.05
2015-05-27,56.75
2015-05-28,61.2
2015-05-29,61.45
2015-06-01,60.95
2015-06-02,62.9
2015-06-03,57.05
2015-06-04,54.55
2015-06-05,53.7
2015-06-08,52.7
2015-06-09,50.2
2015-06-10,50.1
2015-06-11,53.9
2015-06-12,54.1
2015-06-15,55.0
2015-06-16,51.0
2015-06-17,58.7
2015-06-18,58.95
2015-06-19,60.0
2015-06-22,59.45
2015-06-23,61.55
2015-06-24,57.3
2015-06-25,59.95
2015-06-26,61.25
2015-06-29,72.45
2015-06-30,69.55
2015-07-01,68.75
2015-07-02,69.5
2015-07-03,65.55
2015-07-06,62.25
2015-07-07,62.3
2015-07-09,61.15
2015-07-10,63.0
2015-07-13,59.25
2015-07-14,60.0
2015-07-15,60.0
2015-07-16,63.65
2015-07-17,59.95
2015-07-20,61.0
2015-07-21,59.2
2015-07-22,59.95
2015-07-23,62.7
2015-07-24,62.8
2015-07-27,60.0
2015-07-28,62.35
2015-07-29,64.0
2015-07-30,66.95
2015-07-31,64.0
2015-08-03,59.7
2015-08-04,62.35
2015-08-05,64.0
2015-08-06,62.95
2015-08-07,61.55
2015-08-10,62.15
2015-08-11,62.55
2015-08-12,62.0
2015-08-13,60.75
2015-08-14,61.95
2015-08-17,62.75
2015-08-18,62.9
2015-08-19,61.8
2015-08-20,61.65
2015-08-21,60.95
2015-08-24,53.0
2015-08-25,47.35
2015-08-26,53.0
2015-08-27,52.35
2015-08-31,49.75
2015-09-01,47.0
2015-09-03,47.0
2015-09-07,49.7
2015-09-08,46.75
2015-09-09,47.6
2015-09-10,46.0
2015-09-11,45.9
2015-09-14,44.9
2015-09-15,44.3
2015-09-16,43.45
2015-09-22,43.65
2015-09-24,44.15
2015-09-28,48.0
2015-09-29,46.0
2015-09-30,47.05
2015-10-01,47.25
2015-10-06,47.75
2015-10-12,50.8
2015-10-13,46.0
2015-10-14,45.5
2015-10-15,46.4
2015-10-16,46.55
2015-10-19,47.85
2015-10-20,49.0
2015-10-21,50.5
2015-10-26,47.0
2015-10-27,47.0
2015-10-30,47.0
2015-11-04,47.9
2015-11-05,47.75
2015-11-06,46.65
2015-11-10,47.0
2015-11-13,46.15
2015-11-16,46.6
2015-11-17,46.55
2015-11-18,45.0
2015-11-19,44.4
2015-11-20,46.6
2015-11-23,47.0
2015-11-26,49.0
2015-11-27,48.8
2015-11-30,46.8
2015-12-01,48.0
2015-12-02,49.0
2015-12-03,47.15
2015-12-09,44.8
2015-12-10,43.95
2015-12-11,43.45
2015-12-15,45.2
2015-12-18,43.65
2015-12-21,45.8
2015-12-22,46.0
2015-12-23,46.0
2015-12-24,45.05
2015-12-28,45.15
2015-12-30,47.0
2015-12-31,48.4
2016-01-06,50.8
2016-01-07,48.5
2016-01-11,47.0
2016-01-13,47.0
2016-01-14,45.05
2016-01-15,42.8
2016-01-18,40.85
2016-01-19,40.1
2016-01-20,38.1
2016-01-27,40.0
2016-01-28,38.9
2016-01-29,40.8
2016-02-01,42.45
2016-02-02,40.35
2016-02-04,38.35
2016-02-05,36.5
2016-02-11,34.7
2016-02-12,33.0
2016-02-15,33.9
2016-02-16,35.5
2016-02-18,33.75
2016-02-24,32.1
2016-03-01,33.6
2016-03-02,34.25
2016-03-04,35.55
2016-03-10,34.0
2016-03-14,34.0
2016-03-15,34.0
2016-03-18,35.7
2016-03-22,35.7
2016-03-28,33.95
2016-03-29,34.7
2016-03-30,34.4
2016-03-31,35.9
2016-04-01,34.15
2016-04-04,32.5
2016-04-05,31.9
2016-04-06,31.5
2016-04-08,33.0
2016-04-11,34.3
2016-04-13,35.9
2016-04-20,34.2
2016-04-21,35.65
2016-04-25,35.0
2016-04-26,34.9
2016-04-28,33.2
2016-05-04,34.5
2016-05-10,35.6
2016-05-11,36.8
2016-05-12,35.0
2016-05-19,33.35
2016-05-20,33.6
2016-05-23,35.25
2016-05-24,33.6
2016-05-25,35.2
2016-05-26,35.95
2016-05-27,35.9
2016-05-30,34.5
2016-06-02,36.2
2016-06-03,34.4
2016-06-07,36.1
2016-06-10,37.8
2016-06-14,38.8
2016-06-16,38.45
2016-06-17,40.35
2016-06-20,39.9
2016-06-21,38.0
2016-06-27,38.95
2016-06-28,37.05
2016-06-29,35.9
2016-06-30,37.0
2016-07-01,36.0
2016-07-04,37.0
2016-07-05,36.0
2016-07-07,34.55
2016-07-08,35.5
2016-07-11,33.9
2016-07-12,35.15
2016-07-13,34.8
2016-07-14,36.5
2016-07-15,37.0
2016-07-18,36.5
2016-07-19,38.2
2016-07-21,38.5
2016-07-22,38.6
2016-07-25,36.7
2016-07-26,34.9
2016-07-27,35.95
2016-07-28,36.5
2016-08-01,34.75
2016-08-02,36.0
2016-08-03,35.6
2016-08-04,37.2
2016-08-08,37.7
2016-08-09,39.0
2016-08-11,38.45
2016-08-12,36.55
2016-08-16,34.85
2016-08-17,36.55
2016-08-18,37.8
2016-08-19,39.55
2016-08-25,37.6
2016-08-26,35.75
