Date,UTTAMSTL
2013-01-01,65.8
2013-01-02,66.25
2013-01-03,65.7
2013-01-04,66.0
2013-01-07,68.25
2013-01-08,66.75
2013-01-09,65.3
2013-01-10,65.3
2013-01-11,63.95
2013-01-14,64.95
2013-01-15,67.25
2013-01-16,67.2
2013-01-17,69.8
2013-01-18,70.75
2013-01-21,76.8
2013-01-22,82.1
2013-01-23,86.1
2013-01-24,79.2
2013-01-25,92.7
2013-01-28,101.65
2013-01-29,105.15
2013-01-30,121.7
2013-01-31,115.7
2013-02-01,107.35
2013-02-04,107.1
2013-02-05,105.5
2013-02-06,106.2
2013-02-07,99.1
2013-02-08,91.05
2013-02-11,88.55
2013-02-12,84.5
2013-02-13,80.3
2013-02-14,76.3
2013-02-15,73.8
2013-02-18,76.75
2013-02-19,80.55
2013-02-20,83.35
2013-02-21,79.35
2013-02-22,80.15
2013-02-25,77.35
2013-02-26,73.6
2013-02-27,72.5
2013-02-28,70.3
2013-03-01,68.25
2013-03-04,65.85
2013-03-05,69.1
2013-03-06,72.55
2013-03-07,76.15
2013-03-08,79.95
2013-03-11,78.0
2013-03-12,77.75
2013-03-13,76.15
2013-03-14,77.2
2013-03-15,75.05
2013-03-18,72.8
2013-03-19,74.1
2013-03-20,77.35
2013-03-21,80.05
2013-03-22,78.4
2013-03-25,79.9
2013-03-26,76.25
2013-03-28,74.35
2013-04-01,78.05
2013-04-02,79.5
2013-04-03,76.05
2013-04-04,73.1
2013-04-05,69.65
2013-04-08,69.95
2013-04-09,67.9
2013-04-10,67.25
2013-04-11,68.0
2013-04-12,66.9
2013-04-15,67.5
2013-04-16,70.85
2013-04-17,73.95
2013-04-18,72.25
2013-04-22,72.65
2013-04-23,72.9
2013-04-25,71.8
2013-04-26,70.9
2013-04-29,70.1
2013-04-30,70.35
2013-05-02,69.65
2013-05-03,73.1
2013-05-06,73.45
2013-05-07,73.55
2013-05-08,73.25
2013-05-09,76.5
2013-05-10,77.85
2013-05-11,78.4
2013-05-13,73.25
2013-05-14,73.75
2013-05-15,73.85
2013-05-16,75.85
2013-05-17,77.5
2013-05-20,77.45
2013-05-21,77.1
2013-05-22,74.3
2013-05-23,71.15
2013-05-24,72.15
2013-05-27,71.8
2013-05-28,71.55
2013-05-29,70.05
2013-05-30,68.65
2013-05-31,68.8
2013-06-03,65.9
2013-06-04,68.25
2013-06-05,67.55
2013-06-06,67.1
2013-06-07,66.15
2013-06-10,66.65
2013-06-11,63.9
2013-06-12,63.35
2013-06-13,60.55
2013-06-14,61.95
2013-06-17,59.15
2013-06-18,61.4
2013-06-19,62.85
2013-06-20,59.8
2013-06-21,60.95
2013-06-24,60.25
2013-06-25,59.8
2013-06-26,58.2
2013-06-27,58.1
2013-06-28,59.25
2013-07-01,60.8
2013-07-02,60.2
2013-07-03,58.25
2013-07-04,58.25
2013-07-05,58.7
2013-07-08,55.55
2013-07-09,57.3
2013-07-10,56.8
2013-07-11,57.45
2013-07-12,55.4
2013-07-15,55.6
2013-07-16,55.05
2013-07-17,55.8
2013-07-18,56.3
2013-07-19,55.75
2013-07-22,55.2
2013-07-23,55.5
2013-07-24,53.5
2013-07-25,53.0
2013-07-26,52.1
2013-07-29,50.3
2013-07-30,45.95
2013-07-31,45.4
2013-08-01,45.05
2013-08-02,42.2
2013-08-05,41.15
2013-08-06,40.0
2013-08-07,41.3
2013-08-08,45.0
2013-08-12,51.7
2013-08-13,51.1
2013-08-14,51.45
2013-08-16,48.95
2013-08-19,48.35
2013-08-20,51.1
2013-08-21,48.15
2013-08-22,51.75
2013-08-23,56.25
2013-08-26,54.4
2013-08-27,51.1
2013-08-28,50.75
2013-08-29,51.85
2013-08-30,56.05
2013-09-02,55.0
2013-09-03,53.85
2013-09-04,54.6
2013-09-05,54.8
2013-09-06,56.85
2013-09-10,55.65
2013-09-11,57.4
2013-09-12,56.7
2013-09-13,56.95
2013-09-16,60.7
2013-09-17,61.3
2013-09-18,59.4
2013-09-19,60.2
2013-09-20,57.9
2013-09-23,57.45
2013-09-24,56.85
2013-09-25,54.55
2013-09-26,56.2
2013-09-27,54.5
2013-09-30,52.9
2013-10-01,52.9
2013-10-03,54.55
2013-10-04,55.2
2013-10-07,58.1
2013-10-08,56.7
2013-10-09,56.7
2013-10-10,57.05
2013-10-11,56.6
2013-10-14,56.6
2013-10-15,57.55
2013-10-17,56.1
2013-10-18,57.7
2013-10-21,58.3
2013-10-22,59.1
2013-10-23,60.8
2013-10-24,61.3
2013-10-25,59.65
2013-10-28,58.75
2013-10-29,59.85
2013-10-30,58.8
2013-10-31,58.55
2013-11-01,60.65
2013-11-03,60.95
2013-11-05,66.35
2013-11-06,70.4
2013-11-07,69.95
2013-11-08,69.6
2013-11-11,66.85
2013-11-12,62.65
2013-11-13,62.1
2013-11-14,63.3
2013-11-18,65.75
2013-11-19,67.5
2013-11-20,68.65
2013-11-21,70.3
2013-11-22,67.8
2013-11-25,68.5
2013-11-26,66.25
2013-11-27,64.85
2013-11-28,64.8
2013-11-29,66.05
2013-12-02,68.15
2013-12-03,67.8
2013-12-04,67.1
2013-12-05,70.55
2013-12-06,69.15
2013-12-09,68.4
2013-12-10,67.05
2013-12-11,66.3
2013-12-12,65.7
2013-12-13,66.3
2013-12-16,65.95
2013-12-17,64.75
2013-12-18,64.65
2013-12-19,65.2
2013-12-20,66.05
2013-12-23,68.1
2013-12-24,67.55
2013-12-26,67.55
2013-12-27,72.2
2013-12-30,70.9
2013-12-31,70.4
2014-01-01,71.75
2014-01-02,69.65
2014-01-03,70.1
2014-01-06,70.85
2014-01-07,69.3
2014-01-08,69.45
2014-01-09,69.0
2014-01-10,66.25
2014-01-13,65.95
2014-01-14,65.6
2014-01-15,69.65
2014-01-16,66.9
2014-01-17,65.75
2014-01-20,65.55
2014-01-21,65.9
2014-01-22,66.2
2014-01-23,65.75
2014-01-24,64.45
2014-01-27,61.75
2014-01-28,67.0
2014-01-29,67.05
2014-01-30,65.0
2014-01-31,64.1
2014-02-03,62.45
2014-02-04,61.65
2014-02-05,62.65
2014-02-06,62.5
2014-02-07,63.15
2014-02-10,68.25
2014-02-11,67.2
2014-02-12,65.55
2014-02-13,63.75
2014-02-14,63.35
2014-02-17,64.0
2014-02-18,63.3
2014-02-19,63.1
2014-02-20,63.7
2014-02-21,64.25
2014-02-24,64.05
2014-02-25,63.2
2014-02-26,63.15
2014-02-28,63.35
2014-03-03,62.85
2014-03-04,63.25
2014-03-05,64.5
2014-03-06,65.0
2014-03-07,65.75
2014-03-10,65.2
2014-03-11,64.15
2014-03-12,64.0
2014-03-13,64.3
2014-03-14,63.6
2014-03-18,63.4
2014-03-19,64.35
2014-03-20,63.75
2014-03-21,65.25
2014-03-22,65.7
2014-03-24,64.8
2014-03-25,64.25
2014-03-26,64.7
2014-03-27,67.15
2014-03-28,66.65
2014-03-31,69.4
2014-04-01,69.05
2014-04-02,68.7
2014-04-03,73.1
2014-04-04,71.75
2014-04-07,71.1
2014-04-09,71.85
2014-04-10,71.65
2014-04-11,70.85
2014-04-15,70.55
2014-04-16,68.15
2014-04-17,68.3
2014-04-21,69.9
2014-04-22,69.2
2014-04-23,68.8
2014-04-25,70.55
2014-04-28,69.6
2014-04-29,68.45
2014-04-30,67.6
2014-05-02,66.45
2014-05-05,67.25
2014-05-06,66.85
2014-05-07,66.65
2014-05-08,66.2
2014-05-09,67.9
2014-05-12,68.05
2014-05-13,70.7
2014-05-14,72.65
2014-05-15,71.6
2014-05-16,70.6
2014-05-19,74.3
2014-05-20,75.4
2014-05-21,79.75
2014-05-22,79.9
2014-05-23,82.5
2014-05-26,77.95
2014-05-27,76.2
2014-05-28,79.3
2014-05-29,78.45
2014-05-30,80.15
2014-06-02,80.45
2014-06-03,85.05
2014-06-04,82.35
2014-06-05,82.7
2014-06-06,85.55
2014-06-09,84.85
2014-06-10,85.45
2014-06-11,85.95
2014-06-12,84.3
2014-06-13,78.05
2014-06-16,77.45
2014-06-17,79.1
2014-06-18,78.45
2014-06-19,77.85
2014-06-20,75.65
2014-06-23,75.65
2014-06-24,77.9
2014-06-25,81.0
2014-06-26,80.45
2014-06-27,79.05
2014-06-30,79.8
2014-07-01,85.85
2014-07-02,87.8
2014-07-03,86.3
2014-07-04,86.25
2014-07-07,85.75
2014-07-08,76.9
2014-07-09,75.25
2014-07-10,75.9
2014-07-11,71.7
2014-07-14,72.0
2014-07-15,73.8
2014-07-16,75.3
2014-07-17,83.35
2014-07-18,80.05
2014-07-21,78.95
2014-07-22,79.65
2014-07-23,79.95
2014-07-24,82.95
2014-07-25,79.05
2014-07-28,76.85
2014-07-30,76.25
2014-07-31,76.15
2014-08-01,74.65
2014-08-04,76.4
2014-08-05,76.55
2014-08-06,76.75
2014-08-07,76.45
2014-08-08,73.25
2014-08-11,75.8
2014-08-12,75.8
2014-08-13,72.4
2014-08-14,72.65
2014-08-18,78.75
2014-08-19,81.1
2014-08-20,82.0
2014-08-21,80.05
2014-08-22,78.75
2014-08-25,75.6
2014-08-26,74.15
2014-08-27,73.25
2014-08-28,73.75
2014-09-01,75.2
2014-09-02,75.35
2014-09-03,75.2
2014-09-04,73.9
2014-09-05,74.4
2014-09-08,73.95
2014-09-09,74.75
2014-09-10,77.8
2014-09-11,77.7
2014-09-12,78.4
2014-09-15,76.5
2014-09-16,80.15
2014-09-17,81.3
2014-09-18,81.05
2014-09-19,80.15
2014-09-22,79.95
2014-09-23,77.75
2014-09-24,74.65
2014-09-25,72.8
2014-09-26,73.55
2014-09-29,72.75
2014-09-30,74.05
2014-10-01,73.1
2014-10-07,70.95
2014-10-08,71.5
2014-10-09,73.2
2014-10-10,70.5
2014-10-13,71.85
2014-10-14,71.7
2014-10-16,67.5
2014-10-17,68.85
2014-10-20,70.6
2014-10-21,70.55
2014-10-22,71.0
2014-10-23,71.8
2014-10-27,69.55
2014-10-28,70.35
2014-10-29,73.8
2014-10-30,72.45
2014-10-31,74.05
2014-11-03,74.75
2014-11-05,73.95
2014-11-07,73.45
2014-11-10,73.0
2014-11-11,72.6
2014-11-12,72.15
2014-11-13,71.85
2014-11-14,71.8
2014-11-17,70.95
2014-11-18,71.45
2014-11-19,70.05
2014-11-20,69.5
2014-11-21,69.15
2014-11-24,72.85
2014-11-25,70.15
2014-11-26,71.3
2014-11-27,70.95
2014-11-28,70.4
2014-12-01,69.3
2014-12-02,68.1
2014-12-03,75.4
2014-12-04,72.45
2014-12-05,72.95
2014-12-08,70.35
2014-12-09,69.45
2014-12-10,69.4
2014-12-11,68.55
2014-12-12,67.95
2014-12-15,66.4
2014-12-16,63.35
2014-12-17,62.8
2014-12-18,64.65
2014-12-19,65.05
2014-12-22,64.05
2014-12-23,63.3
2014-12-24,64.3
2014-12-26,63.7
2014-12-29,64.9
2014-12-30,65.25
2014-12-31,64.8
2015-01-01,66.2
2015-01-02,66.05
2015-01-05,65.55
2015-01-06,63.4
2015-01-07,63.0
2015-01-08,64.05
2015-01-09,63.65
2015-01-12,63.7
2015-01-13,63.85
2015-01-14,63.1
2015-01-15,63.55
2015-01-16,63.0
2015-01-19,63.15
2015-01-20,71.05
2015-01-21,71.3
2015-01-22,68.5
2015-01-23,67.9
2015-01-27,66.0
2015-01-28,65.3
2015-01-29,64.6
2015-01-30,64.95
2015-02-02,64.8
2015-02-03,65.7
2015-02-04,64.55
2015-02-05,64.55
2015-02-06,63.5
2015-02-09,60.65
2015-02-10,60.4
2015-02-11,61.7
2015-02-12,62.35
2015-02-13,62.25
