Date,ROSSELLIND
2013-01-01,47.85
2013-01-02,47.25
2013-01-03,47.25
2013-01-04,47.25
2013-01-07,48.9
2013-01-08,48.85
2013-01-09,49.0
2013-01-10,49.0
2013-01-11,48.8
2013-01-14,48.45
2013-01-15,48.15
2013-01-16,47.85
2013-01-17,46.85
2013-01-18,45.5
2013-01-21,45.95
2013-01-22,47.0
2013-01-23,46.6
2013-01-24,43.85
2013-01-25,42.2
2013-01-28,43.2
2013-01-29,43.55
2013-01-30,43.5
2013-01-31,44.6
2013-02-01,44.4
2013-02-04,43.9
2013-02-05,42.4
2013-02-06,42.95
2013-02-07,42.7
2013-02-08,42.8
2013-02-11,40.3
2013-02-12,40.1
2013-02-13,42.1
2013-02-14,42.55
2013-02-15,41.3
2013-02-18,41.1
2013-02-19,40.05
2013-02-20,40.5
2013-02-21,39.45
2013-02-22,39.0
2013-02-25,38.85
2013-02-26,39.15
2013-02-27,38.0
2013-02-28,37.65
2013-03-01,38.25
2013-03-04,37.55
2013-03-05,38.25
2013-03-06,38.0
2013-03-07,37.2
2013-03-08,36.6
2013-03-11,36.75
2013-03-12,37.0
2013-03-13,37.5
2013-03-14,37.0
2013-03-15,35.6
2013-03-18,36.0
2013-03-19,36.45
2013-03-20,37.35
2013-03-21,36.95
2013-03-22,37.6
2013-03-25,38.0
2013-03-26,39.8
2013-03-28,40.65
2013-04-01,43.1
2013-04-02,42.1
2013-04-03,40.1
2013-04-04,39.0
2013-04-05,42.3
2013-04-09,42.0
2013-04-10,41.5
2013-04-26,39.0
2013-04-30,39.0
2013-05-02,37.15
2013-05-03,42.5
2013-05-07,39.0
2013-05-08,37.0
2013-05-09,36.0
2013-05-10,40.0
2013-05-15,41.5
2013-05-24,35.15
2013-05-27,42.0
2013-05-28,38.95
2013-05-29,35.0
2013-05-30,36.9
2013-05-31,34.0
2013-06-03,33.0
2013-06-04,38.0
2013-06-06,38.1
2013-06-10,35.0
2013-06-11,38.0
2013-06-12,36.5
2013-06-13,34.0
2013-06-17,34.5
2013-06-19,37.0
2013-06-25,32.7
2013-06-26,36.0
2013-06-27,35.0
2013-06-28,35.0
2013-07-02,34.75
2013-07-05,41.0
2013-07-08,43.0
2013-07-16,38.0
2013-07-17,39.0
2013-07-19,39.0
2013-07-22,39.0
2013-07-23,36.2
2013-07-24,38.5
2013-07-31,34.0
2013-08-01,38.0
2013-08-02,33.5
2013-08-05,35.0
2013-08-08,34.1
2013-08-12,33.4
2013-08-13,39.0
2013-08-14,31.25
2013-08-16,33.0
2013-08-19,29.6
2013-08-20,30.0
2013-08-26,29.3
2013-08-29,33.25
2013-09-03,29.6
2013-09-05,34.5
2013-09-13,29.0
2013-09-16,29.25
2013-09-19,30.0
2013-09-20,29.15
