Date,ZICOM
2013-01-01,93.05
2013-01-02,91.05
2013-01-03,90.05
2013-01-04,93.05
2013-01-07,90.0
2013-01-08,87.15
2013-01-09,88.1
2013-01-10,87.55
2013-01-11,86.55
2013-01-14,86.95
2013-01-15,86.7
2013-01-16,85.85
2013-01-17,86.1
2013-01-18,83.8
2013-01-21,85.25
2013-01-22,84.05
2013-01-23,82.85
2013-01-24,83.1
2013-01-25,86.35
2013-01-28,87.95
2013-01-29,88.55
2013-01-30,87.95
2013-01-31,90.55
2013-02-01,93.25
2013-02-04,92.9
2013-02-05,90.65
2013-02-06,90.05
2013-02-07,89.95
2013-02-08,90.05
2013-02-11,93.25
2013-02-12,90.05
2013-02-13,90.2
2013-02-14,86.35
2013-02-15,87.9
2013-02-18,85.05
2013-02-19,85.95
2013-02-20,86.65
2013-02-21,84.95
2013-02-22,83.5
2013-02-25,79.5
2013-02-26,81.7
2013-02-27,80.05
2013-02-28,79.25
2013-03-01,79.2
2013-03-04,76.3
2013-03-05,78.15
2013-03-06,80.75
2013-03-07,79.9
2013-03-08,80.05
2013-03-11,79.9
2013-03-12,77.4
2013-03-13,77.0
2013-03-14,75.95
2013-03-15,76.4
2013-03-18,75.05
2013-03-19,73.95
2013-03-20,76.4
2013-03-21,75.4
2013-03-22,73.55
2013-03-25,74.3
2013-03-26,75.9
2013-03-28,75.85
2013-04-01,79.15
2013-04-02,80.6
2013-04-03,79.85
2013-04-04,79.1
2013-04-05,80.55
2013-04-08,83.1
2013-04-09,83.4
2013-04-10,84.45
2013-04-11,87.95
2013-04-12,87.75
2013-04-15,90.0
2013-04-16,91.65
2013-04-17,89.15
2013-04-18,89.05
2013-04-22,88.5
2013-04-23,87.3
2013-04-25,85.5
2013-04-26,85.7
2013-04-29,86.65
2013-04-30,85.95
2013-05-02,86.0
2013-05-03,85.65
2013-05-06,85.65
2013-05-07,86.2
2013-05-08,87.1
2013-05-09,87.3
2013-05-10,86.05
2013-05-11,85.1
2013-05-13,85.6
2013-05-14,86.95
2013-05-15,86.6
2013-05-16,89.05
2013-05-17,87.85
2013-05-20,84.9
2013-05-21,83.05
2013-05-22,83.6
2013-05-23,83.6
2013-05-24,83.1
2013-05-27,81.9
2013-05-28,83.0
2013-05-29,82.0
2013-05-30,82.05
2013-05-31,81.55
2013-06-03,81.05
2013-06-04,80.25
2013-06-05,79.45
2013-06-06,78.5
2013-06-07,75.5
2013-06-10,76.2
2013-06-11,80.35
2013-06-12,76.9
2013-06-13,78.8
2013-06-14,79.55
2013-06-17,77.35
2013-06-18,76.35
2013-06-19,74.1
2013-06-20,73.8
2013-06-21,71.6
2013-06-24,68.1
2013-06-25,67.0
2013-06-26,64.35
2013-06-27,64.0
2013-06-28,65.8
2013-07-01,66.5
2013-07-02,64.65
2013-07-03,66.1
2013-07-04,65.25
2013-07-05,70.15
2013-07-08,69.6
2013-07-09,69.4
2013-07-10,70.0
2013-07-11,69.25
2013-07-12,69.65
2013-07-15,69.75
2013-07-16,69.9
2013-07-17,71.3
2013-07-18,69.95
2013-07-19,68.4
2013-07-22,64.05
2013-07-23,65.75
