Date,COFFEEDAY
2015-11-02,270.45
2015-11-03,276.25
2015-11-04,281.6
2015-11-05,277.0
2015-11-06,271.05
2015-11-09,273.9
2015-11-10,269.8
2015-11-11,273.55
2015-11-13,265.8
2015-11-16,268.05
2015-11-17,265.55
2015-11-18,261.3
2015-11-19,260.55
2015-11-20,259.15
2015-11-23,264.85
2015-11-24,266.4
2015-11-26,266.3
2015-11-27,258.25
2015-11-30,255.35
2015-12-01,257.75
2015-12-02,257.5
2015-12-03,261.85
2015-12-04,254.8
2015-12-07,253.25
2015-12-08,257.25
2015-12-09,252.95
2015-12-10,255.85
2015-12-11,257.05
2015-12-14,253.7
2015-12-15,272.8
2015-12-16,270.25
2015-12-17,283.3
2015-12-18,285.65
2015-12-21,285.2
2015-12-22,282.85
2015-12-23,276.3
2015-12-24,279.2
2015-12-28,275.9
2015-12-29,284.95
2015-12-30,284.7
2015-12-31,283.75
2016-01-01,288.05
2016-01-04,280.45
2016-01-05,282.45
2016-01-06,274.3
2016-01-07,269.85
2016-01-08,273.0
2016-01-11,267.75
2016-01-12,265.8
2016-01-13,259.55
2016-01-14,255.6
2016-01-15,253.75
2016-01-18,243.5
2016-01-19,243.8
2016-01-20,243.65
2016-01-21,246.35
2016-01-22,250.3
2016-01-25,248.65
2016-01-27,247.55
2016-01-28,252.8
2016-01-29,263.3
2016-02-01,259.9
2016-02-02,250.55
2016-02-03,246.05
2016-02-04,244.95
2016-02-05,246.2
2016-02-08,245.8
2016-02-09,243.25
2016-02-10,242.5
2016-02-11,225.2
2016-02-12,222.45
2016-02-15,224.75
2016-02-16,225.15
2016-02-17,228.0
2016-02-18,225.15
2016-02-19,225.85
2016-02-22,225.15
2016-02-23,225.0
2016-02-24,225.1
2016-02-25,225.3
2016-02-26,225.1
2016-02-29,222.05
2016-03-01,225.05
2016-03-02,228.55
2016-03-03,232.2
2016-03-04,237.05
2016-03-08,234.25
2016-03-09,231.05
2016-03-10,226.35
2016-03-11,225.3
2016-03-14,225.1
2016-03-15,224.85
2016-03-16,225.05
2016-03-17,228.3
2016-03-18,232.8
2016-03-21,229.5
2016-03-22,228.45
2016-03-23,226.15
2016-03-28,225.0
2016-03-29,224.55
2016-03-30,225.0
2016-03-31,225.45
2016-04-01,228.6
2016-04-04,227.1
2016-04-05,226.55
2016-04-06,229.9
2016-04-07,227.95
2016-04-08,234.65
2016-04-11,233.8
2016-04-12,231.15
2016-04-13,233.85
2016-04-18,232.55
2016-04-20,246.3
2016-04-21,245.05
2016-04-22,241.9
2016-04-25,239.95
2016-04-26,235.3
2016-04-27,270.8
2016-04-28,261.95
2016-04-29,259.2
2016-05-02,261.65
2016-05-03,261.7
2016-05-04,254.2
2016-05-05,266.55
2016-05-06,260.6
2016-05-09,260.5
2016-05-10,264.95
2016-05-11,262.05
2016-05-12,264.45
2016-05-13,266.8
2016-05-16,265.8
2016-05-17,265.45
2016-05-18,264.65
2016-05-19,265.35
2016-05-20,262.45
2016-05-23,261.15
2016-05-24,253.65
2016-05-25,255.55
2016-05-26,258.55
2016-05-27,254.45
2016-05-30,255.75
2016-05-31,267.9
2016-06-01,264.95
2016-06-02,261.5
2016-06-03,256.45
2016-06-06,261.15
2016-06-07,258.55
2016-06-08,256.5
2016-06-09,256.85
2016-06-10,255.55
2016-06-13,253.45
2016-06-14,253.05
2016-06-15,253.0
2016-06-16,252.8
2016-06-17,253.65
2016-06-20,256.05
2016-06-21,252.1
2016-06-22,254.2
2016-06-23,250.7
