Date,PNC
2013-03-01,11.95
2013-03-04,11.45
2013-03-05,11.1
2013-03-06,11.3
2013-03-07,11.35
2013-03-08,11.5
2013-03-11,12.5
2013-03-12,12.0
2013-03-13,11.45
2013-03-14,12.05
2013-03-15,12.0
2013-03-18,11.0
2013-03-19,11.45
2013-03-20,11.0
2013-03-21,11.0
2013-03-22,11.0
2013-03-25,10.7
2013-03-26,10.7
2013-03-28,10.2
2013-04-01,10.3
2013-04-02,10.5
2013-04-03,10.55
2013-04-04,10.55
2013-04-05,11.2
2013-04-10,10.1
2013-04-12,10.2
2013-04-16,9.2
2013-04-23,8.95
2013-04-25,9.7
2013-04-26,9.0
2013-05-10,8.2
2013-05-14,9.4
2013-05-15,9.0
2013-05-16,8.8
2013-05-17,8.75
2013-05-20,8.55
2013-05-21,9.45
2013-05-22,8.85
2013-05-23,8.75
2013-05-24,9.95
2013-05-27,8.55
2013-05-28,9.25
2013-05-29,9.65
2013-05-31,9.05
2013-06-06,8.75
2013-06-07,9.55
2013-06-11,9.0
2013-06-12,9.9
2013-06-14,9.75
2013-06-21,10.0
2013-06-26,9.5
2013-06-27,9.0
2013-07-02,8.1
2013-07-03,8.1
2013-07-05,8.5
2013-07-09,8.5
2013-07-10,8.4
2013-07-11,8.45
2013-07-12,8.5
2013-07-15,8.5
2013-07-16,8.5
2013-07-17,8.5
2013-07-18,8.5
2013-07-19,8.5
2013-07-24,8.5
2013-07-29,8.65
2013-08-05,8.5
2013-08-07,8.1
2013-08-12,7.9
2013-08-16,7.55
2013-08-20,7.5
2013-08-21,7.45
2013-08-30,7.45
2013-09-02,7.8
2013-09-03,7.9
2013-09-04,8.25
2013-09-05,7.9
2013-09-06,7.9
2013-09-13,8.0
2013-09-20,8.35
2013-09-23,8.75
2013-09-24,9.1
2013-09-25,8.65
2013-09-26,9.05
2013-09-27,9.5
2013-09-30,9.95
2013-10-01,10.4
2013-10-03,10.7
2013-10-08,10.5
2013-10-09,11.0
2013-10-10,11.0
2013-11-29,9.3
2013-12-03,9.35
2013-12-05,9.3
2013-12-06,9.5
2013-12-09,9.75
2013-12-10,9.9
2013-12-11,9.7
2013-12-12,9.7
2013-12-17,9.25
2013-12-20,9.15
2013-12-24,9.5
2013-12-26,9.5
2013-12-27,9.95
2013-12-30,10.4
2013-12-31,10.9
2014-01-01,10.7
2014-01-08,11.2
2014-01-09,11.7
2014-01-13,11.15
2014-01-14,11.7
2014-01-15,11.95
2014-01-16,11.5
2014-01-17,11.4
2014-01-20,11.2
2014-01-21,11.5
2014-01-22,11.15
2014-01-23,11.25
2014-01-24,11.55
2014-01-27,11.05
2014-01-28,11.25
2014-01-29,11.3
2014-01-30,11.35
2014-01-31,11.9
2014-02-03,12.2
2014-02-04,12.65
2014-02-05,12.55
2014-02-06,12.35
2014-02-07,11.8
2014-02-10,11.8
2014-02-11,11.8
2014-02-12,11.25
2014-02-13,10.7
2014-02-17,11.2
2014-02-18,10.75
2014-02-19,11.05
2014-02-20,10.55
2014-02-21,11.05
2014-02-24,11.6
2014-02-25,11.95
2014-02-26,12.0
2014-02-28,12.6
2014-03-03,12.15
2014-03-04,11.8
2014-03-05,11.25
2014-03-07,11.35
2014-03-10,10.9
2014-03-11,10.4
