Date,BEARDSELL
2014-05-23,72.0
2014-05-30,70.0
2014-06-02,72.0
2014-06-04,68.4
2014-06-05,68.4
2014-06-12,65.0
2014-06-13,63.8
2014-06-16,63.8
2014-06-17,61.5
2014-06-18,64.0
2014-06-19,62.5
2014-06-23,62.5
2014-06-24,62.5
2014-06-25,63.0
2014-06-27,63.0
2014-06-30,62.0
2014-07-03,62.0
2014-07-07,62.0
2014-07-09,62.0
2014-07-10,62.0
2014-07-11,62.0
2014-07-17,59.0
2014-07-18,58.5
2014-07-21,55.6
2014-07-22,56.0
2014-07-23,58.8
2014-07-28,58.5
2014-07-31,56.0
2014-08-01,56.0
2014-08-04,56.0
2014-08-05,58.8
2014-08-06,58.8
2014-08-07,61.7
2014-08-08,60.0
2014-08-11,57.25
2014-08-12,60.0
2014-08-13,63.0
2014-08-14,64.0
2014-08-18,67.0
2014-08-19,70.35
2014-08-20,70.3
2014-08-21,70.3
2014-08-22,70.3
2014-08-25,69.75
2014-08-27,66.3
2014-08-28,63.5
2014-09-01,66.0
2014-09-03,66.0
2014-09-04,63.5
2014-09-05,60.6
2014-09-08,63.0
2014-09-09,61.0
2014-09-10,58.1
2014-09-11,58.0
2014-09-12,57.0
2014-09-15,59.0
2014-09-18,59.9
2014-09-19,62.75
2014-09-22,65.85
2014-09-23,67.0
2014-09-24,67.0
2014-09-25,65.0
2014-09-30,68.0
2014-10-01,65.9
2014-10-08,67.0
2014-10-10,64.0
2014-10-13,61.0
2014-10-14,63.7
2014-10-16,61.0
2014-10-17,60.0
2014-10-21,57.0
2014-10-27,59.0
2014-10-29,60.0
2014-11-03,60.0
2014-11-05,63.0
2014-11-07,65.0
2014-11-10,62.0
2014-11-11,62.0
2014-11-12,60.05
2014-11-13,60.05
2014-11-14,61.5
2014-11-19,61.5
2014-11-21,61.5
2014-11-24,64.0
2014-11-25,60.9
2014-12-01,57.9
2014-12-05,57.9
2014-12-08,57.9
2014-12-10,60.75
2014-12-15,60.9
2014-12-18,60.9
2014-12-19,63.8
2014-12-22,63.6
2014-12-31,61.9
2015-01-01,60.0
2015-01-02,59.9
2015-01-05,62.8
2015-01-06,65.0
2015-01-07,68.25
2015-01-08,64.85
2015-01-09,62.0
2015-01-12,58.9
2015-02-12,60.0
2015-02-18,60.0
2015-02-19,60.0
2015-02-24,57.0
2015-02-25,59.0
2015-02-26,60.0
2015-03-02,57.0
2015-03-04,55.0
2015-03-05,52.25
2015-03-09,49.75
2015-03-10,49.4
2015-03-11,49.4
2015-03-13,51.85
2015-03-16,50.0
2015-03-17,49.4
2015-03-18,46.95
2015-03-19,48.95
2015-03-20,48.95
2015-04-13,47.0
2015-04-15,45.25
2015-04-23,47.5
2015-04-27,49.85
2015-04-28,52.3
2015-05-06,54.8
2015-05-12,54.8
2015-05-14,57.5
2015-05-15,57.0
2015-05-18,56.5
2015-05-19,56.2
2015-05-20,56.0
2015-05-21,57.0
2015-05-26,56.5
2015-05-28,56.3
2015-05-29,54.0
2015-06-02,56.5
2015-06-03,57.9
2015-06-04,57.0
2015-06-08,59.0
2015-06-09,61.75
2015-06-11,60.5
2015-06-12,60.0
2015-06-15,61.5
2015-06-17,61.5
2015-06-18,59.5
2015-06-19,59.5
2015-06-24,59.5
2015-06-25,59.5
2015-06-30,57.0
2015-07-01,55.0
2015-07-06,54.0
2015-07-07,51.3
2015-07-08,50.0
2015-07-10,49.0
2015-07-13,46.55
2015-07-14,46.0
2015-07-15,45.0
2015-07-16,45.0
2015-07-17,47.25
2015-07-20,49.6
2015-07-21,49.6
2015-07-23,49.6
2015-07-24,49.6
2015-07-27,49.6
2015-07-28,47.2
2015-07-30,49.3
2015-07-31,46.85
2015-08-03,49.0
2015-08-04,51.4
2015-08-05,51.0
2015-08-06,51.0
2015-08-07,51.0
2015-08-10,50.9
2015-08-11,50.0
2015-08-12,47.75
2015-08-13,45.5
2015-08-14,47.75
2015-08-18,49.95
2015-08-19,52.4
2015-08-20,51.35
2015-08-21,49.25
2015-08-25,46.8
2015-08-26,49.1
2015-08-28,51.55
2015-09-01,51.0
2015-09-02,51.0
2015-09-04,51.0
2015-09-08,55.1
2015-09-15,56.5
2015-09-16,55.0
2015-09-22,54.9
2015-10-05,54.9
2015-10-06,55.0
2015-10-07,53.95
