Date,GAMMNINFRA
2013-01-01,15.3
2013-01-02,16.35
2013-01-03,15.85
2013-01-04,15.4
2013-01-07,15.1
2013-01-08,14.8
2013-01-09,15.05
2013-01-10,14.6
2013-01-11,14.05
2013-01-14,14.1
2013-01-15,14.2
2013-01-16,14.0
2013-01-17,14.35
2013-01-18,14.4
2013-01-21,14.1
2013-01-22,14.1
2013-01-23,13.9
2013-01-24,14.0
2013-01-25,14.0
2013-01-28,14.0
2013-01-29,13.75
2013-01-30,14.0
2013-01-31,13.65
2013-02-01,13.65
2013-02-04,13.5
2013-02-05,13.35
2013-02-06,13.15
2013-02-07,13.0
2013-02-08,12.55
2013-02-11,12.8
2013-02-12,12.75
2013-02-13,12.65
2013-02-14,12.55
2013-02-15,12.15
2013-02-18,12.1
2013-02-19,12.45
2013-02-20,12.25
2013-02-21,12.15
2013-02-22,11.9
2013-02-25,11.8
2013-02-26,11.5
2013-02-27,12.05
2013-02-28,12.45
2013-03-01,12.3
2013-03-04,11.6
2013-03-05,12.45
2013-03-06,12.25
2013-03-07,12.15
2013-03-08,12.0
2013-03-11,11.65
2013-03-12,11.3
2013-03-13,11.8
2013-03-14,11.95
2013-03-15,11.8
2013-03-18,11.45
2013-03-19,11.2
2013-03-20,11.05
2013-03-21,10.2
2013-03-22,9.9
2013-03-25,10.6
2013-03-26,11.0
2013-03-28,11.5
2013-04-01,11.5
2013-04-02,11.45
2013-04-03,11.5
2013-04-04,11.25
2013-04-05,11.25
2013-04-08,11.0
2013-04-09,11.0
2013-04-10,10.9
2013-04-11,10.65
2013-04-12,10.7
2013-04-15,10.8
2013-04-16,10.7
2013-04-17,11.0
2013-04-18,10.8
2013-04-22,10.75
2013-04-23,10.65
2013-04-25,11.0
2013-04-26,11.0
2013-04-29,10.9
2013-04-30,11.25
2013-05-02,11.1
2013-05-03,11.6
2013-05-06,11.25
2013-05-07,11.0
2013-05-08,10.9
2013-05-09,10.7
2013-05-10,11.05
2013-05-11,11.05
2013-05-13,10.75
2013-05-14,10.55
2013-05-15,10.7
2013-05-16,11.05
2013-05-17,10.9
2013-05-20,10.95
2013-05-21,10.85
2013-05-22,10.7
2013-05-23,10.2
2013-05-24,10.7
2013-05-27,10.45
2013-05-28,10.25
2013-05-29,10.1
2013-05-30,10.5
2013-05-31,10.75
2013-06-03,10.95
2013-06-04,10.75
2013-06-05,10.6
2013-06-06,10.75
2013-06-07,10.75
2013-06-10,10.15
2013-06-11,10.15
2013-06-12,9.8
2013-06-13,9.4
2013-06-14,9.6
2013-06-17,9.6
2013-06-18,9.85
2013-06-19,9.6
2013-06-20,9.4
2013-06-21,9.25
2013-06-24,9.2
2013-06-25,8.95
2013-06-26,9.0
2013-06-27,9.0
2013-06-28,9.2
2013-07-01,9.4
2013-07-02,9.7
2013-07-03,9.4
2013-07-04,9.35
2013-07-05,9.4
2013-07-08,9.25
2013-07-09,9.2
2013-07-10,9.25
2013-07-11,9.25
2013-07-12,9.15
2013-07-15,9.0
2013-07-16,8.9
2013-07-17,8.9
2013-07-18,8.85
2013-07-19,8.8
2013-07-22,8.7
2013-07-23,8.55
2013-07-24,8.5
2013-07-25,8.5
2013-07-26,8.5
2013-07-29,8.25
2013-07-30,8.35
2013-07-31,8.35
2013-08-01,8.0
2013-08-02,7.65
2013-08-05,7.85
2013-08-06,7.4
2013-08-07,7.25
2013-08-08,7.45
2013-08-12,7.6
2013-08-13,7.55
2013-08-14,7.6
2013-08-16,7.35
2013-08-19,7.3
2013-08-20,7.3
2013-08-21,7.35
2013-08-22,7.15
2013-08-23,7.2
2013-08-26,7.15
2013-08-27,6.7
2013-08-28,6.9
2013-08-29,6.65
2013-08-30,6.75
2013-09-02,6.7
