Date,ECEIND
2013-01-01,125.0
2013-01-02,122.6
2013-01-03,123.6
2013-01-04,125.0
2013-01-07,125.0
2013-01-08,119.95
2013-01-09,125.25
2013-01-10,122.9
2013-01-11,119.6
2013-01-14,119.65
2013-01-15,115.7
2013-01-16,116.4
2013-01-17,112.8
2013-01-18,115.25
2013-01-21,117.8
2013-01-22,115.25
2013-01-23,114.65
2013-01-24,114.0
2013-01-25,115.15
2013-01-28,115.45
2013-01-29,117.0
2013-01-30,115.0
2013-01-31,116.85
2013-02-01,117.0
2013-02-04,115.0
2013-02-05,116.05
2013-02-06,115.0
2013-02-07,118.45
2013-02-08,115.1
2013-02-11,115.25
2013-02-12,113.45
2013-02-13,115.0
2013-02-15,115.0
2013-02-18,115.0
2013-02-19,113.0
2013-02-20,112.25
2013-02-21,128.0
2013-02-22,116.05
2013-02-25,135.65
2013-02-26,131.5
2013-02-27,134.9
2013-02-28,135.35
2013-03-01,127.3
2013-03-04,133.05
2013-03-05,126.05
2013-03-06,128.0
2013-03-07,128.9
2013-03-08,125.85
2013-03-11,127.65
2013-03-12,126.1
2013-03-13,121.65
2013-03-14,125.5
2013-03-18,123.3
2013-03-19,123.0
2013-03-20,122.95
2013-03-21,123.4
2013-03-22,129.05
2013-03-25,134.5
2013-03-26,125.65
2013-03-28,125.35
2013-04-01,122.6
2013-04-02,121.0
2013-04-03,120.0
2013-04-04,121.0
2013-04-05,118.1
2013-04-08,115.8
2013-04-09,111.7
2013-04-10,107.65
2013-04-11,105.6
2013-04-12,106.65
2013-04-15,106.3
2013-04-16,107.0
2013-04-17,107.8
2013-04-18,107.05
2013-04-22,107.8
2013-04-23,106.3
2013-04-25,109.65
2013-04-26,108.0
2013-04-29,108.0
2013-04-30,107.05
2013-05-02,108.0
2013-05-03,112.0
2013-05-06,109.0
2013-05-07,113.5
2013-05-08,110.0
2013-05-09,114.0
2013-05-10,110.1
2013-05-11,108.25
2013-05-13,107.95
2013-05-14,106.55
2013-05-15,108.1
2013-05-16,105.25
2013-05-17,109.5
2013-05-20,130.9
2013-05-21,125.85
2013-05-22,118.35
2013-05-23,119.25
2013-05-24,115.45
2013-05-27,123.45
2013-05-28,118.1
2013-05-29,115.2
2013-05-30,116.45
2013-05-31,116.75
2013-06-03,123.35
2013-06-04,116.6
2013-06-05,116.6
2013-06-06,116.45
2013-06-07,116.25
2013-06-10,113.25
2013-06-11,109.85
2013-06-12,114.95
2013-06-13,110.15
2013-06-14,109.15
2013-06-17,109.6
2013-06-18,109.05
2013-06-19,107.85
2013-06-20,106.05
2013-06-21,105.4
2013-06-24,104.15
2013-06-25,101.2
2013-06-26,102.1
2013-06-27,102.1
2013-06-28,105.0
2013-07-01,109.0
2013-07-03,107.85
2013-07-04,105.05
2013-07-05,110.65
2013-07-08,110.0
2013-07-09,103.1
2013-07-10,107.95
2013-07-11,104.9
2013-07-12,102.1
2013-07-15,106.0
2013-07-16,105.0
2013-07-17,105.0
2013-07-18,106.4
2013-07-19,107.95
2013-07-22,101.95
2013-07-23,101.15
2013-07-24,100.05
2013-07-25,103.6
2013-07-26,103.45
2013-07-29,96.45
2013-07-30,91.0
2013-07-31,89.6
2013-08-01,95.4
2013-08-02,96.0
2013-08-05,88.1
2013-08-06,92.5
2013-08-07,86.5
2013-08-08,86.15
2013-08-12,87.5
2013-08-13,90.4
2013-08-14,87.25
2013-08-16,80.85
2013-08-19,80.5
2013-08-20,79.8
2013-08-21,77.7
2013-08-22,73.9
2013-08-23,75.85
2013-08-26,73.8
2013-08-27,75.75
2013-08-28,79.85
2013-08-29,77.0
2013-08-30,81.4
2013-09-02,84.5
2013-09-03,83.95
2013-09-04,80.05
2013-09-05,81.5
2013-09-06,88.45
2013-09-10,92.9
2013-09-11,86.45
2013-09-12,89.35
2013-09-13,88.65
2013-09-16,88.0
2013-09-17,85.2
2013-09-18,89.85
2013-09-19,90.0
2013-09-20,86.1
2013-09-23,91.35
2013-09-24,91.1
2013-09-25,87.3
2013-09-26,92.45
2013-09-27,87.0
2013-09-30,87.45
2013-10-03,86.75
2013-10-04,92.85
2013-10-07,87.05
2013-10-08,84.65
2013-10-09,84.2
2013-10-10,82.45
2013-10-11,85.25
2013-10-14,81.75
2013-10-15,86.9
2013-10-17,83.55
2013-10-18,84.05
2013-10-21,84.5
2013-10-22,90.5
2013-10-23,89.35
2013-10-24,85.05
2013-10-25,85.0
2013-10-30,85.6
2013-10-31,83.1
2013-11-01,83.35
2013-11-03,84.65
2013-11-05,88.6
2013-11-06,83.3
2013-11-07,85.0
2013-11-08,83.2
2013-11-11,86.95
2013-11-12,81.5
2013-11-13,79.15
2013-11-14,81.1
2013-11-18,84.4
2013-11-19,85.0
2013-11-20,82.15
2013-11-21,83.6
2013-11-22,94.4
2013-11-25,89.95
2013-11-26,88.6
2013-11-27,89.05
2013-11-28,89.95
2013-11-29,87.5
2013-12-02,87.5
2013-12-03,85.4
2013-12-04,85.1
2013-12-05,84.8
2013-12-06,86.6
2013-12-09,85.05
2013-12-11,84.95
2013-12-12,83.05
2013-12-13,81.05
2013-12-17,82.5
2013-12-18,82.35
2013-12-19,81.4
2013-12-20,79.75
2013-12-23,79.0
2013-12-24,79.4
2013-12-26,82.55
2013-12-27,82.1
2013-12-30,80.5
2013-12-31,84.3
2014-01-01,85.8
2014-01-02,82.8
2014-01-03,81.95
2014-01-06,82.6
2014-01-07,83.85
2014-01-08,83.8
2014-01-09,82.1
2014-01-10,83.4
2014-01-13,81.8
