Date,ONWARDTEC
2013-01-01,41.2
2013-01-02,41.5
2013-01-03,42.0
2013-01-04,43.3
2013-01-07,43.45
2013-01-08,42.5
2013-01-09,43.5
2013-01-10,43.5
2013-01-11,42.95
2013-01-14,43.15
2013-01-15,41.75
2013-01-16,41.85
2013-01-17,42.0
2013-01-18,42.65
2013-01-21,42.2
2013-01-22,41.55
2013-01-23,41.5
2013-01-24,42.85
2013-01-25,43.05
2013-01-28,41.75
2013-01-29,41.55
2013-01-30,42.6
2013-01-31,42.5
2013-02-01,41.3
2013-02-04,41.15
2013-02-05,41.85
2013-02-06,41.2
2013-02-07,41.35
2013-02-08,40.75
2013-02-11,41.6
2013-02-12,41.9
2013-02-13,42.6
2013-02-14,42.0
2013-02-15,43.0
2013-02-18,43.7
2013-02-19,44.05
2013-02-20,43.95
2013-02-21,43.5
2013-02-22,44.4
2013-02-25,44.15
2013-02-26,42.4
2013-02-27,42.25
2013-02-28,42.2
2013-03-01,43.0
2013-03-04,42.55
2013-03-05,42.5
2013-03-06,42.1
2013-03-07,42.85
2013-03-08,43.15
2013-03-11,42.25
2013-03-12,43.05
2013-03-13,43.0
2013-03-14,42.6
2013-03-15,43.1
2013-03-18,43.3
2013-03-19,44.3
2013-03-20,45.1
2013-03-21,43.5
2013-03-22,42.5
2013-03-25,40.55
2013-03-26,39.65
2013-03-28,40.5
2013-04-01,39.65
2013-04-02,38.55
2013-04-03,39.55
2013-04-04,40.95
2013-04-05,40.2
2013-04-08,41.0
2013-04-09,40.25
2013-04-10,40.0
2013-04-11,40.2
2013-04-12,39.0
2013-04-15,39.0
2013-04-16,38.95
2013-04-17,40.6
2013-04-18,40.2
2013-04-22,40.95
2013-04-23,41.75
2013-04-25,41.0
2013-04-26,42.05
2013-04-29,42.2
2013-04-30,41.85
2013-05-02,41.9
2013-05-03,41.5
2013-05-06,40.55
2013-05-08,40.0
2013-05-09,39.9
2013-05-10,40.0
2013-05-13,38.85
2013-05-14,38.5
2013-05-15,38.55
2013-05-16,38.1
2013-05-17,38.05
2013-05-20,39.05
2013-05-21,37.85
2013-05-22,37.6
2013-05-23,38.2
2013-05-24,37.95
2013-05-27,37.8
2013-05-28,37.65
2013-05-29,38.95
2013-05-30,37.7
2013-05-31,39.0
2013-06-03,38.25
2013-06-04,37.9
2013-06-05,37.6
2013-06-06,39.0
2013-06-07,38.15
2013-06-10,39.55
2013-06-11,39.2
2013-06-12,38.45
2013-06-13,39.5
2013-06-14,39.0
2013-06-17,39.25
2013-06-18,39.05
2013-06-19,39.45
2013-06-20,38.7
2013-06-21,39.4
2013-06-24,39.35
2013-06-25,39.4
2013-06-26,40.45
2013-06-27,39.15
2013-06-28,39.8
2013-07-01,40.45
2013-07-02,40.1
2013-07-03,40.6
2013-07-04,39.1
2013-07-08,39.55
2013-07-09,39.5
2013-07-10,39.5
2013-07-11,40.5
2013-07-12,40.45
2013-07-15,41.45
2013-07-16,41.35
2013-07-17,38.55
2013-07-18,38.05
2013-07-19,38.15
2013-07-22,37.7
2013-07-23,37.85
