Date,TVSMOTOR
2013-01-01,42.6
2013-01-02,42.05
2013-01-03,42.75
2013-01-04,45.25
2013-01-07,47.35
2013-01-08,46.9
2013-01-09,46.75
2013-01-10,48.65
2013-01-11,48.1
2013-01-14,48.25
2013-01-15,47.3
2013-01-16,45.35
2013-01-17,45.65
2013-01-18,45.95
2013-01-21,45.35
2013-01-22,44.4
2013-01-23,44.15
2013-01-24,43.0
2013-01-25,43.05
2013-01-28,43.8
2013-01-29,43.95
2013-01-30,43.2
2013-01-31,43.85
2013-02-01,42.5
2013-02-04,41.95
2013-02-05,41.2
2013-02-06,41.15
2013-02-07,40.35
2013-02-08,40.1
2013-02-11,40.45
2013-02-12,40.1
2013-02-13,40.7
2013-02-14,39.55
2013-02-15,39.7
2013-02-18,40.15
2013-02-19,42.4
2013-02-20,42.45
2013-02-21,42.1
2013-02-22,41.05
2013-02-25,40.9
2013-02-26,39.85
2013-02-27,39.05
2013-02-28,38.45
2013-03-01,38.7
2013-03-04,38.05
2013-03-05,38.55
2013-03-06,38.7
2013-03-07,39.3
2013-03-08,39.7
2013-03-11,40.0
2013-03-12,39.5
2013-03-13,38.45
2013-03-14,36.95
2013-03-15,34.5
2013-03-18,34.0
2013-03-19,33.45
2013-03-20,32.8
2013-03-21,32.45
2013-03-22,32.5
2013-03-25,32.2
2013-03-26,32.9
2013-03-28,32.3
2013-04-01,31.95
2013-04-02,31.8
2013-04-03,33.95
2013-04-04,34.1
2013-04-05,36.15
2013-04-08,39.75
2013-04-09,35.1
2013-04-10,35.85
2013-04-11,35.5
2013-04-12,35.6
2013-04-15,35.4
2013-04-16,36.05
2013-04-17,36.35
2013-04-18,36.5
2013-04-22,36.5
2013-04-23,36.2
2013-04-25,37.6
2013-04-26,37.75
2013-04-29,39.15
2013-04-30,38.35
2013-05-02,40.0
2013-05-03,39.25
2013-05-06,40.85
2013-05-07,41.35
2013-05-08,41.35
2013-05-09,40.9
2013-05-10,40.25
2013-05-11,40.1
2013-05-13,39.6
2013-05-14,38.5
2013-05-15,39.7
2013-05-16,39.1
2013-05-17,39.2
2013-05-20,38.85
2013-05-21,38.55
2013-05-22,37.65
2013-05-23,36.7
2013-05-24,36.95
2013-05-27,36.7
2013-05-28,36.65
2013-05-29,36.4
2013-05-30,37.55
2013-05-31,35.9
2013-06-03,35.85
2013-06-04,36.4
2013-06-05,35.9
2013-06-06,35.8
2013-06-07,35.3
2013-06-10,35.05
2013-06-11,35.0
2013-06-12,34.75
2013-06-13,34.7
2013-06-14,34.05
2013-06-17,34.0
2013-06-18,34.1
2013-06-19,34.0
2013-06-20,33.7
2013-06-21,32.55
2013-06-24,31.7
2013-06-25,31.2
2013-06-26,31.45
2013-06-27,32.05
2013-06-28,32.85
2013-07-01,33.3
2013-07-02,33.05
2013-07-03,33.1
2013-07-04,32.75
2013-07-05,32.7
2013-07-08,31.85
2013-07-09,32.25
2013-07-10,32.15
2013-07-11,32.4
2013-07-12,32.3
2013-07-15,32.4
2013-07-16,31.9
2013-07-17,31.7
2013-07-18,31.7
2013-07-19,32.3
2013-07-22,32.85
2013-07-23,32.55
2013-07-24,31.65
2013-07-25,31.7
2013-07-26,31.2
2013-07-29,30.5
2013-07-30,29.3
2013-07-31,31.15
2013-08-01,30.8
2013-08-02,31.25
2013-08-05,30.4
2013-08-06,29.6
2013-08-07,29.75
2013-08-08,31.55
2013-08-12,32.35
2013-08-13,32.15
2013-08-14,32.1
2013-08-16,30.7
2013-08-19,29.9
2013-08-20,30.1
2013-08-21,30.9
2013-08-22,30.95
2013-08-23,30.95
2013-08-26,30.55
2013-08-27,29.9
2013-08-28,29.35
2013-08-29,30.55
2013-08-30,30.65
2013-09-02,31.0
2013-09-03,29.55
2013-09-04,29.65
2013-09-05,30.5
2013-09-06,30.2
2013-09-10,30.4
2013-09-11,30.7
2013-09-12,30.5
2013-09-13,32.1
2013-09-16,33.8
2013-09-17,33.9
2013-09-18,33.2
2013-09-19,34.25
2013-09-20,33.45
2013-09-23,33.7
2013-09-24,34.9
2013-09-25,34.5
2013-09-26,35.85
2013-09-27,36.25
2013-09-30,36.85
2013-10-01,40.15
2013-10-03,38.65
2013-10-04,41.95
2013-10-07,44.85
2013-10-08,45.5
2013-10-09,45.8
2013-10-10,47.25
2013-10-11,46.85
2013-10-14,45.9
2013-10-15,43.95
2013-10-17,45.6
2013-10-18,48.6
2013-10-21,49.75
2013-10-22,51.7
2013-10-23,49.7
2013-10-24,49.65
2013-10-25,50.7
2013-10-28,49.3
2013-10-29,49.6
2013-10-30,49.7
2013-10-31,50.75
2013-11-01,49.95
2013-11-03,50.2
2013-11-05,50.15
2013-11-06,49.3
2013-11-07,49.55
2013-11-08,49.45
2013-11-11,47.15
2013-11-12,48.95
2013-11-13,47.7
2013-11-14,50.2
2013-11-18,49.35
2013-11-19,50.4
2013-11-20,49.75
2013-11-21,48.95
2013-11-22,50.95
2013-11-25,53.65
2013-11-26,53.7
2013-11-27,53.35
2013-11-28,53.3
2013-11-29,54.75
2013-12-02,54.8
2013-12-03,54.35
2013-12-04,54.1
2013-12-05,54.7
2013-12-06,55.0
2013-12-09,54.7
2013-12-10,53.55
2013-12-11,52.85
2013-12-12,53.65
2013-12-13,53.65
2013-12-16,54.05
2013-12-17,56.2
2013-12-18,57.85
2013-12-19,60.85
2013-12-20,64.0
2013-12-23,66.7
2013-12-24,65.2
2013-12-26,64.3
2013-12-27,68.7
2013-12-30,79.05
2013-12-31,75.95
2014-01-01,73.35
2014-01-02,78.1
2014-01-03,78.95
2014-01-06,76.65
2014-01-07,74.9
2014-01-08,74.65
2014-01-09,71.85
2014-01-10,70.6
2014-01-13,71.7
2014-01-14,75.8
2014-01-15,73.85
2014-01-16,73.15
2014-01-17,70.85
2014-01-20,71.45
2014-01-21,71.5
2014-01-22,70.5
2014-01-23,70.5
2014-01-24,67.5
2014-01-27,67.35
2014-01-28,67.75
2014-01-29,70.9
2014-01-30,74.35
2014-01-31,77.7
2014-02-03,79.35
2014-02-04,84.7
2014-02-05,83.45
2014-02-06,82.8
2014-02-07,79.35
2014-02-10,81.1
2014-02-11,83.15
2014-02-12,82.25
2014-02-13,80.3
2014-02-14,80.3
2014-02-17,82.6
2014-02-18,82.15
2014-02-19,82.9
2014-02-20,82.45
2014-02-21,82.7
2014-02-24,84.0
2014-02-25,85.85
2014-02-26,85.45
2014-02-28,86.0
2014-03-03,87.75
2014-03-04,87.35
2014-03-05,87.3
2014-03-06,87.35
2014-03-07,86.5
2014-03-10,86.85
2014-03-11,86.1
2014-03-12,86.6
2014-03-13,86.5
2014-03-14,86.4
2014-03-18,88.9
2014-03-19,89.8
2014-03-20,93.65
2014-03-21,96.1
2014-03-22,99.05
2014-03-24,96.2
2014-03-25,97.05
2014-03-26,95.85
