Date,SMSPHARMA
2013-01-01,185.0
2013-01-02,183.5
2013-01-03,184.9
2013-01-04,187.45
2013-01-07,191.1
2013-01-08,192.5
2013-01-09,193.0
2013-01-10,191.15
2013-01-11,192.9
2013-01-14,190.3
2013-01-15,197.65
2013-01-16,194.85
2013-01-17,192.4
2013-01-18,190.35
2013-01-21,191.0
2013-01-22,194.0
2013-01-23,197.75
2013-01-24,193.4
2013-01-25,191.55
2013-01-28,192.0
2013-01-29,194.5
2013-01-30,194.3
2013-01-31,193.5
2013-02-01,195.05
2013-02-04,196.55
2013-02-05,194.5
2013-02-06,198.65
2013-02-07,194.25
2013-02-08,194.0
2013-02-11,191.75
2013-02-12,190.65
2013-02-13,190.85
2013-02-14,192.05
2013-02-15,192.15
2013-02-18,196.3
2013-02-19,208.55
2013-02-20,209.85
2013-02-21,207.0
2013-02-22,215.8
2013-02-25,213.9
2013-02-26,219.8
2013-02-27,225.8
2013-02-28,221.15
2013-03-01,214.7
2013-03-04,209.05
2013-03-05,212.4
2013-03-06,210.25
2013-03-07,209.3
2013-03-08,211.0
2013-03-11,210.9
2013-03-12,210.8
2013-03-13,209.1
2013-03-14,208.45
2013-03-15,206.3
2013-03-18,207.5
2013-03-19,210.9
2013-03-20,202.0
2013-03-21,199.75
2013-03-22,201.4
2013-03-25,207.9
2013-03-26,200.2
2013-03-28,195.7
2013-04-01,202.6
2013-04-02,210.9
2013-04-03,208.5
2013-04-04,207.95
2013-04-05,208.0
2013-04-08,205.3
2013-04-09,204.6
2013-04-10,204.3
2013-04-11,205.05
2013-04-12,205.0
2013-04-15,214.55
2013-04-16,210.2
2013-04-17,212.0
2013-04-18,211.05
2013-04-22,211.25
2013-04-23,214.2
2013-04-25,218.55
2013-04-26,215.4
2013-04-29,216.0
2013-04-30,217.0
2013-05-02,215.95
2013-05-03,217.0
2013-05-06,220.6
2013-05-07,241.3
2013-05-08,232.6
2013-05-09,227.8
2013-05-10,225.35
2013-05-13,224.15
2013-05-14,229.15
2013-05-15,230.2
2013-05-16,233.75
2013-05-17,236.5
2013-05-20,240.0
2013-05-21,241.7
2013-05-22,237.1
2013-05-23,236.35
2013-05-24,241.3
2013-05-27,243.95
2013-05-28,243.3
2013-05-29,249.5
2013-05-30,249.65
2013-05-31,249.95
2013-06-03,250.0
2013-06-04,249.7
2013-06-05,252.2
2013-06-06,257.95
2013-06-07,255.8
2013-06-10,261.45
2013-06-11,262.75
2013-06-12,264.8
2013-06-13,265.0
2013-06-14,269.6
2013-06-17,269.4
2013-06-18,270.0
2013-06-19,269.0
2013-06-20,267.95
2013-06-21,240.05
2013-06-24,221.85
2013-06-25,224.4
2013-06-26,244.85
2013-06-27,231.15
2013-06-28,238.95
2013-07-01,235.6
2013-07-02,234.6
2013-07-03,233.0
2013-07-04,231.5
2013-07-05,232.1
2013-07-08,230.0
2013-07-09,234.0
2013-07-10,231.45
2013-07-11,231.2
2013-07-12,234.85
2013-07-15,230.1
2013-07-16,230.0
2013-07-17,226.5
2013-07-18,230.0
2013-07-19,220.5
2013-07-22,212.5
2013-07-23,223.8
2013-07-24,220.05
2013-07-25,223.65
2013-07-26,218.85
2013-07-29,214.0
2013-07-30,203.05
2013-07-31,203.15
2013-08-01,196.25
2013-08-02,185.45
2013-08-05,180.2
2013-08-06,166.95
2013-08-07,178.95
2013-08-08,171.15
2013-08-12,183.95
2013-08-13,174.85
2013-08-14,179.45
2013-08-16,178.45
2013-08-19,180.85
2013-08-20,175.2
2013-08-21,176.05
2013-08-22,161.25
2013-08-23,157.75
2013-08-26,162.7
2013-08-27,165.0
2013-08-28,155.1
2013-08-29,164.15
2013-08-30,161.15
2013-09-03,160.95
2013-09-04,164.45
2013-09-05,165.0
2013-09-06,165.0
2013-09-10,169.9
2013-09-11,170.0
2013-09-12,163.0
2013-09-13,178.0
2013-09-16,176.1
2013-09-17,175.0
2013-09-18,172.2
2013-09-19,174.65
2013-09-20,175.15
2013-09-23,172.0
2013-09-24,172.1
2013-09-25,172.0
2013-09-26,175.0
2013-09-27,174.1
2013-09-30,169.0
2013-10-01,167.05
2013-10-03,168.45
2013-10-07,165.05
2013-10-08,168.0
2013-10-09,170.0
2013-10-10,166.0
2013-10-11,167.95
2013-10-14,162.0
2013-10-18,162.0
2013-10-21,164.5
2013-10-25,162.05
2013-10-28,162.1
2013-10-29,162.0
2013-10-31,183.0
2013-11-01,165.0
2013-11-03,150.0
2013-11-05,164.0
2013-11-06,168.0
2013-11-07,164.1
2013-11-08,164.95
2013-11-11,164.0
2013-11-13,165.0
2013-11-19,165.0
2013-11-20,160.0
2013-11-21,153.05
2013-11-22,168.0
2013-11-26,165.1
2013-11-27,165.0
2013-11-28,165.1
2013-11-29,165.0
2013-12-02,156.1
2013-12-03,160.0
2013-12-04,163.2
2013-12-05,166.0
