Date,PFOCUS
2013-01-01,44.25
2013-01-02,45.35
2013-01-03,47.35
2013-01-04,45.95
2013-01-07,46.4
2013-01-08,47.5
2013-01-09,46.4
2013-01-10,46.1
2013-01-11,44.55
2013-01-14,45.35
2013-01-15,45.75
2013-01-16,44.3
2013-01-17,44.2
2013-01-18,44.55
2013-01-21,45.8
2013-01-22,45.3
2013-01-23,46.0
2013-01-24,45.4
2013-01-25,48.95
2013-01-28,51.1
2013-01-29,48.75
2013-01-30,48.05
2013-01-31,48.45
2013-02-01,47.8
2013-02-04,47.1
2013-02-05,46.0
2013-02-06,46.45
2013-02-07,45.5
2013-02-08,45.0
2013-02-11,44.95
2013-02-12,43.9
2013-02-13,44.45
2013-02-14,44.5
2013-02-15,43.5
2013-02-18,42.65
2013-02-19,43.0
2013-02-20,43.0
2013-02-21,42.75
2013-02-22,44.3
2013-02-25,42.95
2013-02-26,42.65
2013-02-27,42.55
2013-02-28,42.0
2013-03-01,41.95
2013-03-04,42.05
2013-03-05,42.35
2013-03-06,42.5
2013-03-07,42.9
2013-03-08,43.35
2013-03-11,42.75
2013-03-12,42.65
2013-03-13,42.15
2013-03-14,42.1
2013-03-15,42.1
2013-03-18,42.0
2013-03-19,41.75
2013-03-20,41.55
2013-03-21,41.4
2013-03-22,41.3
2013-03-25,41.75
2013-03-26,41.4
2013-03-28,41.85
2013-04-01,41.3
2013-04-02,42.25
2013-04-03,41.4
2013-04-04,41.15
2013-04-05,41.85
2013-04-08,41.8
2013-04-09,41.3
2013-04-10,41.0
2013-04-11,40.95
2013-04-12,40.5
2013-04-15,40.1
2013-04-16,41.05
2013-04-17,40.85
2013-04-18,40.65
2013-04-22,40.45
2013-04-23,40.45
2013-04-25,40.0
2013-04-26,39.75
2013-04-29,39.4
2013-04-30,40.45
2013-05-02,40.0
2013-05-03,39.95
2013-05-06,40.05
2013-05-07,39.05
2013-05-08,38.3
2013-05-09,38.2
2013-05-10,39.8
2013-05-11,39.7
2013-05-13,38.4
2013-05-14,38.05
2013-05-15,39.2
2013-05-16,38.0
2013-05-17,38.15
2013-05-20,38.0
2013-05-21,37.95
2013-05-22,37.55
2013-05-23,37.0
2013-05-24,36.85
2013-05-27,37.15
2013-05-28,36.75
2013-05-29,36.75
2013-05-30,36.65
2013-05-31,37.45
2013-06-03,36.3
2013-06-04,36.7
2013-06-05,36.6
2013-06-06,37.0
2013-06-07,35.6
2013-06-10,37.1
2013-06-11,36.6
2013-06-12,36.7
2013-06-13,36.85
2013-06-14,38.55
2013-06-17,39.7
2013-06-18,39.95
2013-06-19,40.75
2013-06-20,39.5
2013-06-21,39.3
2013-06-24,37.15
2013-06-25,36.4
2013-06-26,36.3
2013-06-27,35.5
2013-06-28,35.05
2013-07-01,35.2
2013-07-02,34.65
2013-07-03,34.5
2013-07-04,34.3
2013-07-05,33.95
2013-07-08,34.75
2013-07-09,35.3
2013-07-10,35.65
2013-07-11,35.85
2013-07-12,34.85
2013-07-15,35.15
2013-07-16,35.0
2013-07-17,34.9
2013-07-18,34.7
2013-07-19,34.4
2013-07-22,34.25
2013-07-23,33.8
2013-07-24,33.65
2013-07-25,34.1
2013-07-26,33.5
2013-07-29,33.3
2013-07-30,33.05
2013-07-31,30.45
2013-08-01,31.05
2013-08-02,31.2
2013-08-05,30.7
2013-08-06,29.45
2013-08-07,29.6
2013-08-08,31.15
2013-08-12,31.25
2013-08-13,31.0
2013-08-14,30.15
2013-08-16,30.5
2013-08-19,30.55
2013-08-20,29.85
2013-08-21,29.85
2013-08-22,30.3
2013-08-23,30.2
2013-08-26,30.6
2013-08-27,29.85
2013-08-28,29.95
2013-08-29,29.6
2013-08-30,29.55
2013-09-02,29.9
2013-09-03,28.75
2013-09-04,28.5
2013-09-05,27.75
2013-09-06,27.45
2013-09-10,28.65
2013-09-11,27.95
2013-09-12,27.5
2013-09-13,26.9
2013-09-16,27.2
2013-09-17,27.25
2013-09-18,28.25
2013-09-19,29.7
2013-09-20,28.55
2013-09-23,29.85
2013-09-24,29.7
2013-09-25,29.4
2013-09-26,29.3
2013-09-27,28.3
2013-09-30,27.95
2013-10-01,27.8
2013-10-03,27.25
2013-10-04,27.4
2013-10-07,28.05
2013-10-08,28.95
2013-10-09,28.95
2013-10-10,29.55
2013-10-11,29.1
2013-10-14,29.15
2013-10-15,28.8
2013-10-17,29.55
2013-10-18,31.35
2013-10-21,35.0
2013-10-22,33.4
2013-10-23,31.95
2013-10-24,32.65
2013-10-25,32.95
2013-10-28,32.0
2013-10-29,31.75
2013-10-30,32.8
2013-10-31,32.25
2013-11-01,33.05
2013-11-03,33.85
2013-11-05,32.6
2013-11-06,32.9
2013-11-07,31.75
2013-11-08,31.6
2013-11-11,30.5
2013-11-12,29.65
2013-11-13,31.65
2013-11-14,32.1
2013-11-18,30.85
2013-11-19,30.7
2013-11-20,30.1
2013-11-21,29.9
2013-11-22,29.25
2013-11-25,28.75
2013-11-26,28.4
2013-11-27,27.5
2013-11-28,27.35
2013-11-29,27.4
2013-12-02,25.9
2013-12-03,25.7
2013-12-04,25.55
2013-12-05,26.0
2013-12-06,27.7
2013-12-09,27.95
2013-12-10,26.8
2013-12-11,28.5
2013-12-12,27.15
2013-12-13,27.0
2013-12-16,26.65
2013-12-17,26.8
2013-12-18,26.45
2013-12-19,26.65
2013-12-20,28.0
2013-12-23,29.95
2013-12-24,29.85
2013-12-26,29.6
2013-12-27,28.7
2013-12-30,28.8
2013-12-31,29.25
2014-01-01,28.9
2014-01-02,28.2
2014-01-03,28.55
2014-01-06,28.85
2014-01-07,32.5
2014-01-08,36.4
2014-01-09,33.5
2014-01-10,32.4
2014-01-13,32.75
2014-01-14,31.85
2014-01-15,31.8
2014-01-16,31.3
2014-01-17,29.75
