Date,HITECHCORP
2013-01-01,55.0
2013-01-02,56.65
2013-01-03,58.35
2013-01-04,59.05
2013-01-07,59.5
2013-01-08,58.55
2013-01-09,57.85
2013-01-10,60.95
2013-01-11,57.4
2013-01-14,56.5
2013-01-15,57.0
2013-01-16,57.85
2013-01-17,56.8
2013-01-18,58.5
2013-01-21,56.65
2013-01-22,57.6
2013-01-23,55.35
2013-01-24,57.7
2013-01-25,56.1
2013-01-28,55.9
2013-01-29,56.4
2013-01-30,57.35
2013-01-31,56.8
2013-02-01,58.5
2013-02-04,58.25
2013-02-05,57.05
2013-02-06,57.2
2013-02-07,57.7
2013-02-08,55.1
2013-02-11,54.05
2013-02-12,54.9
2013-02-13,54.0
2013-02-14,54.35
2013-02-15,52.15
2013-02-18,51.5
2013-02-19,51.85
2013-02-20,51.25
2013-02-21,53.0
2013-02-25,51.55
2013-02-26,52.95
2013-02-27,49.8
2013-02-28,50.1
2013-03-01,49.9
2013-03-04,48.2
2013-03-05,49.8
2013-03-06,51.25
2013-03-07,49.35
2013-03-08,49.4
2013-03-11,49.7
2013-03-12,46.65
2013-03-13,47.15
2013-03-15,45.35
2013-03-18,45.45
2013-03-19,44.15
2013-03-20,43.4
2013-03-21,41.35
2013-03-22,41.05
2013-03-25,40.0
2013-03-26,40.2
2013-03-28,44.1
2013-04-01,41.0
2013-04-02,41.3
2013-04-03,42.5
2013-04-04,41.25
2013-04-05,42.85
2013-04-08,40.6
2013-04-09,42.95
2013-04-10,41.0
2013-04-11,40.05
2013-04-12,40.0
2013-04-16,42.4
2013-04-17,42.4
2013-04-18,41.5
2013-04-22,41.4
2013-04-23,41.1
2013-04-30,42.0
2013-05-02,44.45
2013-05-03,41.6
2013-05-06,41.2
2013-05-07,41.45
2013-05-08,41.9
2013-05-09,42.15
2013-05-10,44.1
2013-05-11,45.15
2013-05-13,43.05
2013-05-14,46.75
2013-05-15,43.9
2013-05-16,42.4
2013-05-17,43.95
2013-05-20,43.55
2013-05-21,41.75
2013-05-22,41.9
2013-05-23,42.0
2013-05-24,41.5
2013-05-27,41.35
2013-05-28,41.0
2013-05-29,40.1
2013-05-30,39.25
2013-05-31,39.8
2013-06-03,39.0
2013-06-04,41.8
2013-06-05,40.0
2013-06-06,41.1
2013-06-07,41.1
2013-06-10,41.15
2013-06-11,40.45
2013-06-12,40.3
2013-06-13,40.5
2013-06-14,40.5
2013-06-17,40.65
2013-06-18,42.1
2013-06-19,41.75
2013-06-20,40.25
2013-06-21,40.0
2013-06-24,38.55
2013-06-25,38.35
2013-06-26,37.05
2013-06-28,39.55
2013-07-01,40.45
2013-07-02,41.55
2013-07-03,42.4
2013-07-04,40.45
2013-07-05,40.45
2013-07-10,47.9
2013-07-11,46.0
2013-07-15,41.0
2013-07-22,40.0
2013-07-24,35.0
2013-07-25,30.0
2013-07-29,36.0
2013-07-30,33.0
2013-07-31,34.0
2013-08-16,35.35
2013-08-26,35.0
2013-09-02,28.2
2013-09-03,33.8
2013-09-05,40.55
2013-09-06,42.55
2013-09-10,44.65
2013-09-11,46.8
2013-09-12,47.7
2013-09-13,45.6
2013-09-16,47.85
2013-09-17,45.5
2013-09-23,47.75
2013-09-24,50.0
2013-10-08,47.5
2013-10-15,47.5
2013-10-23,45.15
2013-10-29,42.9
2013-10-30,41.0
2013-10-31,39.05
2013-11-07,37.5
2013-11-08,39.35
2013-11-14,41.3
2013-11-18,41.0
2013-11-19,43.0
2013-11-20,42.0
2013-11-25,42.6
2013-11-26,42.0
2013-11-27,41.95
2013-11-28,43.9
2013-11-29,41.95
2013-12-02,41.95
2013-12-03,42.0
2013-12-04,42.0
2013-12-05,43.9
2013-12-06,45.95
2013-12-11,43.7
2013-12-19,41.55
2013-12-20,41.55
2013-12-23,41.95
2013-12-24,42.0
2013-12-30,41.5
2013-12-31,41.3
2014-01-01,41.55
2014-01-02,43.6
2014-01-03,41.6
2014-01-07,43.0
2014-01-08,41.0
2014-01-09,43.05
2014-01-13,43.0
2014-01-14,45.0
2014-01-16,47.25
2014-01-17,47.25
2014-01-20,46.85
2014-01-21,44.75
2014-01-22,44.0
2014-01-24,46.0
2014-01-27,43.8
2014-02-05,43.4
2014-02-06,43.6
2014-02-07,41.65
2014-02-10,43.7
2014-02-11,41.55
2014-02-12,43.4
2014-02-13,42.0
2014-02-17,44.1
2014-02-18,46.1
2014-02-21,45.0
2014-02-24,43.05
2014-02-25,44.95
2014-02-26,43.05
2014-02-28,45.0
2014-03-03,45.0
2014-03-04,45.05
