Date,CYIENT
2013-01-01,181.7
2013-01-02,183.05
2013-01-03,182.6
2013-01-04,178.85
2013-01-07,178.85
2013-01-08,180.75
2013-01-09,182.15
2013-01-10,183.0
2013-01-11,182.75
2013-01-14,183.2
2013-01-15,183.45
2013-01-16,184.2
2013-01-17,178.45
2013-01-18,177.05
2013-01-21,174.55
2013-01-22,175.35
2013-01-23,175.6
2013-01-24,172.85
2013-01-25,173.05
2013-01-28,173.35
2013-01-29,175.1
2013-01-30,172.75
2013-01-31,172.55
2013-02-01,170.85
2013-02-04,169.0
2013-02-05,162.75
2013-02-06,163.45
2013-02-07,161.0
2013-02-08,161.55
2013-02-11,163.05
2013-02-12,164.3
2013-02-13,163.0
2013-02-14,163.15
2013-02-15,165.85
2013-02-18,166.0
2013-02-19,165.0
2013-02-20,167.05
2013-02-21,167.75
2013-02-22,167.45
2013-02-25,168.95
2013-02-26,168.05
2013-02-27,168.7
2013-02-28,169.7
2013-03-01,170.35
2013-03-04,170.05
2013-03-05,170.0
2013-03-06,171.1
2013-03-07,171.65
2013-03-08,173.85
2013-03-11,171.9
2013-03-12,171.4
2013-03-13,171.75
2013-03-14,170.1
2013-03-15,170.45
2013-03-18,170.65
2013-03-19,170.25
2013-03-20,170.65
2013-03-21,170.0
2013-03-22,170.55
2013-03-25,170.0
2013-03-26,173.45
2013-03-28,170.15
2013-04-01,170.6
2013-04-02,170.55
2013-04-03,174.35
2013-04-04,174.05
2013-04-05,171.4
2013-04-08,170.0
2013-04-09,170.25
2013-04-10,170.0
2013-04-11,170.0
2013-04-12,170.15
2013-04-15,169.65
2013-04-16,169.15
2013-04-17,167.2
2013-04-18,166.15
2013-04-22,166.9
2013-04-23,170.3
2013-04-25,163.95
2013-04-26,166.85
2013-04-29,171.45
2013-04-30,175.0
2013-05-02,176.6
2013-05-03,175.15
2013-05-06,178.05
2013-05-07,177.45
2013-05-08,177.75
2013-05-09,176.0
2013-05-10,170.9
2013-05-11,170.8
2013-05-13,170.05
2013-05-14,168.0
2013-05-15,165.3
2013-05-16,167.8
2013-05-17,169.75
2013-05-20,167.4
2013-05-21,169.15
2013-05-22,165.35
2013-05-23,166.75
2013-05-24,167.45
2013-05-27,167.0
2013-05-28,168.6
2013-05-29,167.3
2013-05-30,167.0
2013-05-31,168.0
2013-06-03,167.15
2013-06-04,167.0
2013-06-05,167.25
2013-06-06,167.05
2013-06-07,168.65
2013-06-10,167.05
2013-06-11,172.1
2013-06-12,170.35
2013-06-13,170.0
2013-06-14,172.95
2013-06-17,171.7
2013-06-18,174.15
2013-06-19,175.0
2013-06-20,175.0
2013-06-21,174.95
2013-06-24,180.05
2013-06-25,177.0
2013-06-26,178.6
2013-06-27,179.85
2013-06-28,178.15
2013-07-01,177.2
2013-07-02,175.4
2013-07-03,172.3
2013-07-04,176.3
2013-07-05,173.95
2013-07-08,177.1
2013-07-09,174.75
2013-07-10,180.0
2013-07-11,182.1
2013-07-12,183.9
2013-07-15,182.9
2013-07-16,179.75
2013-07-17,183.05
2013-07-18,184.45
2013-07-19,178.35
2013-07-22,181.55
2013-07-23,180.35
2013-07-24,182.1
2013-07-25,181.1
2013-07-26,177.0
2013-07-29,179.7
2013-07-30,180.1
2013-07-31,180.3
2013-08-01,175.9
2013-08-02,175.4
2013-08-05,174.25
2013-08-06,173.8
2013-08-07,178.75
2013-08-08,176.9
2013-08-12,176.15
2013-08-13,179.85
2013-08-14,179.05
2013-08-16,178.0
2013-08-19,172.75
2013-08-20,174.35
2013-08-21,175.0
2013-08-22,173.85
2013-08-23,175.25
2013-08-26,176.85
2013-08-27,176.75
2013-08-28,175.6
2013-08-29,180.0
2013-08-30,185.15
2013-09-02,184.85
2013-09-03,185.0
2013-09-04,186.65
2013-09-05,188.4
2013-09-06,187.2
2013-09-10,188.3
2013-09-11,188.55
2013-09-12,185.0
2013-09-13,184.4
2013-09-16,182.3
2013-09-17,181.25
2013-09-18,181.8
2013-09-19,181.25
2013-09-20,185.35
2013-09-23,184.55
2013-09-24,186.1
2013-09-25,189.9
