Date,SPIC
2013-01-01,15.35
2013-01-02,15.75
2013-01-03,15.9
2013-01-04,16.2
2013-01-07,17.95
2013-01-08,18.05
2013-01-09,20.0
2013-01-10,20.75
2013-01-11,20.1
2013-01-14,19.85
2013-01-15,19.25
2013-01-16,18.4
2013-01-17,18.45
2013-03-01,13.8
2013-03-04,13.7
2013-03-05,13.95
2013-03-06,14.25
2013-03-07,14.3
2013-03-08,14.4
2013-03-11,14.4
2013-03-12,14.0
2013-03-13,13.9
2013-03-14,13.95
2013-03-15,13.85
2013-03-18,13.75
2013-03-19,13.55
2013-03-20,13.45
2013-03-21,13.1
2013-03-22,12.6
2013-03-25,12.9
2013-03-26,12.5
2013-03-28,12.65
2013-04-01,13.25
2013-04-02,13.9
2013-04-03,13.65
2013-04-04,13.55
2013-04-05,13.15
2013-04-08,13.65
2013-04-09,13.5
2013-04-10,13.15
2013-04-11,13.3
2013-04-12,13.4
2013-04-15,13.45
2013-04-16,13.4
2013-04-17,13.65
2013-04-18,13.8
2013-04-22,13.35
2013-04-23,13.2
2013-04-25,13.85
2013-04-26,14.2
2013-04-29,13.85
2013-04-30,13.5
2013-05-02,13.3
2013-05-03,13.3
2013-05-06,13.4
2013-05-07,14.05
2013-05-08,13.6
2013-05-09,13.7
2013-05-10,13.75
2013-05-11,13.75
2013-05-13,13.35
2013-05-14,13.25
2013-05-15,13.45
2013-05-16,13.3
2013-05-17,13.4
2013-05-20,13.6
2013-05-21,13.4
2013-05-22,13.35
2013-05-23,12.95
2013-05-24,12.9
2013-05-27,13.0
2013-05-28,12.85
2013-05-29,12.7
2013-05-30,12.75
2013-05-31,12.4
2013-06-03,12.4
2013-06-04,12.35
2013-06-05,12.2
2013-06-06,12.1
2013-06-07,12.25
2013-06-10,11.8
2013-06-11,10.65
2013-06-12,10.15
2013-06-13,10.0
2013-06-14,10.4
2013-06-17,10.7
2013-06-18,10.85
2013-06-19,10.5
2013-06-20,10.2
2013-06-21,10.5
2013-06-24,10.2
2013-06-25,9.85
2013-06-26,9.75
2013-06-27,9.65
2013-06-28,9.95
2013-07-01,9.95
2013-07-02,9.85
2013-07-03,9.3
2013-07-04,9.25
2013-07-05,9.15
2013-07-08,8.65
2013-07-09,8.65
2013-07-10,8.5
2013-07-11,9.45
2013-07-12,10.65
2013-07-15,11.5
2013-07-16,10.95
2013-07-17,10.85
2013-07-18,10.9
2013-07-19,10.35
2013-07-22,10.0
2013-07-23,9.85
2013-07-24,9.0
2013-07-25,8.45
2013-07-26,8.3
2013-07-29,8.25
2013-07-30,7.15
2013-07-31,7.6
2013-08-01,7.75
2013-08-02,7.25
2013-08-05,7.85
2013-08-06,7.3
2013-08-07,7.4
2013-08-08,8.0
2013-08-12,8.55
2013-08-13,8.8
2013-08-14,8.4
2013-08-16,8.1
2013-08-19,8.1
2013-08-20,7.95
2013-08-21,7.95
2013-08-22,8.2
2013-08-23,8.3
2013-08-26,8.35
2013-08-27,7.45
2013-08-28,7.4
2013-08-29,8.2
2013-08-30,7.95
2013-09-02,8.15
2013-09-03,7.9
2013-09-04,7.95
2013-09-05,8.3
2013-09-06,7.95
2013-09-10,8.75
2013-09-11,8.25
2013-09-12,8.95
2013-09-13,9.1
2013-09-16,9.0
2013-09-17,8.45
2013-09-18,8.55
2013-09-19,9.05
2013-09-20,8.95
2013-09-23,9.0
2013-09-24,9.15
2013-09-25,9.15
2013-09-26,8.8
2013-09-27,8.7
2013-09-30,8.7
2013-10-01,8.55
2013-10-03,8.75
2013-10-04,8.95
2013-10-07,8.7
2013-10-08,8.85
2013-10-09,9.55
2013-10-10,9.5
2013-10-11,9.95
2013-10-14,9.75
2013-10-15,9.55
2013-10-17,9.45
2013-10-18,9.5
2013-10-21,9.2
2013-10-22,9.45
2013-10-23,9.4
2013-10-24,9.4
2013-10-25,9.45
2013-10-28,9.45
2013-10-29,9.4
2013-10-30,8.95
2013-10-31,8.95
2013-11-01,9.65
2013-11-03,10.1
2013-11-05,9.9
2013-11-06,9.95
2013-11-07,10.5
2013-11-08,10.25
2013-11-11,9.9
2013-11-12,9.45
2013-11-13,9.0
2013-11-14,8.9
2013-11-18,9.0
2013-11-19,9.0
2013-11-20,9.35
2013-11-21,8.95
2013-11-22,8.8
2013-11-25,9.0
2013-11-26,9.05
2013-11-27,10.85
2013-11-28,12.1
2013-11-29,13.0
2013-12-02,13.15
2013-12-03,13.3
2013-12-04,12.95
2013-12-05,12.75
2013-12-06,12.75
2013-12-09,12.6
2013-12-10,12.45
2013-12-11,11.75
2013-12-12,12.05
2013-12-13,11.95
2013-12-16,11.7
2013-12-17,11.55
2013-12-18,11.8
2013-12-19,11.95
2013-12-20,12.05
2013-12-23,12.1
2013-12-24,12.4
2013-12-26,13.0
2013-12-27,13.05
2013-12-30,12.75
2013-12-31,12.65
2014-01-01,13.0
2014-01-02,12.85
2014-01-03,12.75
2014-01-06,13.0
2014-01-07,12.75
2014-01-08,12.9
2014-01-09,12.9
2014-01-10,12.55
2014-01-13,12.4
2014-01-14,12.2
2014-01-15,12.35
2014-01-16,12.4
2014-01-17,12.4
2014-01-20,12.3
2014-01-21,12.1
2014-01-22,12.5
2014-01-23,12.05
2014-01-24,11.8
2014-01-27,12.0
2014-01-28,11.5
2014-01-29,11.25
2014-01-30,10.9
2014-01-31,10.8
2014-02-03,10.65
2014-02-04,10.3
2014-02-05,10.4
2014-02-06,10.8
2014-02-07,10.9
2014-02-10,10.85
2014-02-11,11.1
2014-02-12,10.95
2014-02-13,10.65
2014-02-14,11.4
2014-02-17,12.35
2014-02-18,12.75
2014-02-19,12.6
2014-02-20,12.0
2014-02-21,12.05
2014-02-24,11.85
2014-02-25,11.65
2014-02-26,12.8
2014-02-28,12.55
2014-03-03,12.0
2014-03-04,12.75
2014-03-05,12.5
2014-03-06,12.5
2014-03-07,12.8
2014-03-10,12.5
2014-03-11,12.3
2014-03-12,12.25
2014-03-13,12.1
2014-03-14,11.95
2014-03-18,11.95
2014-03-19,12.45
2014-03-20,11.8
2014-03-21,12.3
2014-03-22,12.35
2014-03-24,12.2
2014-03-25,11.9
2014-03-26,11.9
2014-03-27,12.2
2014-03-28,12.15
2014-03-31,12.4
2014-04-01,12.4
2014-04-02,12.6
2014-04-03,12.55
2014-04-04,12.65
2014-04-07,12.6
2014-04-09,13.6
2014-04-10,13.3
2014-04-11,13.2
2014-04-15,13.95
2014-04-16,13.6
2014-04-17,13.65
2014-04-21,13.2
2014-04-22,12.75
2014-04-23,14.45
2014-04-25,13.95
2014-04-28,14.9
2014-04-29,15.1
2014-04-30,13.95
2014-05-02,13.9
2014-05-05,13.35
2014-05-06,13.25
2014-05-07,13.25
2014-05-08,13.0
2014-05-09,13.35
2014-05-12,13.2
2014-05-13,13.4
2014-05-14,13.8
2014-05-15,13.45
2014-05-16,13.2
2014-05-19,14.65
2014-05-20,16.95
2014-05-21,17.3
2014-05-22,17.2
2014-05-23,16.85
2014-05-26,15.45
2014-05-27,15.05
2014-05-28,16.55
2014-05-29,16.85
2014-05-30,16.7
2014-06-02,17.1
2014-06-03,17.55
2014-06-04,19.25
2014-06-05,18.8
2014-06-06,18.9
2014-06-09,19.5
2014-06-10,19.55
2014-06-11,19.35
2014-06-12,19.25
2014-06-13,18.15
2014-06-16,18.65
2014-06-17,19.35
2014-06-18,20.1
2014-06-19,22.8
2014-06-20,21.75
2014-06-23,21.7
2014-06-24,21.95
2014-06-25,24.65
2014-06-26,24.3
2014-06-27,24.45
2014-06-30,25.5
2014-07-01,25.1
2014-07-02,24.4
2014-07-03,25.1
2014-07-04,24.55
2014-07-07,24.1
2014-07-08,22.7
2014-07-09,22.85
2014-07-10,22.55
2014-07-11,21.15
2014-07-14,20.35
2014-07-15,23.1
2014-07-16,22.85
2014-07-17,23.1
2014-07-18,22.55
2014-07-21,22.65
2014-07-22,23.1
